Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”,Name: “Table 1 of 1 on page 22 of 178”
"facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal"
"procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an","procedures, and review of reports and records. One requirement within the reports and records section is an"
"annual statistical report, which OCME fulfills with this report.","annual statistical report, which OCME fulfills with this report.","annual statistical report, which OCME fulfills with this report.",The following data is needed for the NAME,The following data is needed for the NAME,The following data is needed for the NAME,The following data is needed for the NAME,The following data is needed for the NAME
requirement for the annual statistical report:,requirement for the annual statistical report:,,,,,,
,,Central,Northern,Tidewater,Western,Total,Total
A. Deaths reported:,,2947,1785,1564,1966,8262,8262
B. Cases accepted:,,1626,1287,1263,1494,5670,5670
,Retrospectives (handled separately),14,12,28,92,146,
C. Manners of death:,,,,,,,
,Accident,667,555,467,652,2341,2341
,Homicide,116,38,113,78,345,
,Natural,520,384,424,428,1756,1756
,Suicide,297,271,207,292,1067,1067
,Undetermined,26,39,52,44,161,
D. Scene Visits,,329,42,264,118,753,
E. Bodies transported by office:,E. Bodies transported by office:,1626,1287,1263,1494,5670,5670
F. External examinations:,F. External examinations:,789,587,630,587,2593,2593
G. Complete examinations (autopsy):,G. Complete examinations (autopsy):,822,670,628,906,3026,3026
H. Partial examinations:,H. Partial examinations:,15,30,5,1,51,
I. Hospital autopsies under ME jurisdiction:,I. Hospital autopsies under ME jurisdiction:,0,0,6,0,6,
J. Cases with toxicology:,J. Cases with toxicology:,877,1255,1133,1510,4775,4775
K. Unidentified bodies after examination:,K. Unidentified bodies after examination:,4,1,0,1,6,
L. Organ & tissue donations:,L. Organ & tissue donations:,45,69,49,24,187,
L2. Eye donations:,,18,1,132,8,27,
M. Unclaimed bodies:,M. Unclaimed bodies:,8,3,2,8,21,
N. Exhumations:,,0,0,0,0,0,
O. Bodies transported to office:,O. Bodies transported to office:,1181,871,808,1111,3971,3971
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
