Date ,Report Type ,Street ,Sub-Division
9/5/2005,"ASSAULT, SIMPLE, DOMESTIC ",BIG BETHEL ROAD ,TABB
9/6/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
9/6/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
9/6/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
9/8/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
9/12/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,BIG BETHEL ROAD ,TABB
9/14/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
9/30/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
10/4/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
10/4/2005,DISORDERLY CONDUCT ,BIG BETHEL ROAD ,TABB
10/7/2005,GRAND LARCENY ,BIG BETHEL ROAD ,TABB
10/7/2005,TRESPASS ON CHURCH OR SCHOOL PROPERTY ,BIG BETHEL ROAD ,TABB
10/11/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
10/25/2005,THREATS TO BOMB OR DAMAGE BUILDING ,BIG BETHEL ROAD ,TABB
10/26/2005,BOMB THREATS ,BIG BETHEL ROAD ,TABB
10/28/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
10/31/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",BIG BETHEL ROAD ,TABB
10/31/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
11/9/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",BIG BETHEL ROAD ,TABB
11/16/2005,POSSESSION OF CONTROLLED SUBSTANCES ,BIG BETHEL ROAD ,TABB
11/21/2005,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,TABB
12/1/2005,THREATEN BODILY HARM ,BIG BETHEL ROAD ,TABB
12/9/2005,LOST PROPERTY ,BIG BETHEL ROAD ,TABB
12/28/2005,CURSING/OBSCENE LANGUAGE ,BIG BETHEL ROAD ,
7/3/2005,DRUNK IN PUBLIC ,BIG BETHEL ROAD & HAMPTON HIGHWAY ,TABB
6/23/2005,OPERATE MOTOR VEHICLE -HABITUAL OFFENDER ,BIG BETHEL ROAD & VICTORY BLVD ,TABB
4/5/2005,CITIZEN REQUESTED ASSISTANCE ,BILL SOURS DRIVE ,FOXWOOD
4/5/2005,"DAMAGE PROPERTY, PRIVATE ",BILL SOURS DRIVE ,FOXWOOD
4/13/2005,CITIZEN REQUESTED ASSISTANCE ,BILL SOURS DRIVE ,FOXWOOD
8/15/2005,CITIZEN REQUESTED ASSISTANCE ,BILL SOURS ROAD ,FOXWOOD
6/21/2005,GRAND LARCENY ,BIRKDALE COURT ,ROYAL COLVEN
7/16/2005,CITIZEN REQUESTED ASSISTANCE ,BIRKDALE COURT ,ROYAL COLVEN
9/21/2005,"LARCENY,FROM MOTOR VEHICLE ",BIRKDALE COURT ,ROYAL COLVEN
3/21/2005,OVERDOSE ,BLACKBERRY BEND ,JUSTINIAN GROVE
6/29/2005,CITIZEN REQUESTED ASSISTANCE ,BLACKBERRY BEND ,JUSTINIAN GROVE
1/1/2005,"DAMAGE PROPERTY, PRIVATE ",BLACKSMITH ARCH ,DAVIS FORGE
2/19/2005,"DAMAGE PROPERTY, PRIVATE ",BLACKSMITH ARCH ,DAVIS FORGE
3/21/2005,"DAMAGE PROPERTY, PRIVATE ",BLACKSMITH ARCH ,DAVIS FORGE
4/10/2005,"ASSAULT, SIMPLE, DOMESTIC ",BLACKSMITH ARCH ,DAVIS FORGE
7/24/2005,"DAMAGE PROPERTY, PRIVATE ",BLACKSMITH ARCH ,DAVIS FORGE
7/24/2005,"DAMAGE PROPERTY, PUBLIC ",BLACKSMITH ARCH ,DAVIS FORGE
3/14/2005,FORCIBLE SODOMY ,BLACKWOOD COURT ,WHISPERING WINDS
7/9/2005,CITIZEN REQUESTED ASSISTANCE ,BLACKWOOD COURT ,WHISPERING WINDS
8/5/2005,GRAND LARCENY ,BLACKWOOD COURT ,WHISPERING WINDS
8/5/2005,TRESPASSING ,BLACKWOOD COURT ,WHISPERING WINDS
5/1/2005,CITIZEN REQUESTED ASSISTANCE ,BLEVINS RUN ,"GREENLANDS, THE"
8/13/2005,"LARCENY,FROM MOTOR VEHICLE ",BLEVINS RUN ,"GREENLANDS, THE"
12/11/2005,"DAMAGE PROPERTY, PRIVATE ",BLEVINS RUN ,"GREENLANDS, THE"
2/14/2005,"LARCENY,FROM MOTOR VEHICLE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
2/15/2005,MURDER -FIRST DEGREE ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
4/14/2005,"LARCENY,FROM MOTOR VEHICLE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
4/30/2005,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
5/1/2005,THREATEN BODILY HARM ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
5/15/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/5/2005,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/13/2005,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/13/2005,GRAND LARCENY ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/17/2005,ANNOYING PHONE CALLS ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/17/2005,SEXUAL BATTERY ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
7/17/2005,SEXUAL BATTERY ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
9/7/2005,FORGERY BY CREDIT CARD ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
9/7/2005,"LARCENY,FROM MOTOR VEHICLE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
9/7/2005,TAMPERING WITH VEHICLE ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
9/9/2005,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
9/9/2005,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,WYTHE CREEK FARMS
10/5/2005,CITIZEN REQUESTED ASSISTANCE ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
11/9/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,BRENTMEADE DRIVE ,WYTHE CREEK FARMS
8/23/2005,"LARCENY,FROM MOTOR VEHICLE ",BRIAN WESLEY COURT ,"GREENLANDS, THE"
1/2/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE WOOD DRIVE ,TABB LAKES
4/8/2005,"FRAUD, ALL OTHERS ",BRIDGE WOOD DRIVE ,TABB LAKES
6/29/2005,RAPE ,BRIDGEWOOD DRIVE ,TABB LAKES
7/20/2005,PETIT LARCENY ,BRIDGEWOOD DRIVE ,TABB LAKES
9/4/2005,CITIZEN REQUESTED ASSISTANCE ,BRIDGEWOOD DRIVE ,TABB LAKES
9/4/2005,POSSESSION OF MARIJUANA ,BRIDGEWOOD DRIVE ,TABB LAKES
11/22/2005,"DAMAGE PROPERTY, PRIVATE ",BROOK RUN ,YORKSHIRE DOWNS
11/22/2005,"LARCENY,FROM MOTOR VEHICLE ",BROOK RUN ,YORKSHIRE DOWNS
2/11/2005,"DAMAGE PROPERTY, BUSINESS ",BURTS ROAD ,GRAFTON
2/9/2005,"LARCENY,FROM MOTOR VEHICLE ",BUTTONWOOD LANE ,"GABLES OF YORK, THE"
4/18/2005,"DAMAGE PROPERTY, PRIVATE ",BUTTONWOOD LANE ,"GABLES OF YORK, THE"
9/27/2005,CITIZEN REQUESTED ASSISTANCE ,BUTTONWOOD LANE ,"GABLES OF YORK, THE"
10/31/2005,CITIZEN REQUESTED ASSISTANCE ,BUTTONWOOD LANE ,"GABLES OF YORK, THE"
11/13/2005,"LARCENY,FROM MOTOR VEHICLE ",BUTTONWOOD LANE ,"GABLES OF YORK, THE"
12/20/2005,CITIZEN REQUESTED ASSISTANCE ,BUTTONWOOD LANE ,"GABLES OF YORK, THE"
10/24/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/16/2005,GRAND LARCENY ,CALTHROP NECK RD & BUNTING POINT RD ,CALTHROP NECK
1/31/2005,"DAMAGE PROPERTY, PRIVATE ",CALTHROP NECK RD & QUARTER TRACK ,CALTHROP NECK
1/8/2005,"ASSAULT, SIMPLE, DOMESTIC ",CALTHROP NECK ROAD ,CALTHROP NECK
2/23/2005,PETIT LARCENY ,CALTHROP NECK ROAD ,CALTHROP NECK
3/4/2005,CITIZEN REQUESTED ASSISTANCE ,CALTHROP NECK ROAD ,CALTHROP NECK
8/2/2005,"FRAUD, ALL OTHERS ",CALTHROP NECK ROAD ,CALTHROP NECK
8/28/2005,"ASSAULT, SIMPLE ",CALTHROP NECK ROAD ,CALTHROP NECK
8/28/2005,"DAMAGE PROPERTY, PRIVATE ",CALTHROP NECK ROAD ,CALTHROP NECK
10/13/2005,GRAND LARCENY ,CALTHROP NECK ROAD ,CALTHROP NECK
6/8/2005,CITIZEN REQUESTED ASSISTANCE ,CALUMET TURN ,RUNNING MAN
7/25/2005,GRAND LARCENY ,CALUMET TURN ,RUNNING MAN
9/17/2005,CITIZEN REQUESTED ASSISTANCE ,CAMELOT CRESCENT ,KINGS VILLA
8/24/2005,CURSING/OBSCENE LANGUAGE ,CAMILLE COURT ,FAISON GREEN
9/15/2005,CITIZEN REQUESTED ASSISTANCE ,CAMILLE COURT ,FAISON GREEN
5/31/2005,FUGITIVE FROM JUSTICE ,CARDINAL LANE ,TABB
12/30/2005,"DAMAGE PROPERTY, PRIVATE ",CARDINAL LANE ,TABB
11/4/2005,CITIZEN REQUESTED ASSISTANCE ,CARLTON DRIVE ,BREEZY POINT
12/9/2005,RUNAWAY JUVENILE ,CARLTON DRIVE ,BREEZY POINT
12/27/2005,"ASSAULT, SIMPLE, DOMESTIC ",CARLTON DRIVE ,BREEZY POINT
9/17/2005,"DAMAGE PROPERTY, PRIVATE ",CARYS CHAPEL RD & VICTORY BLVD ,TABB
2/16/2005,"BURGLARY, RESIDENTIAL ",CARYS CHAPEL ROAD ,TABB
3/9/2005,CITIZEN REQUESTED ASSISTANCE ,CARYS CHAPEL ROAD ,TABB
4/26/2005,CITIZEN REQUESTED ASSISTANCE ,CARYS CHAPEL ROAD ,TABB
6/21/2005,"DAMAGE PROPERTY, PRIVATE ",CARYS CHAPEL ROAD ,TABB
8/30/2005,DEAD ON ARRIVAL ,CARYS CHAPEL ROAD ,TABB
9/7/2005,"LARCENY,FROM MOTOR VEHICLE ",CARYS CHAPEL ROAD ,TABB
9/7/2005,"LARCENY,FROM MOTOR VEHICLE ",CARYS CHAPEL ROAD ,TABB
9/24/2005,"DAMAGE PROPERTY, PRIVATE ",CARYS CHAPEL ROAD ,TABB
12/17/2005,"BURGLARY, RESIDENTIAL ",CARYS CHAPEL ROAD ,TABB
12/17/2005,"DAMAGE PROPERTY, PRIVATE ",CARYS CHAPEL ROAD ,TABB
4/28/2005,CITIZEN REQUESTED ASSISTANCE ,CARYS TRACE ,EDGEWOOD
10/28/2005,"LARCENY,FROM MOTOR VEHICLE ",CARYS TRACE ,EDGEWOOD
11/7/2005,CITIZEN REQUESTED ASSISTANCE ,CARYS TRACE ,EDGEWOOD
2/12/2005,CITIZEN REQUESTED ASSISTANCE ,CATTAIL LANE ,WHISPERING WINDS
4/16/2005,CITIZEN REQUESTED ASSISTANCE ,CATTAIL LANE ,WHISPERING WINDS
6/19/2005,"ASSAULT, SIMPLE, DOMESTIC ",CATTAIL LANE ,WHISPERING WINDS
9/19/2005,CREDIT CARD FRAUD ,CATTAIL LANE ,WHISPERING WINDS
9/19/2005,UNAUTHORIZED USE OF VEHICLE ,CATTAIL LANE ,WHISPERING WINDS
10/27/2005,RUNAWAY JUVENILE ,CATTAIL LANE ,WHISPERING WINDS
11/7/2005,CITIZEN REQUESTED ASSISTANCE ,CATTAIL LANE ,WHISPERING WINDS
11/17/2005,CITIZEN REQUESTED ASSISTANCE ,CATTAIL LANE ,WHISPERING WINDS
11/17/2005,"DAMAGE PROPERTY, PRIVATE ",CATTAIL LANE ,WHISPERING WINDS
12/2/2005,CITIZEN REQUESTED ASSISTANCE ,CATTAIL LANE ,WHISPERING WINDS
4/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHADWICK COURT ,SMITH GLEN
7/24/2005,"DAMAGE PROPERTY, PRIVATE ",CHADWICK COURT ,SMITH GLEN
9/25/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHADWICK COURT ,SMITH GLEN
9/25/2005,BRANDISHING FIREARM ,CHADWICK COURT ,SMITH GLEN
3/27/2005,"LARCENY,FROM MOTOR VEHICLE ",CHAMPIONS PATH ,"WOODS OF TABB, THE"
5/16/2005,"LARCENY,FROM MOTOR VEHICLE ",CHAMPIONS PATH ,"WOODS OF TABB, THE"
6/12/2005,CITIZEN REQUESTED ASSISTANCE ,CHAMPIONS PATH ,"WOODS OF TABB, THE"
2/15/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
2/27/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
3/20/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
4/22/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
4/27/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
4/27/2005,GRAND LARCENY ,CHANTICLAIR DRIVE ,FINCH TERRACE
4/27/2005,PETIT LARCENY ,CHANTICLAIR DRIVE ,FINCH TERRACE
5/1/2005,"DAMAGE PROPERTY, PRIVATE ",CHANTICLAIR DRIVE ,FINCH TERRACE
5/1/2005,"LARCENY,FROM MOTOR VEHICLE ",CHANTICLAIR DRIVE ,FINCH TERRACE
7/12/2005,ANNOYING PHONE CALLS ,CHANTICLAIR DRIVE ,FINCH TERRACE
7/15/2005,DRUNK IN PUBLIC ,CHANTICLAIR DRIVE ,FINCH TERRACE
7/15/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,CHANTICLAIR DRIVE ,FINCH TERRACE
8/29/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHANTICLAIR DRIVE ,FINCH TERRACE
9/23/2005,"LARCENY,FROM MOTOR VEHICLE ",CHAPTICO RUN ,RUNNING MAN
1/31/2005,CITIZEN REQUESTED ASSISTANCE ,CHARLENE COURT ,GRAFTON
9/19/2005,"DAMAGE PROPERTY, PRIVATE ",CHASE OAK COURT ,AVERY WOODS
9/19/2005,GRAND LARCENY ,CHASE OAK COURT ,AVERY WOODS
10/13/2005,CITIZEN REQUESTED ASSISTANCE ,CHASE OAK COURT ,AVERY WOODS
10/25/2005,CITIZEN REQUESTED ASSISTANCE ,CHASE OAK COURT ,AVERY WOODS
3/12/2005,BRANDISHING FIREARM ,CHELTENHAM WAY ,YORKSHIRE DOWNS
4/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHINQUAPIN ORCHARD ,OLDE PORT COVE
4/17/2005,GRAND LARCENY ,CHINQUAPIN ORCHARD ,OLDE PORT COVE
5/15/2005,CITIZEN REQUESTED ASSISTANCE ,CHINQUAPIN ORCHARD ,OLDE PORT COVE
6/8/2005,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANCE ,CHINQUAPIN ORCHARD ,OLDE PORT COVE
7/26/2005,ARSON ,CHINQUAPIN ORCHARD ,OLDE PORT COVE
9/29/2005,CITIZEN REQUESTED ASSISTANCE ,CHINQUAPIN ORCHARD ,OLDE PORT COVE
12/23/2005,"LARCENY,FROM MOTOR VEHICLE ",CHINQUAPIN ORCHARD ,OLDE PORT COVE
12/29/2005,"BURGLARY, RESIDENTIAL ",CHINQUAPIN ORCHARD ,OLDE PORT COVE
12/11/2005,"DAMAGE PROPERTY, PRIVATE ",CHIPPENHAM DRIVE ,YORKSHIRE DOWNS
10/2/2005,"DAMAGE PROPERTY, PRIVATE ",CHRIS SLADE CHASE ,"WODS OF TABB, THE"
4/19/2005,"DAMAGE PROPERTY, PRIVATE ",CLAYTON DRIVE ,ROCK CREEK
4/24/2005,"DAMAGE PROPERTY, PRIVATE ",CLAYTON DRIVE ,ROCK CREEK
11/11/2005,"LARCENY,FROM MOTOR VEHICLE ",CLYDESDALE DRIVE ,YORKSHIRE DOWNS
11/23/2005,"LARCENY,FROM MOTOR VEHICLE ",CLYDESDALE DRIVE ,YORKSHIRE DOWNS
1/25/2005,CITIZEN REQUESTED ASSISTANCE ,COACH HOVIS DRIVE ,"WOODS OF TABB, THE"
3/1/2005,CITIZEN REQUESTED ASSISTANCE ,COACH HOVIS DRIVE ,"WOODS OF TABB, THE"
6/16/2005,MAIMING ,COACH HOVIS DRIVE ,"WOODS OF TABB, THE"
