Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Larceny,220,65,81,4,173,0,6,1,157,3,846,31,476,94,17,0,406,18,56,12,49,0,23,0,71,21,362,25,108,6,830,183,359,15,90,2,9,0,453,5,130,13,21,1,90,5,772,132,1017,30,122,2,178,4,11,1,723,44,62,7,724,50,977,137,174,16,252,11,407,8,1499,398,249,16,40,4,244,46,12484,1410
Motor Vehicle Theft,21,3,2,1,1,0,0,0,1,0,25,3,3,1,0,0,1,0,3,0,3,0,0,0,4,0,2,0,2,0,15,3,7,5,0,0,1,0,11,1,0,0,0,2,10,0,3,1,1,0,3,0,0,0,2,0,14,0,3,0,62,3,28,7,11,0,0,0,0,1,40,5,5,5,0,0,4,0,288,41
Counterfeiting/Forgery,17,0,9,0,21,0,0,0,10,0,90,0,19,0,0,0,27,0,2,0,6,0,23,0,7,0,20,0,10,0,41,0,17,0,33,0,0,0,17,0,12,1,0,0,9,0,56,1,31,0,3,0,24,0,0,0,19,1,17,0,57,0,14,0,22,0,8,0,17,0,67,3,14,0,10,0,1,0,750,6
Fraud,57,3,8,0,22,0,0,0,57,0,139,1,36,3,1,0,122,1,3,0,16,0,11,0,3,0,57,0,8,0,85,3,49,0,17,0,1,0,76,1,69,3,8,0,26,0,149,1,56,1,8,0,16,1,3,0,43,1,23,0,223,2,57,0,35,0,35,0,24,0,248,10,39,1,21,0,21,0,1872,32
Embezzlement,31,0,6,0,6,0,0,0,8,0,57,0,31,3,1,0,23,0,3,0,7,0,2,0,4,0,17,0,2,0,38,0,9,0,3,0,0,0,18,0,5,0,2,0,2,0,48,0,12,0,1,0,11,0,0,0,11,0,1,0,32,0,34,2,15,0,5,0,14,0,66,0,7,0,3,0,7,1,542,6
Stolen Property,3,9,1,0,8,0,0,0,7,2,30,1,5,0,1,0,23,1,1,0,1,0,1,0,1,1,5,0,0,0,32,6,8,0,10,0,0,0,6,0,4,0,3,0,0,0,58,9,30,0,1,0,3,0,4,0,11,1,0,0,75,4,4,1,2,1,2,0,16,0,32,9,4,0,1,0,2,1,395,46
Vandalism,32,4,9,0,15,0,2,0,46,0,79,2,16,9,1,0,68,0,7,0,5,0,3,0,8,6,27,0,10,2,79,21,46,5,22,0,1,0,48,4,30,3,4,2,19,4,149,15,39,4,1,4,62,5,2,3,73,0,25,0,175,31,100,6,18,17,15,2,33,1,221,66,21,8,18,4,18,2,1547,230
Drug/Narcotic Offenses,398,36,91,6,166,2,21,0,167,6,1489,69,414,35,20,0,626,8,115,1,131,8,55,3,53,5,290,4,66,0,902,71,403,26,205,0,16,0,913,36,420,42,108,12,124,4,1322,81,1063,32,30,0,410,4,35,3,529,12,185,2,1573,45,1198,41,190,16,140,9,398,19,1578,176,151,3,82,10,269,13,16346,840
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,3,0,4,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,30,0
Pornography,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,9,0,8,1,1,0,0,0,2,0,3,0,0,0,1,0,0,0,1,0,2,1,5,0,4,0,3,0,1,0,1,0,7,0,1,0,1,0,1,0,65,3
Gambling,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,33,0
Prostitution,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,1,0,0,0,19,0,5,0,0,0,0,0,7,0,14,0,0,0,0,0,65,0,102,0,0,0,0,0,0,0,13,0,0,0,58,2,16,0,0,0,0,0,7,0,61,0,0,0,2,0,0,0,417,2
Bribery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0
Weapon Law Violations,22,9,12,0,7,0,1,0,18,0,69,5,47,3,0,0,35,3,7,0,5,0,0,0,17,1,10,0,10,1,94,12,17,1,17,0,1,0,39,1,19,3,7,1,10,2,125,13,99,4,3,0,50,5,4,0,75,1,5,0,223,14,72,10,14,4,9,1,47,1,223,24,8,0,7,1,15,1,1443,121
TOTAL GROUP A,1262,200,309,20,615,5,59,3,919,21,4068,176,1210,178,94,0,2087,53,268,19,302,12,175,9,321,43,1114,42,294,15,3455,542,1267,88,769,2,33,0,2454,89,995,96,214,30,516,17,4794,496,3859,216,219,9,1305,58,104,18,2794,114,506,23,5742,360,3997,304,683,83,709,32,1744,48,7184,1147,686,60,284,29,785,75,58195,4732
Bad Checks,13,0,25,0,12,0,0,0,121,0,10,0,3,0,0,0,13,0,3,0,2,0,1,0,3,0,13,0,11,0,3,0,24,0,0,0,1,0,19,0,4,0,3,0,0,0,13,0,11,0,0,0,3,0,0,0,3,0,23,0,18,0,5,0,0,0,8,0,9,0,15,0,3,0,1,0,10,0,406,0
Curfew/Loitering/Vagrancy,12,0,0,9,0,0,0,0,0,3,14,32,0,1,0,0,0,20,1,9,4,0,0,0,0,1,0,0,0,7,1,179,0,0,0,35,0,0,2,0,0,0,2,0,0,0,10,0,1,0,0,0,3,2,0,12,5,221,0,0,0,41,0,17,0,0,0,0,0,3,124,448,0,0,0,0,0,6,179,1046
Disorderly Conduct,129,7,2,0,7,0,16,0,17,2,29,1,12,5,2,0,61,3,6,0,5,0,15,0,9,0,15,0,2,0,7,18,29,4,18,0,1,0,58,1,110,4,5,0,26,0,45,2,498,42,5,0,73,3,1,0,55,4,7,1,117,44,54,83,44,13,13,3,62,1,669,39,23,2,5,3,7,0,2259,285
Driving Under Influence,339,1,58,1,12,0,36,0,100,0,914,0,173,0,19,0,206,1,52,0,139,0,112,0,40,0,255,1,64,0,426,0,183,2,51,0,20,1,377,0,212,2,97,0,33,0,606,0,583,0,60,0,89,0,39,2,229,0,95,0,262,0,421,2,86,0,91,0,264,0,2300,3,78,1,93,0,200,1,9414,18
Drunkenness,378,0,50,0,302,0,45,0,343,1,537,1,47,2,62,0,620,2,47,0,164,0,100,0,45,0,230,0,151,2,817,3,628,4,31,1,22,1,478,0,290,1,55,0,109,0,682,1,1502,1,121,1,22,0,11,1,302,0,238,1,419,3,1725,3,177,1,227,0,6,0,3258,7,69,0,150,0,482,1,14942,38
"Family Offenses, Nonforcible",4,0,8,0,8,0,1,0,9,0,3,0,7,0,0,0,6,0,1,0,0,0,0,0,2,0,11,0,5,0,220,0,9,0,6,0,1,0,15,0,2,0,1,1,0,0,86,20,703,1,2,0,71,0,1,0,85,0,0,0,337,3,13,0,7,0,1,0,38,0,364,1,12,0,3,0,7,2,2049,28
Liquor Laws Violations,441,22,18,7,28,7,0,1,35,7,99,13,29,7,6,2,52,1,2,4,38,1,20,0,29,1,120,3,5,2,14,2,378,5,18,1,7,0,154,6,159,37,7,2,18,5,61,19,1221,19,22,6,47,1,11,8,36,10,168,3,123,1,461,6,18,3,37,4,40,2,509,112,5,3,13,2,92,23,4541,358
Peeping Tom,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,16,0
Runaway,0,211,0,0,0,0,0,0,0,71,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,331,0,1,0,0,0,0,0,48,0,0,0,1,0,0,0,120,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,904
Trespass of Real Property,159,13,40,4,72,0,5,0,112,0,174,5,38,12,10,0,183,6,20,0,8,0,34,0,16,0,73,0,22,2,219,19,103,1,35,3,1,0,216,6,66,10,3,0,18,0,345,30,1015,32,18,1,83,1,5,1,498,27,7,0,491,24,444,12,18,3,44,2,76,5,376,32,20,1,14,3,30,0,5111,255
Conspiracy,0,0,0,0,2,0,0,0,0,0,31,10,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,52,13
All Other (except Traffic),726,41,130,18,455,15,65,1,768,24,2817,85,1186,30,44,0,1544,40,203,0,23,2,259,3,207,10,620,22,80,3,2791,153,1010,10,182,27,3,0,1976,171,145,18,90,13,616,19,1723,104,7227,797,157,0,1063,11,33,5,3139,36,270,7,3679,14,1309,113,2,0,858,22,794,11,7205,191,378,17,43,3,830,12,44650,2048
TOTAL GROUP B,2202,295,331,39,899,22,168,2,1506,108,4628,147,1499,90,144,2,2685,73,337,13,383,3,541,3,351,13,1338,26,341,16,4500,705,2366,27,341,67,56,2,3295,232,989,72,263,19,820,24,3572,296,12763,935,385,8,1454,18,101,29,4352,299,813,12,5449,130,4432,247,353,22,1279,31,1290,22,14823,833,588,55,324,11,1658,45,83619,4993
GRAND TOTAL,3464,495,640,59,1514,27,227,5,2425,129,8696,323,2709,268,238,2,4772,126,605,32,685,15,716,12,672,56,2452,68,635,31,7955,1247,3633,115,1110,69,89,2,5749,321,1984,168,477,49,1336,41,8366,792,16622,1151,604,17,2759,76,205,47,7146,413,1319,35,11191,490,8429,551,1036,105,1988,63,3034,70,22007,1980,1274,115,608,40,2443,120,141814,9725
