Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
FAIRFAX COUNTY,,,,
Fairfax County PD,1454,1251,203,262
Herndon PD,56,52,4,15
Vienna PD,41,36,5,9
FAUQUIER COUNTY,,,,
Sheriff's Office,114,104,10,16
Remington PD,1,1,0,0
Warrenton PD,19,17,2,2
FLOYD COUNTY,,,,
Sheriff's Office,18,17,1,9
FLUVANNA COUNTY,,,,
Sheriff's Office,27,24,3,14
FRANKLIN COUNTY,,,,
Sheriff's Office,77,66,11,20
Rocky Mount PD,19,18,1,2
FREDERICK COUNTY,,,,
Sheriff's Office,115,102,13,17
Middletown PD,1,1,0,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff's Office,25,25,0,10
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,1,1,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,96,82,14,21
GOOCHLAND COUNTY,,,,
Sheriff's Office,30,27,3,9
GRAYSON COUNTY,,,,
Sheriff's Office,22,20,2,7
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff's Office,26,25,1,7
GREENSVILLE COUNTY,,,,
Sheriff's Office,22,20,2,12
HALIFAX COUNTY,,,,
Sheriff's Office,34,31,3,8
Halifax PD,5,4,1,0
South Boston PD,26,23,3,2
HANOVER COUNTY,,,,
Sheriff's Office,214,201,13,19
Ashland PD,24,22,2,3
HENRICO COUNTY,,,,
Henrico PD,582,536,46,181
HENRY COUNTY,,,,
Sheriff's Office,110,98,12,14
HIGHLAND COUNTY,,,,
Sheriff's Office,6,6,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,43,36,7,7
Smithfield PD,22,20,2,4
JAMES CITY COUNTY,,,,
James City PD,94,76,18,5
KING & QUEEN COUNTY,,,,
Sheriff's Office,12,11,1,8
KING GEORGE COUNTY,,,,
Sheriff's Office,31,27,4,14
KING WILLIAM COUNTY,,,,
Sheriff's Office,21,19,2,13
West Point PD,8,7,1,1
LANCASTER COUNTY,,,,
Sheriff's Office,29,22,7,5
Kilmarnock PD,5,3,2,0
White Stone PD,1,1,0,0
LEE COUNTY,,,,
Sheriff's Office,36,30,6,0
Jonesville PD,3,3,0,0
Pennington Gap PD,6,6,0,0
LOUDOUN COUNTY,,,,
Sheriff's Office,460,397,63,96
Leesburg PD,76,68,8,18
Middleburg PD,4,4,0,0
Purcellville PD,13,11,2,1
LOUISA COUNTY,,,,
Sheriff's Office,48,45,3,10
Louisa PD,6,6,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,14,13,1,7
Kenbridge PD,6,6,0,0
Victoria PD,5,5,0,1
MADISON COUNTY,,,,
Sheriff's Office,19,16,3,12
MATHEWS COUNTY,,,,
Sheriff's Office,13,10,3,7
MECKLENBURG COUNTY,,,,
Sheriff's Office,48,44,4,3
Chase City PD,9,9,0,1
Clarksville PD,8,8,0,1
LaCrosse PD,4,3,1,0
South Hill PD,20,19,1,2
MIDDLESEX COUNTY,,,,
Sheriff's Office,17,16,1,6
MONTGOMERY COUNTY,,,,
Sheriff's Office,114,94,20,16
Blacksburg PD,62,57,5,17
Christiansburg PD,53,50,3,17
NELSON COUNTY,,,,
Sheriff's Office,14,13,1,1
NEW KENT COUNTY,,,,
Sheriff's Office,28,25,3,11
NORTHAMPTON CO.,,,,
Sheriff's Office,67,55,12,18
Cape Charles PD,5,5,0,0
Exmore PD,8,6,2,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,17,16,1,11
NOTTOWAY COUNTY,,,,
Sheriff's Office,14,12,2,10
Blackstone PD,11,11,0,5
Crewe PD,6,5,1,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff's Office,36,30,6,11
Orange PD,15,12,3,3
Gordonsville PD,6,6,,
PAGE COUNTY,,,,
Sheriff's Office,52,46,6,14
Luray PD,11,11,0,2
Shenandoah PD,5,5,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff's Office,39,35,4,14
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,114,100,14,18
Chatham PD,4,4,0,0
Gretna PD,4,4,0,0
Hurt PD,1,1,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,35,33,2,15
PRINCE EDWARD CO.,,,,
Sheriff's Office,29,20,9,0
Farmville PD,27,24,3,1
PRINCE GEORGE CO.,,,,
Prince George Co. PD,57,52,5,18
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,553,481,72,131
Quantico PD,2,2,0,0
Haymarket PD,3,3,0,1
Dumfries PD,14,11,3,2
Occoquan PD,2,1,1,0
PULASKI COUNTY,,,,
Sheriff's Office,42,38,4,10
Pulaski PD,28,25,3,8
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,24,15,9,0
RICHMOND COUNTY,,,,
Sheriff's Office,12,12,0,8
Warsaw PD,3,2,1,0
ROANOKE COUNTY,,,,
Roanoke Co. PD,138,119,19,12
Vinton PD,24,19,5,10
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,29,27,2,9
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,52,47,5,112
Bridgewater PD,9,7,2,0
Broadway PD,4,4,0,0
Dayton PD,9,8,1,1
Elkton PD,6,6,0,1
Grottoes PD,5,5,0,1
Timberville PD,4,3,1,0
RUSSELL COUNTY,,,,
Sheriff's Office,34,30,4,18
Lebanon PD,11,11,0,1
Honaker PD,4,4,0,1
SCOTT COUNTY,,,,
Sheriff's Office,26,24,2,9
Gate City PD,5,5,0,0
Weber City PD,5,4,1,0
SHENANDOAH COUNTY,,,,
Sheriff's Office,68,58,10,8
Edinburg PD,2,2,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,17,16,1,1
Strasburg PD,19,18,1,2
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff's Office,46,35,11,0
Marion PD,18,16,2,2
Saltville PD,7,6,1,1
Chilhowie PD,6,6,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,58,49,9,11
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,156,140,16,36
STAFFORD COUNTY,,,,
Sheriff's Office,155,136,19,56
SURRY COUNTY,,,,
Sheriff's Office,11,10,1,9
SUSSEX COUNTY,,,,
Sheriff's Office,37,26,11,5
Waverly PD,6,6,0,5
TAZEWELL COUNTY,,,,
Sheriff's Office,44,40,4,8
Bluefield PD,17,16,1,6
Pocahontas PD,1,1,0,0
Richlands PD,18,17,1,5
Tazewell PD,12,10,2,2
Cedar Bluff PD,3,2,1,0
WARREN COUNTY,,,,
Sheriff's Office,43,33,10,49
Front Royal PD,35,32,3,10
WASHINGTON COUNTY,,,,
Sheriff's Office,52,47,5,18
Abingdon PD,23,22,1,2
Damascus PD,5,5,0,2
Glade Springs PD,2,2,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,22,20,2,10
Colonial Beach PD,12,12,0,5
WISE COUNTY,,,,
Sheriff's Office,57,44,13,2
Appalachia PD,6,6,0,0
Big Stone Gap PD,16,15,1,2
Coeburn PD,7,6,1,1
Pound PD,4,4,0,0
St. Paul PD,4,4,0,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff's Office,39,36,3,7
Wytheville PD,28,24,4,15
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office,103,90,13,6
COUNTY TOTAL,9378,8241,1137,2158
