countycode,state,sta,county,countyname,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
51125,51,VA,125,Nelson County,"5,887",48,"2,251",2.1%,15,"6,847",0.2%,289,"1,483",19.5%,3.5%,-0.4%
51127,51,VA,127,New Kent County,"4,913",86,"4,096",2.1%,0,"6,314",0.0%,507,"2,699",18.8%,3.7%,-0.4%
51131,51,VA,131,Northampton County,"5,319",45,"1,097",4.1%,204,"2,874",7.1%,206,723,28.5%,5.1%,0.0%
51133,51,VA,133,Northumberland County,"5,469",38,"1,164",3.3%,0,"4,484",0.0%,181,767,23.6%,5.0%,0.0%
51135,51,VA,135,Nottoway County,"5,670",81,"1,319",6.1%,139,"6,023",2.3%,355,869,40.9%,5.6%,0.0%
51137,51,VA,137,Orange County,"10,142",294,"8,644",3.4%,5,"12,460",0.0%,"1,403","5,696",24.6%,4.9%,0.0%
51139,51,VA,139,Page County,"9,313",161,"3,721",4.3%,102,"10,059",1.0%,673,"2,452",27.4%,6.2%,0.0%
51141,51,VA,141,Patrick County,"8,118",52,"1,266",4.1%,62,"7,080",0.9%,212,834,25.4%,6.3%,0.0%
51143,51,VA,143,Pittsylvania County,"24,666",230,"5,318",4.3%,356,"25,224",1.4%,914,"3,504",26.1%,6.7%,0.0%
51145,51,VA,145,Powhatan County,"7,253",126,"6,195",2.0%,0,"9,464",0.0%,757,"4,082",18.5%,3.6%,-0.4%
51147,51,VA,147,Prince Edward County,"6,564",54,"1,220",4.4%,73,"7,721",0.9%,222,804,27.6%,6.3%,0.0%
51149,51,VA,149,Prince George County,"10,186",189,"4,698",4.0%,26,"11,447",0.2%,919,"3,096",29.7%,4.4%,-0.4%
51153,51,VA,153,Prince William County,"94,662","6,632","161,309",4.1%,"1,690","132,809",1.3%,"26,503","106,294",24.9%,3.5%,-9.1%
51155,51,VA,155,Pulaski County,"14,626",171,"3,639",4.7%,326,"13,971",2.3%,573,"2,398",23.9%,8.5%,0.0%
51157,51,VA,157,Rappahannock County,"2,796",26,"1,414",1.8%,0,"2,707",0.0%,164,932,17.6%,3.6%,0.0%
51159,51,VA,159,Richmond County,"2,922",33,613,5.4%,0,"2,573",0.0%,146,404,36.1%,5.4%,0.0%
51161,51,VA,161,Roanoke County,"34,734",299,"15,871",1.9%,589,"39,429",1.5%,"1,903","10,458",18.2%,3.4%,0.0%
51163,51,VA,163,Rockbridge County,"8,447",53,"2,648",2.0%,0,"8,456",0.0%,302,"1,745",17.3%,4.1%,0.0%
51165,51,VA,165,Rockingham County,"25,352",183,"10,338",1.8%,62,"27,973",0.2%,"1,181","6,812",17.3%,3.5%,0.0%
51167,51,VA,167,Russell County,"11,766",85,"1,716",5.0%,123,"7,105",1.7%,359,"1,131",31.7%,6.1%,0.0%
51169,51,VA,169,Scott County,"9,851",60,"1,290",4.7%,3,"8,828",0.0%,254,850,29.9%,6.0%,0.0%
51171,51,VA,171,Shenandoah County,"14,284",235,"7,935",3.0%,90,"16,227",0.6%,"1,135","5,229",21.7%,4.9%,0.0%
51173,51,VA,173,Smyth County,"13,497",95,"2,768",3.4%,231,"12,071",1.9%,412,"1,824",22.6%,5.8%,0.0%
51175,51,VA,175,Southampton County,"6,299",93,"1,824",5.1%,0,"6,119",0.0%,420,"1,202",34.9%,5.3%,0.0%
51177,51,VA,177,Spotsylvania County,"31,259","1,708","41,712",4.1%,73,"42,909",0.2%,"6,787","27,486",24.7%,3.6%,-9.1%
51179,51,VA,179,Stafford County,"30,136","1,600","44,294",3.6%,59,"42,130",0.1%,"6,211","29,187",21.3%,3.7%,-9.1%
51181,51,VA,181,Surry County,"2,603",34,792,4.3%,0,"2,485",0.0%,162,522,31.0%,4.4%,-0.7%
51183,51,VA,183,Sussex County,"4,124",52,810,6.4%,0,"3,417",0.0%,222,534,41.6%,6.0%,-0.4%
51185,51,VA,185,Tazewell County,"18,263",141,"3,336",4.2%,509,"15,868",3.2%,641,"2,198",29.2%,5.2%,0.0%
51187,51,VA,187,Warren County,"12,125",474,"11,037",4.3%,346,"14,740",2.3%,"1,789","7,273",24.6%,4.1%,-9.1%
51191,51,VA,191,Washington County,"21,031",180,"6,315",2.9%,130,"21,286",0.6%,784,"4,161",18.8%,5.7%,0.0%
51193,51,VA,193,Westmoreland County,"6,865",131,"3,070",4.3%,214,"7,462",2.9%,592,"2,023",29.3%,5.3%,0.0%
51195,51,VA,195,Wise County,"16,047",130,"2,442",5.3%,358,"10,791",3.3%,568,"1,609",35.3%,5.7%,0.0%
51197,51,VA,197,Wythe County,"11,517",103,"2,510",4.1%,171,"11,403",1.5%,425,"1,654",25.7%,6.2%,0.0%
51199,51,VA,199,York County,"19,914",136,"12,414",1.1%,157,"23,962",0.7%,"1,012","8,180",12.4%,3.4%,-0.7%
51510,51,VA,510,Alexandria city,"61,968",539,"34,815",1.5%,"1,448","72,343",2.0%,"2,158","22,941",9.4%,2.9%,-9.1%
51515,51,VA,515,Bedford city,"2,520",23,754,3.1%,140,"2,770",5.1%,106,497,21.3%,5.3%,0.0%
51520,51,VA,520,Bristol city,"7,714",94,"1,993",4.7%,619,"8,954",6.9%,378,"1,313",28.8%,6.6%,0.0%
51530,51,VA,530,Buena Vista city,"2,542",41,870,4.7%,108,"2,904",3.7%,177,573,30.9%,5.8%,0.0%
51540,51,VA,540,Charlottesville city,"16,861",93,"5,172",1.8%,477,"19,091",2.5%,490,"3,408",14.4%,4.6%,-0.4%
51550,51,VA,550,Chesapeake city,"69,835","1,781","57,041",3.1%,346,"81,519",0.4%,"9,033","37,587",24.0%,4.1%,-0.7%
51560,51,VA,560,,"1,387",0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",153,"2,054",7.4%,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",0.0%
51570,51,VA,570,Colonial Heights city,"7,037",92,"2,747",3.3%,137,"7,827",1.8%,442,"1,810",24.4%,4.7%,-0.4%
51580,51,VA,580,Covington city,"2,835",29,557,5.2%,344,"3,343",10.3%,117,367,31.9%,6.8%,0.0%
51590,51,VA,590,Danville city,"20,608",236,"3,462",6.8%,"2,744","22,652",12.1%,837,"2,281",36.7%,9.0%,0.0%
51595,51,VA,595,Emporia city,"2,222",22,346,6.4%,106,"2,517",4.2%,85,228,37.3%,7.8%,0.0%
51600,51,VA,600,Fairfax city,"8,013",150,"6,076",2.5%,123,"8,808",1.4%,557,"4,004",13.9%,3.6%,-9.1%
51610,51,VA,610,Falls Church city,"4,472",42,"2,458",1.7%,44,"5,477",0.8%,106,"1,620",6.5%,4.5%,-9.1%
51620,51,VA,620,Franklin city,"3,395",71,970,7.3%,76,"3,841",2.0%,299,639,46.8%,6.5%,0.0%
51630,51,VA,630,Fredericksburg city,"8,086",155,"3,399",4.6%,239,"10,048",2.4%,459,"2,240",20.5%,6.4%,-9.1%
51640,51,VA,640,Galax city,"2,938",28,565,5.0%,100,"3,098",3.2%,117,372,31.5%,6.1%,0.0%
51650,51,VA,650,Hampton city,"53,954","1,254","24,222",5.2%,864,"58,884",1.5%,"5,722","15,961",35.8%,4.9%,-0.7%
51660,51,VA,660,Harrisonburg city,"13,156",96,"4,278",2.2%,129,"15,825",0.8%,469,"2,819",16.6%,5.0%,0.0%
51670,51,VA,670,Hopewell city,"9,053",194,"2,941",6.6%,378,"9,907",3.8%,809,"1,938",41.7%,6.4%,-0.4%
51678,51,VA,678,Lexington city,"2,223",13,466,2.8%,24,"2,686",0.9%,37,307,12.1%,8.3%,0.0%
51680,51,VA,680,Lynchburg city,"25,465",305,"8,576",3.6%,"1,436","29,630",4.8%,"1,345","5,651",23.8%,5.6%,0.0%
51683,51,VA,683,Manassas city,"11,785",766,"14,094",5.4%,395,"12,856",3.1%,"2,987","9,287",32.2%,4.2%,-9.1%
51685,51,VA,685,Manassas Park city,"3,253",376,"6,837",5.5%,161,"4,592",3.5%,"1,467","4,505",32.6%,4.1%,-9.1%
51690,51,VA,690,Martinsville city,"6,506",85,"1,225",6.9%,716,"6,851",10.5%,284,807,35.2%,11.4%,0.0%
51700,51,VA,700,Newport News city,"69,750","1,259","28,146",4.5%,"1,033","77,273",1.3%,"5,884","18,547",31.7%,4.7%,-0.7%
51710,51,VA,710,Norfolk city,"86,178","1,738","34,331",5.1%,"1,307","93,420",1.4%,"7,445","22,622",32.9%,5.7%,-0.7%
51720,51,VA,720,Norton city,"1,730",14,244,5.7%,204,"1,874",10.9%,61,161,37.9%,6.2%,0.0%
51730,51,VA,730,Petersburg city,"13,795",328,"3,594",9.1%,"1,121","15,861",7.1%,"1,302","2,368",55.0%,7.8%,-0.4%
51735,51,VA,735,Poquoson city,"4,166",28,"2,346",1.2%,65,"4,598",1.4%,197,"1,546",12.7%,3.5%,-0.7%
51740,51,VA,740,Portsmouth city,"38,137","1,117","19,217",5.8%,"1,178","41,061",2.9%,"4,945","12,663",39.1%,5.3%,-0.7%
51750,51,VA,750,Radford city,"5,804",36,"1,308",2.8%,181,"6,732",2.7%,132,862,15.3%,6.9%,0.0%
51760,51,VA,760,Richmond city,"84,566","1,400","28,520",4.9%,"3,521","94,688",3.7%,"5,800","18,793",30.9%,6.2%,-0.4%
51770,51,VA,770,Roanoke city,"42,026",637,"13,733",4.6%,"2,550","45,946",5.5%,"3,005","9,049",33.2%,4.7%,0.0%
51775,51,VA,775,Salem city,"9,933",84,"3,468",2.4%,375,"10,902",3.4%,460,"2,285",20.1%,4.1%,0.0%
51790,51,VA,790,Staunton city,"9,681",124,"3,524",3.5%,395,"11,256",3.5%,607,"2,322",26.1%,4.6%,0.0%
51800,51,VA,800,Suffolk city,"23,290",783,"21,017",3.7%,324,"31,589",1.0%,"3,776","13,849",27.3%,4.4%,-0.7%
51810,51,VA,810,Virginia Beach city,"154,635","2,904","105,925",2.7%,854,"174,304",0.5%,"15,675","69,799",22.5%,3.8%,-0.7%
51820,51,VA,820,Waynesboro city,"8,318",105,"3,066",3.4%,238,"9,655",2.5%,522,"2,020",25.8%,4.5%,0.0%
51830,51,VA,830,Williamsburg city,"3,616",41,"1,367",3.0%,105,"4,597",2.3%,105,901,11.7%,8.7%,-0.7%
51840,51,VA,840,Winchester city,"9,994",229,"4,600",5.0%,424,"11,784",3.6%,761,"3,031",25.1%,4.7%,-12.0%
