Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Sheriff's Office ,47,46,1,11
McKenney PD ,1,1,0,0
ESSEX COUNTY,,,,
Sheriff's Office ,18,10,8,0
Tappahannock PD ,9,7,2,0
FAIRFAX COUNTY,,,,
Fairfax County PD ,1235,1077,158,406
Herndon PD ,50,42,8,12
Vienna PD ,37,32,5,9
FAUQUIER COUNTY,,,,
Sheriff's Office ,89,81,8,17
Warrenton PD ,20,17,3,3
FLOYD COUNTY,,,,
Sheriff's Office ,17,17,0,10
FLUVANNA COUNTY,,,,
Sheriff's Office ,19,17,2,7
FRANKLIN COUNTY,,,,
Sheriff's Office ,72,64,8,15
Rocky Mount PD ,16,15,1,2
FREDERICK COUNTY,,,,
Sheriff's Office ,81,76,5,14
Middletown PD ,2,2,0,0
Stephens City PD ,3,3,0,0
GILES COUNTY ,,,,
Sheriff's Office ,20,20,0,10
Glen Lyn PD ,2,2,0,0
Pearisburg PD ,7,7,0,1
Pembroke PD ,2,2,0,0
Rich Creek PD ,1,1,0,0
Narrows PD ,4,4,0,0
GLOUCESTER COUNTY ,,,,
Sheriff's Office ,74,62,12,15
GOOCHLAND COUNTY ,,,,
Sheriff's Office ,23,20,3,6
GRAYSON COUNTY ,,,,
Sheriff's Office ,20,19,1,6
Fries PD ,1,1,0,0
Independence PD ,2,2,0,0
GREENE COUNTY ,,,,
Sheriff's Office ,16,16,0,11
GREENSVILLE COUNTY ,,,,
Sheriff's Office ,21,18,3,6
HALIFAX COUNTY ,,,,
Sheriff's Office ,36,31,5,12
Halifax PD ,6,5,1,1
South Boston ,28,26,2,4
HANOVER COUNTY ,,,,
Sheriff's Office ,157,148,9,17
Ashland PD ,21,21,0,3
HENRICO COUNTY ,,,,
Henrico PD ,510,474,36,207
HENRY COUNTY ,,,,
Sheriff's Office ,105,98,7,14
HIGHLAND COUNTY ,,,,
Sheriff's Office ,7,7,0,5
ISLE OF WIGHT COUNTY ,,,,
Sheriff's Office ,25,21,4,7
Smithfield PD ,15,14,1,11
JAMES CITY COUNTY ,,,,
James City PD ,63,55,8,3
KING & QUEEN COUNTY ,,,,
Sheriff's Office ,8,7,1,5
KING GEORGE COUNTY ,,,,
Sheriff's Office ,23,21,2,13
KING WILLIAM COUNTY ,,,,
Sheriff's Office ,15,15,0,9
West Point ,9,8,1,1
LANCASTER COUNTY ,,,,
Sheriff's Office ,25,17,8,5
Kilmarnock PD ,4,3,1,0
LEE COUNTY ,,,,
Sheriff's Office ,45,37,8,0
Jonesville PD ,6,6,0,2
Pennington Gap PD ,6,6,0,1
LOUDOUN COUNTY ,,,,
Sheriff's Office ,272,238,34,57
Leesburg PD ,54,47,7,15
Middleburg PD ,4,3,1,0
Purcellville PD ,8,8,0,1
LOUISA COUNTY,,,,
Sheriff's Office ,30,28,2,12
Louisa PD ,5,5,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office ,13,12,1,6
Kenbridge PD ,8,7,1,1
Victoria PD ,6,6,0,1
MADISON COUNTY,,,,
Sheriff's Office ,12,12,0,7
MATHEWS COUNTY,,,,
Sheriff's Office ,19,12,7,0
MECKLENBURG COUNTY,,,,
Sheriff's Office ,80,59,21,2
Chase City PD ,7,7,0,1
Clarksville PD ,6,6,0,1
LaCrosse PD ,3,3,0,0
South Hill PD ,20,20,0,5
MIDDLESEX COUNTY,,,,
Sheriff's Office ,12,11,1,5
MONTGOMERY COUNTY,,,,
Sheriff's Office ,93,74,19,17
Blacksburg PD ,56,54,2,16
Christiansburg PD ,39,35,4,12
NELSON COUNTY,,,,
Sheriff's Office ,15,15,0,6
NEW KENT COUNTY,,,,
Sheriff's Office ,24,22,2,9
NORTHAMPTON CO.,,,,
Sheriff's Office ,36,32,4,11
Cape Charles PD ,5,5,0,0
Exmore PD ,5,5,0,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office ,17,12,5,8
NOTTOWAY COUNTY,,,,
Sheriff's Office ,13,13,0,7
Blackstone PD ,14,12,2,4
Crewe PD ,5,5,0,0
Burkeville PD ,0,0,0,0
ORANGE COUNTY,,,,
Sheriff's Office ,27,25,2,8
Orange PD ,12,12,0,1
Gordonsville PD ,4,4,0,0
PAGE COUNTY,,,,
Sheriff's Office,41,37,4,19
Luray PD ,15,14,1,2
Shenandoah PD ,4,4,0,0
Stanley PD ,3,3,0,0
PATRICK COUNTY,,,,
Sheriff's Office ,28,25,3,13
PITTSYLVANIA COUNTY,,,,
Sheriff's Office ,67,63,4,55
Chatham PD ,4,4,0,0
Gretna PD ,4,4,0,0
Hurt PD ,3,3,0,0
POWHATAN COUNTY,,,,
Sheriff's Office ,37,32,5,9
PRINCE EDWARD CO. ,,,,
Sheriff's Office ,25,18,7,0
Farmville PD ,24,22,2,11
PRINCE GEORGE CO. ,,,,
Prince George Co. PD ,44,42,2,14
PRINCE WILLIAM CO. ,,,,
Prince Wm. Co. PD ,400,358,42,99
Quantico PD ,1,1,0,1
Haymarket PD ,3,3,0,0
Dumfries PD ,13,11,2,2
Occoquan PD ,2,2,0,0
PULASKI COUNTY ,,,,
Sheriff's Office ,39,36,3,10
Pulaski PD ,33,28,5,10
Dublin PD ,8,8,0,1
RAPPAHANNOCK CO. ,,,,
Sheriff's Office ,21,15,6,0
RICHMOND COUNTY ,,,,
Sheriff's Office ,10,9,1,6
Warsaw PD ,2,2,0,1
ROANOKE COUNTY ,,,,
Roanoke Co. PD ,109,99,10,36
Vinton PD ,19,16,3,7
ROCKBRIDGE COUNTY ,,,,
Sheriff's Office ,23,23,0,7
Glasgow PD ,1,1,0,0
ROCKINGHAM COUNTY ,,,,
Sheriff's Office ,52,44,8,104
Bridgewater PD ,8,8,0,0
Broadway PD ,4,4,0,0
Dayton PD ,5,4,1,0
Elkton PD ,6,6,0,1
Grottoes PD ,5,5,0,0
Timberville PD ,3,3,0,0
RUSSELL COUNTY ,,,,
Sheriff's Office ,46,40,6,7
Lebanon PD ,11,11,0,1
Honaker PD ,2,2,0,1
SCOTT COUNTY ,,,,
Sheriff's Office ,40,28,12,1
Gate City PD ,6,5,1,0
Weber City PD ,6,4,2,0
SHENANDOAH COUNTY ,,,,
Sheriff's Office ,55,47,8,7
Edinburg PD ,3,3,0,0
Mt. Jackson PD ,4,4,0,0
Woodstock PD ,14,14,0,1
Strasburg PD ,12,12,0,2
New Market PD ,5,5,0,0
SMYTH COUNTY ,,,,
Sheriff's Office ,48,34,14,0
Marion PD ,18,17,1,2
Saltville PD ,8,8,0,1
Chilhowie PD ,8,8,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office ,62,50,12,13
Courtland PD ,1,1,0,2
Boykins PD ,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office ,88,83,5,6
STAFFORD COUNTY,,,,
Sheriff's Office ,99,91,8,10
SURRY COUNTY,,,,
Sheriff's Office ,13,11,2,5
SUSSEX COUNTY,,,,
Sheriff's Office ,37,27,10,4
Waverly PD ,4,3,1,2
TAZEWELL COUNTY,,,,
Sheriff's Office ,72,60,12,10
Bluefield PD ,13,11,2,4
Pocahontas PD ,3,3,0,0
Richlands PD ,16,15,1,6
Tazewell PD ,10,10,0,1
Cedar Bluff PD ,2,2,0,0
WARREN COUNTY,,,,
Sheriff's Office ,66,62,4,1
Front Royal PD ,29,28,1,9
WASHINGTON COUNTY,,,,
Sheriff's Office ,66,55,11,10
Abingdon PD ,20,18,2,2
Damascus PD ,4,4,0,0
Glade Springs PD ,3,2,1,0
WESTMORELAND CO.,,,,
Sheriff's Office ,20,18,2,10
Colonial Beach PD ,7,6,1,5
WISE COUNTY,,,,
Sheriff's Office ,69,58,11,12
Appalachia PD ,6,5,1,0
Big Stone Gap PD ,16,16,0,2
Coeburn PD ,7,7,0,1
Pound PD ,5,5,0,0
St. Paul PD ,5,5,0,0
Wise PD ,11,11,0,1
WYTHE COUNTY,,,,
Sheriff's Office ,26,25,1,7
Wytheville PD ,24,23,1,12
Rural Retreat PD ,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office ,83,78,5,5
COUNTY TOTAL,8004,7101,903,2048
