Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
Sheriff's Office,13,11,2,6,
Kenbridge PD,5,5,0,0,
Victoria PD,5,4,1,1,
MADISON COUNTY,,,,,
Sheriff's Office,19,17,2,13,
MATHEWS COUNTY,,,,,
Sheriff's Office,12,9,3,6,
MECKLENBURG COUNTY,,,,,
Sheriff's Office,51,47,4,2,
Chase City PD,9,9,0,1,
Clarksville PD,7,7,0,1,
LaCrosse PD,1,1,0,0,
South Hill PD,20,19,1,2,
MIDDLESEX COUNTY,,,,,
Sheriff's Office,16,15,1,6,
MONTGOMERY COUNTY,,,,,
Sheriff's Office,105,88,17,16,
Blacksburg PD,63,58,5,15,
Christiansburg PD,57,55,2,16,
NELSON COUNTY,,,,,
Sheriff's Office,16,14,2,4,
NEW KENT COUNTY,,,,,
Sheriff's Office,30,29,1,13,
NORTHAMPTON CO.,,,,,
Sheriff's Office,66,50,16,17,
Cape Charles PD,5,5,0,0,
Exmore PD,7,5,2,0,
NORTHUMBERLAND CO.,,,,,
Sheriff's Office,20,19,1,13,
NOTTOWAY COUNTY,,,,,
Sheriff's Office,14,13,1,11,
Blackstone PD,9,9,0,5,
Crewe PD,4,3,1,1,
Burkeville PD,1,1,0,0,
ORANGE COUNTY,,,,,
Sheriff's Office,36,30,6,8,
Orange PD,15,14,1,2,
Gordonsville PD,5,5,0,1,
PAGE COUNTY,,,,,
Sheriff's Office,49,44,5,16,
Luray PD,11,11,0,2,
Shenandoah PD,5,5,0,0,
Stanley PD,4,4,0,0,
PATRICK COUNTY,,,,,
Sheriff's Office,50,44,6,15,
PITTSYLVANIA COUNTY,,,,,
Sheriff's Office,112,97,15,17,
Chatham PD,3,3,0,0,
Gretna PD,4,3,1,0,
Hurt PD,2,2,0,0,
POWHATAN COUNTY,,,,,
Sheriff's Office,40,37,3,16,
PRINCE EDWARD CO.,,,,,
Sheriff's Office,23,20,3,6,
Farmville PD,26,24,2,1,
PRINCE GEORGE CO.,,,,,
Prince George County PD,53,48,5,23,
PRINCE WILLIAM CO.,,,,,
Prince William County PD,593,512,81,117,
Quantico PD,2,2,0,0,
Haymarket PD,5,5,0,1,
Dumfries PD,8,6,2,2,
Occoquan PD,,,,,
PULASKI COUNTY,,,,,
Sheriff's Office,42,38,4,10,
Pulaski PD,27,22,5,9,
Dublin PD,8,8,0,1,
RAPPAHANNOCK CO.,,,,,
Sheriff's Office,26,18,8,1,
RICHMOND COUNTY,,,,,
Sheriff's Office,12,12,0,8,
Warsaw PD,3,3,0,1,
ROANOKE COUNTY,,,,,
Roanoke County PD,128,111,17,13,
Vinton PD,21,20,1,2,
ROCKBRIDGE COUNTY,,,,,
Sheriff's Office,31,29,2,8,
Glasgow PD,1,1,0,0,
ROCKINGHAM COUNTY,,,,,
Sheriff's Office,47,43,4,16,
Bridgewater PD,9,8,1,0,
Broadway PD,4,4,0,0,
Dayton PD,7,6,1,1,
Elkton PD,6,6,0,1,
Grottoes PD,6,6,0,0,
Timberville PD,4,3,1,0,
RUSSELL COUNTY,,,,,
Sheriff's Office,33,30,3,17,
Lebanon PD,11,11,0,1,
Honaker PD,2,2,0,0,
SCOTT COUNTY,,,,, 
Sheriff's Office,29,26,3,0,
Gate City PD,6,6,0,0,
Weber City PD,5,4,1,0,
SHENANDOAH COUNTY,,,,,
Sheriff's Office,68,57,11,9,
Edinburg PD,1,1,0,0,
Mt. Jackson PD,4,4,0,0,
Woodstock PD,15,15,0,1,
Strasburg PD,17,15,2,2,
New Market PD,5,5,0,0,
SMYTH COUNTY,,,,,
Sheriff's Office,41,34,7,0,
Marion PD,19,17,2,2,
Saltville PD,7,7,0,0,
Chilhowie PD,5,5,0,0,
SOUTHAMPTON COUNTY,,,,,
Sheriff's Office,61,51,10,14,
Boykins PD,1,1,0,0,
SPOTSYLVANIA COUNTY,,,,,
Sheriff's Office,164,149,15,52,
STAFFORD COUNTY,,,,,
Sheriff's Office,160,140,20,64,
SURRY COUNTY,,,,,
Sheriff's Office,13,12,1,10,
SUSSEX COUNTY,,,,,
Sheriff's Office,38,28,10,5,
Waverly PD,6,5,1,6,
TAZEWELL COUNTY,,,,,
Sheriff's Office,45,42,3,22,
Bluefield PD,18,17,1,6,
Pocahontas PD,,,,,
Richlands PD,17,16,1,7,
Tazewell PD,13,11,2,1,
Cedar Bluff PD,3,3,0,0,
WARREN COUNTY,,,,,
Sheriff's Office,46,39,7,46,
Front Royal PD,34,32,2,10,
WASHINGTON COUNTY,,,,,
Sheriff's Office,52,46,6,21,
Abingdon PD,25,22,3,2,
Damascus PD,5,5,0,0,
Glade Springs PD,1,0,1,0,
WESTMORELAND CO.,,,,,
Sheriff's Office,23,22,1,11,
Colonial Beach PD,11,9,2,5,
WISE COUNTY,,,,,
Sheriff's Office,48,46,2,16,
Appalachia PD,6,5,1,0,
Big Stone Gap PD,15,14,1,2,
Coeburn PD,5,5,0,0,
Pound PD,4,4,0,0,
St. Paul PD,5,5,0,0,
Wise PD,13,13,0,1,
WYTHE COUNTY,,,,,
Sheriff's Office,39,34,5,7,
Wytheville PD,27,23,4,14,
Rural Retreat PD,1,1,0,0,
YORK COUNTY,,,,,
Sheriff's Office,86,77,9,7,
COUNTY TOTAL,9240,8178,1062,2127,
