Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Fairfax County PD,1401,1203,198,376
Herndon PD,55,50,5,16
Vienna PD,39,34,5,11
FAUQUIER COUNTY,,,,
Sheriff's Office,109,101,8,15
Remington PD,1,1,0,0
Warrenton PD,17,14,3,2
FLOYD COUNTY,,,,
Sheriff's Office,17,16,1,10
FLUVANNA COUNTY,,,,
Sheriff's Office,27,24,3,10
FRANKLIN COUNTY,,,,
Sheriff's Office,72,62,10,18
Rocky Mount PD,16,16,0,2
FREDERICK COUNTY,,,,
Sheriff's Office,109,96,13,17
Middletown PD,2,2,0,0
Stephens City PD,4,4,0,0
GILES COUNTY,,,,
Sheriff's Office,25,25,0,10
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,78,65,13,17
GOOCHLAND COUNTY,,,,
Sheriff's Office,31,27,4,10
GRAYSON COUNTY,,,,
Sheriff's Office,21,20,1,7
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff's Office,22,21,1,16
GREENSVILLE COUNTY,,,,
Sheriff's Office,20,18,2,13
HALIFAX COUNTY,,,,
Sheriff's Office,36,34,2,4
Halifax PD,5,4,1,0
South Boston PD,29,24,5,2
HANOVER COUNTY,,,,
Sheriff's Office,205,193,12,27
Ashland PD,24,23,1,3
HENRICO COUNTY,,,,
Henrico County PD,586,535,51,184
HENRY COUNTY,,,,
Sheriff's Office,108,97,11,13
HIGHLAND COUNTY,,,,
Sheriff's Office,7,7,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,41,34,7,7
Smithfield PD,22,20,2,3
JAMES CITY COUNTY,,,,
James City County PD,92,74,18,5
KING & QUEEN COUNTY,,,,
Sheriff's Office,13,11,2,8
KING GEORGE COUNTY,,,,
Sheriff's Office,29,25,4,14
KING WILLIAM COUNTY,,,,
Sheriff's Office,20,19,1,12
West Point PD,7,6,1,1
LANCASTER COUNTY,,,,
Sheriff's Office,29,24,5,6
Kilmarnock PD,4,2,2,0
White Stone PD,1,1,0,0
LEE COUNTY,,,,
Sheriff's Office,35,28,7,0
Jonesville PD,3,3,0,0
Pennington Gap PD,6,6,,
LOUDOUN COUNTY,,,,
Sheriff's Office,488,423,65,99
Leesburg PD,80,74,6,16
Middleburg PD,5,5,0,0
Purcellville PD,14,12,2,1
LOUISA COUNTY,,,,
Sheriff's Office,48,46,2,13
Louisa PD,5,5,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,14,13,1,7
Kenbridge PD,5,5,0,0
Victoria PD,6,6,0,1
MADISON COUNTY,,,,
Sheriff's Office,19,16,3,13
MATHEWS COUNTY,,,,
Sheriff's Office,12,10,2,11
MECKLENBURG COUNTY,,,,
Sheriff's Office,53,49,4,40
Chase City PD,8,8,0,2
Clarksville PD,7,7,0,1
LaCrosse PD,1,1,0,0
South Hill PD,20,19,1,2
MIDDLESEX COUNTY,,,,
Sheriff's Office,18,17,1,5
MONTGOMERY COUNTY,,,,
Sheriff's Office,101,83,18,14
Blacksburg PD,62,57,5,15
Christiansburg PD,55,52,3,16
NELSON COUNTY,,,,
Sheriff's Office,16,15,1,1
NEW KENT COUNTY,,,,
Sheriff's Office,29,26,3,10
NORTHAMPTON CO.,,,,
Sheriff's Office,60,47,13,17
Cape Charles PD,5,5,0,0
Exmore PD,7,6,1,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,18,17,1,11
NOTTOWAY COUNTY,,,,
Sheriff's Office,13,12,1,10
Blackstone PD,12,11,1,4
Crewe PD,3,3,0,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff's Office,37,31,6,9
Orange PD,15,13,2,2
Gordonsville PD,6,6,0,0
PAGE COUNTY,,,,
Sheriff's Office,50,46,4,15
Luray PD,11,11,0,2
Shenandoah PD,5,5,0,0
Stanley PD,4,4,0,0
PATRICK COUNTY,,,,
Sheriff's Office,24,21,3,14
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,107,93,14,17
Chatham PD,4,4,0,0
Gretna PD,4,3,1,0
Hurt PD,2,2,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,40,37,3,16
PRINCE EDWARD CO.,,,,
Sheriff's Office,30,21,9,0
Farmville PD,27,25,2,1
PRINCE GEORGE CO.,,,,
Prince George County PD,57,52,5,18
PRINCE WILLIAM CO.,,,,
Prince William County PD,557,478,79,109
Quantico PD,2,2,0,0
Haymarket PD,5,5,0,1
Dumfries PD,7,4,3,3
Occoquan PD,,,,
PULASKI COUNTY,,,,
Sheriff's Office,42,38,4,10
Pulaski PD,27,23,4,10
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,23,15,8,
RICHMOND COUNTY,,,,
Sheriff's Office,12,12,0,8
Warsaw PD,3,2,1,0
ROANOKE COUNTY,,,,
Roanoke County PD,138,122,16,12
Vinton PD,22,18,4,2
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,29,27,2,9
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,51,45,6,15
Bridgewater PD,9,8,1,0
Broadway PD,4,4,0,0
Dayton PD,7,7,0,1
Elkton PD,6,5,1,1
Grottoes PD,5,5,1,0
Timberville PD,4,3,1,0
RUSSELL COUNTY,,,,
Sheriff's Office,34,31,3,16
Lebanon PD,11,11,0,1
Honaker PD,2,2,0,1
SCOTT COUNTY,,,,
Sheriff's Office,26,25,1,9
Gate City PD,4,4,0,0
Weber City PD,5,4,1,0
SHENANDOAH COUNTY,,,,
Sheriff's Office,68,58,10,8
Edinburg PD,2,2,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,14,14,0,1
Strasburg PD,20,18,2,2
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff's Office,41,34,7,0
Marion PD,19,17,2,2
Saltville PD,5,5,0,0
Chilhowie PD,6,6,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,64,55,9,14
Boykins PD,,,,
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,157,140,17,50
STAFFORD COUNTY,,,,
Sheriff's Office,163,141,22,61
SURRY COUNTY,,,,
Sheriff's Office,13,11,2,8
SUSSEX COUNTY,,,,
Sheriff's Office,39,28,11,5
Waverly PD,6,6,0,6
TAZEWELL COUNTY,,,,
Sheriff's Office,43,40,3,11
Bluefield PD,15,13,2,5
Pocahontas PD,1,1,0,0
Richlands PD,16,15,1,6
Tazewell PD,15,14,1,2
Cedar Bluff PD,2,2,0,0
WARREN COUNTY,,,,
Sheriff's Office,46,39,7,46
Front Royal PD,35,33,2,10
WASHINGTON COUNTY,,,,
Sheriff's Office,51,47,4,22
Abingdon PD,25,24,1,2
Damascus PD,5,5,0,0
Glade Springs PD,3,3,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,22,20,2,10
Colonial Beach PD,10,10,0,5
WISE COUNTY,,,,
Sheriff's Office,49,49,0,13
Appalachia PD,6,5,1,1
Big Stone Gap PD,13,12,1,2
Coeburn PD,7,6,1,0
Pound PD,4,4,0,0
St. Paul PD,5,5,0,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff's Office,40,36,4,7
Wytheville PD,28,24,4,14
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office,103,96,7,9
COUNTY TOTAL,9163,8093,1070,2224
