Locality,Court,Circuit Court Clerks Collected FY02,Circuit Court Clerks Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Commonwealth's Attorneys Collected FY02,Commonwealth's Attorneys Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Collection Agent
CHARLES CITY,CIRCUIT,48927.67,63254.68,14327.01,22.65,8568.91,13666.35,5097.44,37.30,Taxation
CHARLES CITY,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CHARLES CITY,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CHARLES CITY,COMBINED,81245.05,99381.96,18136.91,18.25,14723.87,13353.07,01370.80,010.27,
CHARLOTTE,CIRCUIT,41699.25,45079.31,3380.06,7.50,41699.25,1852.59,039846.66,02150.86,Taxation
CHARLOTTE,GENERAL DISTRICT,379832.45,412767.64,32935.19,7.98,38099.35,39468.74,1369.39,3.47,
CHARLOTTE,JUVENILE,11646.10,13799.58,2153.48,15.61,1839.04,1972.53,133.49,6.77,
CHARLOTTE,COMBINED,0,0,0,0.00,0,0,0,0.00,
CHESTERFIELD,CIRCUIT,2158147.95,2819137.14,660989.19,23.45,381666.64,480057.20,98390.56,20.50,Taxation
CHESTERFIELD,GENERAL DISTRICT,3579256.82,4305092.22,725835.40,16.86,551416.93,586286.24,34869.31,5.95,Hufff Poole & Mahoney. P.C.
CHESTERFIELD,JUVENILE,199426.48,220229.50,20803.02,9.45,46686.02,61539.47,14853.45,24.14,Taxation
CHESTERFIELD,COMBINED,0,0,0,0.00,0,0,0,0.00,
CLARKE,CIRCUIT,141250.24,173702.24,32452.00,18.68,3793.33,7191.52,3398.19,47.25,Taxation
CLARKE,GENERAL DISTRICT,325412.50,374812.27,49399.77,13.18,33494.66,40829.36,7334.70,17.96,
CLARKE,JUVENILE,9684.98,9759.18,74.2,0.76,2945.99,1716.25,01229.74,071.65,
CLARKE,COMBINED,0,0,0,0.00,0,0,0,0.00,
CRAIG,CIRCUIT,18903.74,20080.43,1176.69,5.86,1109.64,1847.68,738.04,39.94,Taxation
CRAIG,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CRAIG,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CRAIG,COMBINED,36211.07,48295.44,12084.37,25.02,4287.77,6883.03,2595.26,37.71,
CULPEPER,CIRCUIT,294984.28,430259.73,135275.45,31.44,21697.92,20676.32,01021.60,04.94,Taxation
CULPEPER,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CULPEPER,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CULPEPER,COMBINED,788960.54,1140489.61,351529.07,30.82,93433.84,103954.42,10520.58,10.12,
CUMBERLAND,CIRCUIT,40008.02,55139.59,15131.57,27.44,5082.78,5998.95,916.17,15.27,Taxation
CUMBERLAND,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CUMBERLAND,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CUMBERLAND,COMBINED,119600.98,162816.81,43215.83,26.54,19686.26,23715.31,4029.05,16.99,
DICKENSON,CIRCUIT,80791.42,99975.98,19184.56,19.19,23099.96,31148.04,8048.08,25.84,Taxation
DICKENSON,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
DICKENSON,JUVENILE,0,0,0,0.00,0,0,0,0.00,
DICKENSON,COMBINED,190165.01,219909.03,29744.02,13.53,40117.15,52117.11,11999.96,23.02,
DINWIDDIE,CIRCUIT,267872.18,238978.99,028893.19,012.09,35190.52,49570.30,14379.78,29.01,Taxation
DINWIDDIE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
DINWIDDIE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
DINWIDDIE,COMBINED,778112.83,865828.32,87715.49,10.13,157968.54,164512.02,6543.48,3.98,
ESSEX,CIRCUIT,195019.45,186205.10,08814.35,04.73,6495.88,8382.98,1887.10,22.51,Huff Poole & Mahoney
ESSEX,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
ESSEX,JUVENILE,0,0,0,0.00,0,0,0,0.00,
ESSEX,COMBINED,691678.76,822272.65,130593.89,15.88,52546.72,43724.88,08821.84,020.18,
FAIRFAX\FX CITY,CIRCUIT,10062590.63,10901408.95,838818.32,7.69,448995.49,151984.32,0297011.17,0195.42,Taxation
FAIRFAX\FX CITY,GENERAL DISTRICT,15505252.24,18079640.41,2574388.17,14.24,2407441.55,2209155.29,0198286.26,08.98,
FAIRFAX\FX CITY,JUVENILE,470930.18,515003.17,44072.99,8.56,58602.12,62161.62,3559.50,5.73,
FAIRFAX\FX CITY,COMBINED,0,0,0,0.00,0,0,0,0.00,
FAUQUIER,CIRCUIT,816400.07,1006605.41,190205.34,18.90,67141.61,65258.79,01882.82,02.89,Taxation
FAUQUIER,GENERAL DISTRICT,1384442.12,2034292.00,649849.88,31.94,162592.70,171347.98,8755.28,5.11,
FAUQUIER,JUVENILE,49651.02,58587.46,8936.44,15.25,8003.83,5705.02,02298.81,040.29,
FAUQUIER,COMBINED,0,0,0,0.00,0,0,0,0.00,
FLOYD,CIRCUIT,56595.84,87424.19,30828.35,35.26,16350.19,22889.51,6539.32,28.57,In House
FLOYD,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
FLOYD,JUVENILE,0,0,0,0.00,0,0,0,0.00,
FLOYD,COMBINED,77640.29,96639.50,18999.21,19.66,8179.39,6978.78,01200.61,017.20,
FLUVANNA,CIRCUIT,89942.51,93541.68,3599.17,3.85,8713.58,6281.83,02431.75,038.71,Taxation
FLUVANNA,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
FLUVANNA,JUVENILE,0,0,0,0.00,0,0,0,0.00,
FLUVANNA,COMBINED,243243.22,240912.94,02330.28,00.97,37898.54,37359.22,0539.32,01.44,
FRANKLIN,CIRCUIT,275771.11,327990.53,52219.42,15.92,72509.11,77331.63,4822.52,6.24,
FRANKLIN,GENERAL DISTRICT,566257.71,645986.25,79728.54,12.34,104774.53,96117.71,08656.82,09.01,
FRANKLIN,JUVENILE,29356.56,34509.54,5152.98,14.93,6456.14,8545.38,2089.24,24.45,
FRANKLIN,COMBINED,0,0,0,0.00,0,0,0,0.00,
FREDERICK,CIRCUIT,465401.06,514712.45,49311.39,9.58,87474.96,69524.99,017949.97,025.82,
FREDERICK,GENERAL DISTRICT,1057115.36,1284734.72,227619.36,17.72,215176.91,179554.58,035622.33,019.84,
FREDERICK,JUVENILE,51186.41,58896.32,7709.91,13.09,5681.03,4723.67,0957.36,020.27,
FREDERICK,COMBINED,0,0,0,0.00,0,0,0,0.00,
GILES,CIRCUIT,267825.31,205797.92,062027.39,030.14,27782.60,39499.40,11716.80,29.66,
GILES,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GILES,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GILES,COMBINED,481921.38,573225.00,91303.62,15.93,43456.90,54502.38,11045.48,20.27,
GLOUCESTER,CIRCUIT,151849.30,193719.25,41869.95,21.61,44015.98,34304.23,09711.75,028.31,
GLOUCESTER,GENERAL DISTRICT,487992.77,597532.71,109539.94,18.33,69855.82,73472.30,3616.48,4.92,
GLOUCESTER,JUVENILE,37788.08,42460.30,4672.22,11.00,9467.10,8960.08,0507.02,05.66,
GLOUCESTER,COMBINED,0,0,0,0.00,0,0,0,0.00,
GOOCHLAND,CIRCUIT,111087.26,128834.34,17747.08,13.78,34351.47,25836.28,08515.19,032.96,
GOOCHLAND,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GOOCHLAND,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GOOCHLAND,COMBINED,512196.84,561220.66,49023.82,8.74,53205.25,55345.86,2140.61,3.87,
GRAYSON\GALAX,CIRCUIT,146246.25,178168.53,31922.28,17.92,16852.49,12606.72,04245.77,033.68,
GRAYSON\GALAX,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GRAYSON\GALAX,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GRAYSON\GALAX,COMBINED,128952.31,172080.66,43128.35,25.06,62793.82,73117.81,10323.99,14.12,
GREENE,CIRCUIT,149815.59,340835.58,191019.99,56.04,13102.59,7912.58,05190.01,065.59,
GREENE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GREENE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GREENE,COMBINED,505274.69,695375.43,190100.74,27.34,45409.22,44713.36,0695.86,01.56,
GREENESVILLE,CIRCUIT,1696835.03,2033950.33,337115.30,16.57,40421.72,45586.13,5164.41,11.33,
GREENESVILLE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GREENESVILLE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GREENESVILLE,COMBINED,1891801.18,2648496.53,756695.35,28.57,322660.96,317349.27,05311.69,01.67,
HALIFAX,CIRCUIT,289227.36,268114.47,021112.89,07.87,69313.05,68978.17,0334.88,00.49,
HALIFAX,GENERAL DISTRICT,521260.88,642329.91,121069.03,18.85,96571.42,93040.46,03530.96,03.80,
HALIFAX,JUVENILE,11681.20,10169.71,01511.49,014.86,2223.71,4142.13,1918.42,46.31,
HALIFAX,COMBINED,0,0,0,0.00,0,0,0,0.00,
HANOVER,CIRCUIT,762389.43,852140.17,89750.74,10.53,137218.65,139804.37,2585.72,1.85,
HANOVER,GENERAL DISTRICT,1633625.61,1820484.91,186859.30,10.26,345420.65,271489.14,073931.51,027.23,
HANOVER,JUVENILE,51009.59,86198.48,35188.89,40.82,9287.87,7302.77,01985.10,027.18,
HANOVER,COMBINED,0,0,0,0.00,0,0,0,0.00,
HENRICO,CIRCUIT,3291169.59,3132125.51,0159044.08,05.08,321858.97,316281.91,05577.06,01.76,Cantor & Cantor
HENRICO,GENERAL DISTRICT,4873063.56,5255647.65,382584.09,7.28,903704.80,863415.17,040289.63,04.67,
HENRICO,JUVENILE,162909.20,171065.29,8156.09,4.77,51181.81,44992.29,06189.52,013.76,
HENRICO,COMBINED,0,0,0,0.00,0,0,0,0.00,
HENRY,CIRCUIT,367234.62,357526.12,09708.50,02.72,104727.11,124168.34,19441.23,15.66,Taxation
HENRY,GENERAL DISTRICT,794639.04,813661.64,19022.60,2.34,150255.14,111953.76,038301.38,034.21,
HENRY,JUVENILE,44344.78,50563.46,6218.68,12.30,16744.32,15269.11,01475.21,09.66,
HENRY,COMBINED,0,0,0,0.00,0,0,0,0.00,
HIGHLAND,CIRCUIT,28976.65,28230.87,0745.78,02.64,3223.40,1776.78,01446.62,081.42,Taxation
HIGHLAND,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
HIGHLAND,JUVENILE,0,0,0,0.00,0,0,0,0.00,
HIGHLAND,COMBINED,71641.16,80094.66,8453.50,10.55,5275.54,7590.35,2314.81,30.50,
ISLE OF WIGHT,CIRCUIT,266144.17,304266.63,38122.46,12.53,43149.88,42520.07,0629.81,01.48,Taxation
ISLE OF WIGHT,GENERAL DISTRICT,597918.64,667650.20,69731.56,10.44,94311.40,110442.38,16130.98,14.61,
ISLE OF WIGHT,JUVENILE,20836.32,30865.87,10029.55,32.49,7072.21,9793.75,2721.54,27.79,
ISLE OF WIGHT,COMBINED,0,0,0,0.00,0,0,0,0.00,
KING & QUEEN,CIRCUIT,137965.84,190132.47,52166.63,27.44,16671.59,18208.93,1537.34,8.44,Taxation
KING & QUEEN,GENERAL DISTRICT,297992.41,395536.67,97544.26,24.66,36168.65,41258.03,5089.38,12.34,
KING & QUEEN,JUVENILE,7640.55,10925.40,3284.85,30.07,1810.60,1919.79,109.19,5.69,
KING & QUEEN,COMBINED,0,0,0,0.00,0,0,0,0.00,
KING GEORGE,CIRCUIT,1841885.16,511331.18,01330553.98,0260.21,18215.35,14891.66,03323.69,022.32,Taxation
KING GEORGE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
KING GEORGE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
KING GEORGE,COMBINED,356514.63,556516.44,200001.81,35.94,71029.98,55248.85,015781.13,028.56,Taxation
KING WILLIAM,CIRCUIT,216986.29,193789.05,023197.24,011.97,19693.63,23205.62,3511.99,15.13,Taxation
KING WILLIAM,GENERAL DISTRICT,284873.71,321475.12,36601.41,11.39,41451.87,45176.31,3724.44,8.24,
KING WILLIAM,JUVENILE,12076.13,15421.07,3344.94,21.69,2335.63,4533.36,2197.73,48.48,
KING WILLIAM,COMBINED,0,0,0,0.00,0,0,0,0.00,
LANCASTER,CIRCUIT,82646.03,93284.06,10638.03,11.40,40298.67,49937.48,9638.81,19.30,Taxation
LANCASTER,GENERAL DISTRICT,165874.93,217610.58,51735.65,23.77,17528.15,22948.86,5420.71,23.62,
LANCASTER,JUVENILE,7522.88,12151.79,4628.91,38.09,1292.70,1301.58,8.88,0.68,
LANCASTER,COMBINED,0,0,0,0.00,0,0,0,0.00,
LEE,CIRCUIT,125621.71,116497.45,09124.26,07.83,41158.00,48533.81,7375.81,15.20,Taxation
LEE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
LEE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
LEE,COMBINED,246274.16,264301.91,18027.75,6.82,47902.55,43229.37,04673.18,010.81,
LOUDOUN,CIRCUIT,2184334.70,3230258.21,1045923.51,32.38,52031.35,54024.70,1993.35,3.69,Taxation
LOUDOUN,GENERAL DISTRICT,3329322.16,4275736.33,946414.17,22.13,282103.77,313766.70,31662.93,10.09,
LOUDOUN,JUVENILE,77420.17,84943.62,7523.45,8.86,7540.48,10926.41,3385.93,30.99,
LOUDOUN,COMBINED,0,0,0,0.00,0,0,0,0.00,
LOUISA,CIRCUIT,225588.16,214064.18,011523.98,05.38,24155.18,14977.64,09177.54,061.27,Taxation
LOUISA,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
LOUISA,JUVENILE,0,0,0,0.00,0,0,0,0.00,
LOUISA,COMBINED,562871.10,613600.80,50729.70,8.27,87273.66,86746.66,0527,00.61,
LUNENBURG,CIRCUIT,75072.62,76055.01,982.39,1.29,24965.37,24453.70,0511.67,02.09,Taxation
LUNENBURG,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
LUNENBURG,JUVENILE,0,0,0,0.00,0,0,0,0.00,
LUNENBURG,COMBINED,185847.14,231912.89,46065.75,19.86,24608.71,33802.38,9193.67,27.20,
MADISON,CIRCUIT,333354.23,534694.92,201340.69,37.66,6908.44,8151.86,1243.42,15.25,Taxation
MADISON,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
MADISON,JUVENILE,0,0,0,0.00,0,0,0,0.00,
MADISON,COMBINED,699696.94,1189285.67,489588.73,41.17,49735.52,53145.38,3409.86,6.42,
MATHEWS,CIRCUIT,55848.75,63772.12,7923.37,12.42,14864.73,12076.50,02788.23,023.09,Taxation
MATHEWS,GENERAL DISTRICT,68990.41,75106.01,6115.60,8.14,19127.71,13034.54,06093.17,046.75,David S. Hudson
MATHEWS,JUVENILE,7539.88,6335.50,01204.38,019.01,1900.60,3363.74,1463.14,43.50,Taxation
MATHEWS,COMBINED,0,0,0,0.00,0,0,0,0.00,
MECKLENBURG,CIRCUIT,371850.33,456039.03,84188.70,18.46,72560.22,78523.02,5962.80,7.59,Taxation
MECKLENBURG,GENERAL DISTRICT,1120328.27,1646818.00,526489.73,31.97,186821.73,184342.17,02479.56,01.35,
MECKLENBURG,JUVENILE,19038.95,28039.84,9000.89,32.10,4945.61,7823.77,2878.16,36.79,
MECKLENBURG,COMBINED,0,0,0,0.00,0,0,0,0.00,
MIDDLESEX,CIRCUIT,57729.32,81564.66,23835.34,29.22,16874.61,19608.45,2733.84,13.94,Taxation
MIDDLESEX,GENERAL DISTRICT,193680.55,266824.21,73143.66,27.41,0,23855.06,23855.06,100.00,Local Attorney0 David Hudson
MIDDLESEX,JUVENILE,8032.55,8744.42,711.87,8.14,3701.80,3922.32,220.52,5.62,Taxation/ Local Attorney 0 David Hudson
MIDDLESEX,COMBINED,0,0,0,0.00,0,0,0,0.00,
MONTGOMERY,CIRCUIT,569188.92,650899.67,81710.75,12.55,142276.05,120143.35,022132.70,018.42,E0Recovery Solutions
MONTGOMERY,GENERAL DISTRICT,2086158.16,2218155.24,131997.08,5.95,179269.00,193563.28,14294.28,7.38,
MONTGOMERY,JUVENILE,33227.76,47888.20,14660.44,30.61,5113.92,6474.18,1360.26,21.01,
MONTGOMERY,COMBINED,0,0,0,0.00,0,0,0,0.00,
NELSON,CIRCUIT,62456.40,85290.23,22833.83,26.77,19765.31,10858.35,08906.96,082.03,Taxation
NELSON,GENERAL DISTRICT,263854.40,423844.66,159990.26,37.75,24910.08,27362.41,2452.33,8.96,
NELSON,JUVENILE,12182.59,17522.72,5340.13,30.48,3923.19,2113.86,01809.33,085.59,
NELSON,COMBINED,0,0,0,0.00,0,0,0,0.00,
NEW KENT,CIRCUIT,115570.34,151507.60,35937.26,23.72,15389.25,14255.77,01133.48,07.95,David S. Hudson
NEW KENT,GENERAL DISTRICT,596491.15,758418.34,161927.19,21.35,99204.18,102043.52,2839.34,2.78,
NEW KENT,JUVENILE,19180.67,21011.22,1830.55,8.71,2362.91,2399.49,36.58,1.52,
NEW KENT,COMBINED,0,0,0,0.00,0,0,0,0.00,
NORTHAMPTON,CIRCUIT,154070.68,143482.11,010588.57,07.38,36980.12,35351.84,01628.28,04.61,Taxation
NORTHAMPTON,GENERAL DISTRICT,0,813720.41,813720.41,100.00,0,156595.75,156595.75,100.00,
NORTHAMPTON,JUVENILE,0,4017.73,4017.73,100.00,0,2945.91,2945.91,100.00,
NORTHAMPTON,COMBINED,770685.47,0,0770685.47,0.00,153733.29,0,0153733.29,0.00,
NORTHUMBERLAND,CIRCUIT,50556.30,59312.94,8756.64,14.76,18871.65,20478.93,1607.28,7.85,Taxation
NORTHUMBERLAND,GENERAL DISTRICT,88609.92,112939.97,24330.05,21.54,16498.97,17853.78,1354.81,7.59,
NORTHUMBERLAND,JUVENILE,6478.38,8971.61,2493.23,27.79,1271.14,2140.47,869.33,40.61,
NORTHUMBERLAND,COMBINED,0,0,0,0.00,0,0,0,0.00,
NOTTOWAY,CIRCUIT,72710.76,91537.17,18826.41,20.57,38018.88,28796.75,09222.13,032.02,Taxation
NOTTOWAY,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
NOTTOWAY,JUVENILE,0,0,0,0.00,0,0,0,0.00,
NOTTOWAY,COMBINED,332439.34,397444.29,65004.95,16.36,74606.78,73904.61,0702.17,00.95,
ORANGE,CIRCUIT,157125.86,248649.94,91524.08,36.81,12663.25,17872.63,5209.38,29.15,Taxation
ORANGE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
ORANGE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
ORANGE,COMBINED,355688.47,574209.05,218520.58,38.06,61558.92,60652.15,0906.77,01.50,
PAGE,CIRCUIT,266811.65,280360.49,13548.84,4.83,23686.12,23436.27,0249.85,01.07,Taxation
PAGE,GENERAL DISTRICT,434301.75,522218.71,87916.96,16.84,39158.68,53047.25,13888.57,26.18,
PAGE,JUVENILE,28565.25,32383.15,3817.90,11.79,8077.18,6670.27,01406.91,021.09,
PAGE,COMBINED,0,0,0,0.00,0,0,0,0.00,
PATRICK,CIRCUIT,131687.37,101493.40,030193.97,029.75,40683.40,30632.07,010051.33,032.81,Taxation
PATRICK,GENERAL DISTRICT,168387.17,164660.32,03726.85,02.26,25842.38,23027.47,02814.91,012.22,
PATRICK,JUVENILE,14763.66,13967.26,0796.4,05.70,2876.08,6669.63,3793.55,56.88,
PATRICK,COMBINED,0,0,0,0.00,0,0,0,0.00,
PITTSLYVANNA,CIRCUIT,225634.31,236037.70,10403.39,4.41,68850.24,56545.31,012304.93,021.76,Taxation
PITTSLYVANNA,GENERAL DISTRICT,659056.77,861043.79,201987.02,23.46,94896.57,75201.51,019695.06,026.19,
PITTSLYVANNA,JUVENILE,34411.34,39236.52,4825.18,12.30,9923.23,8093.81,01829.42,022.60,
PITTSLYVANNA,COMBINED,0,0,0,0.00,0,0,0,0.00,
POWHATAN,CIRCUIT,63691.27,92992.19,29300.92,31.51,27121.57,25502.67,01618.90,06.35,Taxation
POWHATAN,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
