Date ,Report Type ,Street ,Sub-Division
10/13/2005,TRESPASSING ,ARTILLERY ROAD ,MARLBANK FARMS
8/21/2005,"DAMAGE PROPERTY, PRIVATE ",AUSTINS POINT ,GRAFTON
3/31/2005,CREDIT CARD FRAUD ,AZALEA DRIVE ,EDGEHILL
3/13/2005,"DAMAGE PROPERTY, PRIVATE ",BACK CREEK PARK ,DANDY
10/3/2005,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK PARK ,DANDY
10/19/2005,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK PARK ,DANDY
10/7/2005,OBSCENE/THREATENING PHONE CALL ,BAILEY DRIVE ,LAKESIDE FOREST
7/14/2005,OBSCENE/THREATENING PHONE CALL ,BAILEY ROAD ,LAKESIDE FOREST
9/7/2005,LOST PROPERTY ,BARCANMORE LANE ,DANDY
4/24/2005,CITIZEN REQUESTED ASSISTANCE ,BARCROFT DRIVE ,BARCROFT
5/14/2005,CITIZEN REQUESTED ASSISTANCE ,BARCROFT DRIVE ,BARCROFT
12/29/2005,MISSING PERSON ,BARCROFT DRIVE ,BARCROFT
8/14/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARFLEUR PLACE ,YORK CROSSING
1/12/2005,"DAMAGE PROPERTY, PRIVATE ",BARN SWALLOW RIDGE ,GRAFTON WOODS
8/27/2005,TRESPASSING ,BARN SWALLOW RIDGE ,GRAFTON WOODS
7/9/2005,CITIZEN REQUESTED ASSISTANCE ,BATTLE ROAD ,BATTLE PARK
11/26/2005,"LARCENY,FROM MOTOR VEHICLE ",BATTLE ROAD ,BATTLE PARK
12/30/2005,"ASSAULT, SIMPLE, DOMESTIC ",BATTLE ROAD ,BATTLE PARK
5/20/2005,"DAMAGE PROPERTY, PRIVATE ",BATTLE ROAD ,BATTLE PARK
8/12/2005,"DAMAGE PROPERTY, PRIVATE ",BEECHAM DRIVE ,CHURCHVILLE
4/4/2005,CITIZEN REQUESTED ASSISTANCE ,BEECHWOOD DRIVE ,HARWOOD MILLS
4/15/2005,GAS THEFT ,BIG BETHEL ROAD ,TABB
3/9/2005,CITIZEN REQUESTED ASSISTANCE ,BLAIR DRIVE ,SETTLERS CROSSING
8/2/2005,CITIZEN REQUESTED ASSISTANCE ,BLAIR DRIVE ,SETTLERS CROSSING
9/10/2005,"DAMAGE PROPERTY, PRIVATE ",BLAIR DRIVE ,SETTLERS CROSSING
8/1/2005,"DAMAGE PROPERTY, PRIVATE ",BLUE HERON DRIVE ,LAKES AT DARE
12/4/2005,"DAMAGE PROPERTY, PRIVATE ",BLUE HERON DRIVE ,LAKES AT DARE
12/4/2005,"DAMAGE PROPERTY, PRIVATE ",BLUE HERON DRIVE ,LAKES AT DARE
6/5/2005,CITIZEN REQUESTED ASSISTANCE ,BOLIVAR DRIVE ,HARRIS GROVE
6/27/2005,"DAMAGE PROPERTY, PRIVATE ",BOLIVAR DRIVE ,HARRIS GROVE
6/27/2005,PETIT LARCENY ,BOLIVAR DRIVE ,HARRIS GROVE
10/25/2005,"DAMAGE PROPERTY, PRIVATE ",BOLIVAR DRIVE ,HARRIS GROVE
11/7/2005,"ASSAULT, SIMPLE, DOMESTIC ",BOLIVAR DRIVE ,HARRIS GROVE
5/25/2005,DEAD ON ARRIVAL ,BRADLEY DRIVE ,DANDY LOOP ESTATES
1/6/2005,"ASSAULT, SIMPLE, DOMESTIC ",BRANDON WAY ,LEES VILLAGE
1/6/2005,UNAUTHORIZED USE OF VEHICLE ,BRANDON WAY ,LEES VILLAGE
1/7/2005,DISORDERLY CONDUCT ,BRANDON WAY ,LEES VILLAGE
1/17/2005,AGGRAVATED MALICIOUS WOUNDING ,BRANDON WAY ,LEES VILLAGE
1/17/2005,"ASSAULT, SIMPLE, DOMESTIC ",BRANDON WAY ,LEES VILLAGE
1/17/2005,"DAMAGE PROPERTY, PRIVATE ",BRANDON WAY ,LEES VILLAGE
1/17/2005,OBSTRUCTING JUSTICE ,BRANDON WAY ,LEES VILLAGE
1/20/2005,"DAMAGE PROPERTY, PRIVATE ",BRANDON WAY ,LEES VILLAGE
2/6/2005,CITIZEN REQUESTED ASSISTANCE ,BRANDON WAY ,LEES VILLAGE
2/14/2005,"DAMAGE PROPERTY, PRIVATE ",BRANDON WAY ,LEES VILLAGE
2/14/2005,RUNAWAY JUVENILE ,BRANDON WAY ,LEES VILLAGE
8/10/2005,"DAMAGE PROPERTY, PRIVATE ",BRANDON WAY ,LEES VILLAGE
6/9/2005,GRAND LARCENY ,BRANDYWINE DRIVE ,BRANDYWINE
12/30/2005,DISORDERLY CONDUCT ,BRANDYWINE DRIVE ,BRANDYWINE
6/11/2005,INDECENT EXPOSURE ,BREEZY POINT DRIVE ,BREEZY P[OINT
1/1/2005,"DAMAGE PROPERTY, PRIVATE ",BRIARWOOD PLACE ,WOOD TOWNE QTRS
9/4/2005,"DAMAGE PROPERTY, PRIVATE ",BRICK CHURCH ROAD ,GRAFTON
9/4/2005,"LARCENY,FROM MOTOR VEHICLE ",BRICK CHURCH ROAD ,GRAFTON
9/6/2005,"DAMAGE PROPERTY, PRIVATE ",BRICK CHURCH ROAD ,GRAFTON
9/6/2005,TRESPASSING ,BRICK CHURCH ROAD ,GRAFTON
1/7/2005,"LARCENY,FROM MOTOR VEHICLE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
4/4/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
6/27/2005,ABDUCTION & KIDNAPPING ,BRIDGE CROSSING ,BURNT BRIDGE RUN
6/27/2005,ROBBERY ,BRIDGE CROSSING ,BURNT BRIDGE RUN
6/27/2005,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY ,BRIDGE CROSSING ,BURNT BRIDGE RUN
6/27/2005,WEARING MASK IN PUBLIC PLACE ,BRIDGE CROSSING ,BURNT BRIDGE RUN
7/9/2005,ABDUCTION & KIDNAPPING ,BRIDGE CROSSING ,BURNT BRIDGE RUN
7/9/2005,ROBBERY ,BRIDGE CROSSING ,BURNT BRIDGE RUN
7/9/2005,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY ,BRIDGE CROSSING ,BURNT BRIDGE RUN
8/7/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
10/22/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
10/22/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
10/24/2005,CITIZEN REQUESTED ASSISTANCE ,BRIDGE CROSSING ,BURNT BRIDGE RUN
12/4/2005,"ASSAULT, SIMPLE, DOMESTIC ",BRIDGE CROSSING ,BURNT BRIDGE RUN
12/4/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
12/12/2005,"DAMAGE PROPERTY, PRIVATE ",BRIDGE CROSSING ,BURNT BRIDGE RUN
12/12/2005,STALKING ,BRIDGE CROSSING ,BURNT BRIDGE RUN
3/6/2005,CITIZEN REQUESTED ASSISTANCE ,BRIGADE DRIVE ,BRANDYWINE
5/29/2005,"ASSAULT, SIMPLE ",BRIGADE DRIVE ,BRANDYWINE
11/1/2005,DEAD ON ARRIVAL ,BRIGADE DRIVE ,BRANDYWINE
3/25/2005,"DAMAGE PROPERTY, PRIVATE ",BROKENBRIDGE ROAD ,EDGEHILL
7/11/2005,"ASSAULT, SIMPLE, DOMESTIC ",BROKENBRIDGE ROAD ,EDGEHILL
6/26/2005,ANNOYING PHONE CALLS ,BROOK LANE ,MEADOWBROOK PARK
3/7/2005,"BURGLARY, RESIDENTIAL ",BROOK ROAD ,EDGEHILL
3/7/2005,GRAND LARCENY ,BROOK ROAD ,EDGEHILL
6/13/2005,OBSCENE/THREATENING PHONE CALL ,BUCKINGHAM DRIVE ,GOODWIN NECK ESTS
7/26/2005,CITIZEN REQUESTED ASSISTANCE ,BUCKINGHAM DRIVE ,GOODWIN NECK ESTS
5/19/2005,CITIZEN REQUESTED ASSISTANCE ,BUCKTAIL RUN ,GRAFTON WOODS
11/24/2005,CITIZEN REQUESTED ASSISTANCE ,BUCKTAIL RUN ,GRAFTON WOODS
12/1/2005,"ASSAULT, SIMPLE ",BUCKTAIL RUN ,GRAFTON WOODS
8/18/2005,"DAMAGE PROPERTY, PRIVATE ",BURNT BRIDGE WAY ,BURNT BRIDGE RUN
9/9/2005,ANNOYING PHONE CALLS ,BURNT BRIDGE WAY ,BURNT BRIDGE RUN
11/6/2005,"LARCENY,FROM MOTOR VEHICLE ",BURNT BRIDGE WAY ,BURNT BRIDGE RUN
7/28/2005,"DAMAGE PROPERTY, PRIVATE ",BURTS ROAD ,GRAFTON
3/16/2005,IDENTITY FRAUD ,CALIFORNIA ,
11/12/2005,CITIZEN REQUESTED ASSISTANCE ,CARLTON DRIVE ,BREEZY POINT
8/9/2005,CREDIT CARD FRAUD ,CAROL DRIVE ,ACREE ACRES
8/9/2005,"LARCENY,FROM MOTOR VEHICLE ",CAROL DRIVE ,ACREE ACRES
6/5/2005,CITIZEN REQUESTED ASSISTANCE ,CARRAWAY TERRACE ,CARRAWAY TERRACE
7/28/2005,MOTOR VEHICLE THEFT ,CARRAWAY TERRACE ,CARRAWAY TERRACE
9/18/2005,"ASSAULT, SIMPLE, DOMESTIC ",CARRAWAY TERRACE ,CARRAWAY TERRACE
10/1/2005,CITIZEN REQUESTED ASSISTANCE ,CARRAWAY TERRACE ,CARRAWAY TERRACE
10/16/2005,"DAMAGE PROPERTY, PRIVATE ",CARRAWAY TERRACE ,CARRAWAY TERRACE
10/18/2005,CITIZEN REQUESTED ASSISTANCE ,CARRAWAY TERRACE ,CARRAWAY TERRACE
10/18/2005,"FRAUD, ALL OTHERS ",CARRAWAY TERRACE ,CARRAWAY TERRACE
2/15/2005,CITIZEN REQUESTED ASSISTANCE ,CARVER PLACE ,CARVER PLACE
2/14/2005,RAPE ,CAVALIER DRIVE ,QUAIL HOLLOW
3/13/2005,"DAMAGE PROPERTY, PRIVATE ",CAVALIER DRIVE ,QUAIL HOLLOW
7/18/2005,RUNAWAY JUVENILE ,CAVALIER DRIVE ,QUAIL HOLLOW
8/10/2005,RUNAWAY JUVENILE ,CAVALIER DRIVE ,QUAIL HOLLOW
10/11/2005,"DAMAGE PROPERTY, PRIVATE ",CAVALIER DRIVE ,QUAIL HOLLOW
10/14/2005,CITIZEN REQUESTED ASSISTANCE ,CAVALIER DRIVE ,QUAIL HOLLOW
10/14/2005,RUNAWAY JUVENILE ,CAVALIER DRIVE ,QUAIL HOLLOW
11/2/2005,CITIZEN REQUESTED ASSISTANCE ,CAVALIER DRIVE ,QUAIL HOLLOW
12/3/2005,"ASSAULT, SIMPLE ",CAVALIER DRIVE ,QUAIL HOLLOW
9/9/2005,CITIZEN REQUESTED ASSISTANCE ,CHARLES ROAD ,GRAFTON
11/25/2005,GRAND LARCENY ,CHARLES ROAD ,GRAFTON
1/15/2005,"BURGLARY, RESIDENTIAL ",CHARTER DRIVE ,PATRICKS LANDING
1/15/2005,"DAMAGE PROPERTY, PRIVATE ",CHARTER DRIVE ,PATRICKS LANDING
1/15/2005,POSSESSION OF MARIJUANA ,CHARTER DRIVE ,PATRICKS LANDING
10/24/2005,CITIZEN REQUESTED ASSISTANCE ,CHARTER DRIVE ,PATRICKS LANDING
7/22/2005,DEATH INVESTIGATION ,CHERRY POINT DRIVE ,PINEY POINT ESTATES
8/3/2005,"DAMAGE PROPERTY, PRIVATE ",CHERRY POINT DRIVE ,PINEY POINT ESTATES
8/3/2005,SHOOT OR THROW MISSILES AT OCCUPIED VEHICLES ,CHERRY POINT DRIVE ,PINEY POINT ESTATES
9/26/2005,"BURGLARY, RESIDENTIAL ",CHERRY POINT DRIVE ,PINEY POINT ESTATES
8/21/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHESTNUT COURT ,LAKESIDE FORREST
9/16/2005,"LARCENY,FROM MOTOR VEHICLE ",CHESTNUT COURT ,LAKESIDE FORREST
12/30/2005,"DAMAGE PROPERTY, PRIVATE ",CHESTNUT COURT ,LAKESIDE FORREST
12/20/2005,OVERDOSE ,CHINABERRY WAY ,GLEN LAUREL
4/13/2005,CITIZEN REQUESTED ASSISTANCE ,CHOICY CRESCENT ,YORK CROSSING
4/22/2005,"ASSAULT, SIMPLE ",CHOISY CRESCENT ,YORK CROSSING
4/22/2005,"DAMAGE PROPERTY, PRIVATE ",CHOISY CRESCENT ,YORK CROSSING
4/22/2005,DRUNK IN PUBLIC ,CHOISY CRESCENT ,YORK CROSSING
7/16/2005,CITIZEN REQUESTED ASSISTANCE ,CHOISY CRESCENT ,YORK CROSSING
10/9/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHOISY CRESCENT ,YORK CROSSING
10/9/2005,DISORDERLY CONDUCT ,CHOISY CRESCENT ,YORK CROSSING
10/9/2005,DRUNK IN PUBLIC ,CHOISY CRESCENT ,YORK CROSSING
10/9/2005,OBSTRUCTING JUSTICE ,CHOISY CRESCENT ,YORK CROSSING
7/29/2005,OBSTRUCTING JUSTICE ,CLAIRMONT WAY ,GRAFTON
3/24/2005,CITIZEN REQUESTED ASSISTANCE ,CLAXTON CREEK ROAD ,SEAFORD
1/18/2005,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANCE ,COBIA DRIVE ,MILL COVE ESTATES
3/1/2005,"DAMAGE PROPERTY, PRIVATE ",COCKELTOWN ROAD ,EDGHILL
3/1/2005,TRESPASSING ,COCKELTOWN ROAD ,EDGHILL
1/2/2005,INDECENT EXPOSURE ,COCKLETOWN ROAD ,EDGHILL
8/2/2005,CITIZEN REQUESTED ASSISTANCE ,COCKLETOWN ROAD ,EDGEHILL
9/5/2005,"ASSAULT, SIMPLE, DOMESTIC ",COCKLETOWN ROAD ,EDGHILL
12/20/2005,DEAD ON ARRIVAL ,COCKLETOWN ROAD ,EDGEHILL
9/3/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",COCKLETOWN ROAD & YORK WARWICK DRIVE ,EDGEHILL
1/24/2005,"DAMAGE PROPERTY, PRIVATE ",COLBERTS TRACE ,COLBERTS TRACE
4/22/2005,CITIZEN REQUESTED ASSISTANCE ,COLBERTS TRACE ,COLBERTS TRACE
5/8/2005,"DAMAGE PROPERTY, PRIVATE ",COLONIAL TRAILER COURT ,
6/27/2005,GRAND LARCENY ,COLONIAL TRAILER COURT ,
2/24/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",COLONIAL TRAILER PARK ,
3/9/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",COLONIAL TRAILER PARK ,
7/7/2005,POSSESSION OF CONTROLLED SUBSTANCES ,COLONIAL TRAILER PARK ,
7/7/2005,POSSESSION OF CONTROLLED SUBSTANCES ,"COLONIAL TRAILER PARK, AREA OF OFFICE ",
9/15/2005,"ASSAULT, SIMPLE ",CONSTITUTION DRIVE ,GRAFTON STATION
3/21/2005,GRAND LARCENY ,COPELAND LANE ,GOFFIGAN GARDENS
3/13/2005,CITIZEN REQUESTED ASSISTANCE ,COPELAND LANE & HORNSBYVILLE ROAD ,GOFFIGAN GARDENS
7/26/2005,"LARCENY,FROM MOTOR VEHICLE ",CORBETT PLACE ,WOLFTRAP ESTATES
10/5/2005,POSSESSION OF MARIJUANA ,CORBETT PLACE ,WOLFTRAP ESTATES
3/18/2005,CITIZEN REQUESTED ASSISTANCE ,CRESTWOOD COURT ,WOOD TOWNE QTRS
6/9/2005,CITIZEN REQUESTED ASSISTANCE ,CRESTWOOD COURT ,WOOD TOWNE QTRS
6/20/2005,"DAMAGE PROPERTY, PRIVATE ",CRESTWOOD COURT ,WOOD TOWNE QTRS
9/11/2005,MOTOR VEHICLE THEFT ,CRESTWOOD COURT ,WOOD TOWNE QTRS
5/24/2005,"FORGING, UTTERING ",CYPRESS CROSSING ,WOOD TOWNE QTRS
5/24/2005,PETIT LARCENY ,CYPRESS CROSSING ,WOOD TOWNE QTRS
1/27/2005,ATTEMPTED SUICIDE ,DANDY LOOP ROAD ,DANDY
3/12/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD ,DANDY
3/17/2005,"BURGLARY, RESIDENTIAL ",DANDY LOOP ROAD ,DANDY
3/17/2005,GRAND LARCENY ,DANDY LOOP ROAD ,DANDY
4/16/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD ,DANDY
4/20/2005,IDENTITY FRAUD ,DANDY LOOP ROAD ,DANDY
5/2/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD ,DANDY
5/16/2005,"LARCENY,FROM MOTOR VEHICLE ",DANDY LOOP ROAD ,DANDY
7/18/2005,"DAMAGE PROPERTY, PRIVATE ",DANDY LOOP ROAD ,DANDY
7/26/2005,"LARCENY,FROM MOTOR VEHICLE ",DANDY LOOP ROAD ,DANDY
7/31/2005,"DAMAGE PROPERTY, PRIVATE ",DANDY LOOP ROAD ,DANDY
7/31/2005,PETIT LARCENY ,DANDY LOOP ROAD ,DANDY
10/18/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD ,DANDY
10/30/2005,"ASSAULT, SIMPLE, DOMESTIC ",DANDY LOOP ROAD ,DANDY
11/10/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD ,DANDY
12/9/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,DANDY LOOP ROAD ,DANDY
5/13/2005,CITIZEN REQUESTED ASSISTANCE ,DANDY LOOP ROAD & MIDDLE ROAD ,DANDY
4/11/2005,CARNAL KNOWLEDGE OF A CHILD 13 TO 15 YRS OLD ,DAPHNE DRIVE ,HARWOOD HEIGHTS
1/12/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
1/12/2005,GRAND LARCENY ,DARE ROAD ,GRAFTON
1/27/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
3/10/2005,"BURGLARY, BUSINESS ",DARE ROAD ,GRAFTON
3/10/2005,"DAMAGE PROPERTY, PRIVATE ",DARE ROAD ,GRAFTON
4/12/2005,GRAND LARCENY ,DARE ROAD ,GRAFTON
4/17/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
4/20/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
5/3/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DARE ROAD ,GRAFTON
5/25/2005,PETIT LARCENY ,DARE ROAD ,GRAFTON
5/29/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
6/4/2005,GRAND LARCENY ,DARE ROAD ,GRAFTON
7/5/2005,OBSCENE/THREATENING PHONE CALL ,DARE ROAD ,GRAFTON
7/11/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD ,GRAFTON
7/11/2005,"DAMAGE PROPERTY, PRIVATE ",DARE ROAD ,GRAFTON
7/11/2005,"DAMAGE PROPERTY, PRIVATE ",DARE ROAD ,GRAFTON
7/19/2005,BRANDISHING FIREARM ,DARE ROAD ,GRAFTON
7/20/2005,IDENTITY FRAUD ,DARE ROAD ,GRAFTON
8/3/2005,"LARCENY,FROM MOTOR VEHICLE ",DARE ROAD ,GRAFTON
8/9/2005,DUMPING TRASH ON HIGHWAY OR PRIVATE PROPERTY ,DARE ROAD ,GRAFTON
8/14/2005,TRESPASSING ,DARE ROAD ,GRAFTON
8/21/2005,"DAMAGE PROPERTY, PRIVATE ",DARE ROAD ,GRAFTON
8/22/2005,"DAMAGE PROPERTY, BUSINESS ",DARE ROAD ,GRAFTON
9/5/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,DARE ROAD ,GRAFTON
9/15/2005,"ASSAULT, SIMPLE ",DARE ROAD ,GRAFTON
10/7/2005,"DAMAGE PROPERTY, PRIVATE ",DARE ROAD ,GRAFTON
11/3/2005,CREDIT CARD FRAUD ,DARE ROAD ,GRAFTON
11/19/2005,"ASSAULT, SIMPLE ",DARE ROAD ,GRAFTON
12/1/2005,RUNAWAY JUVENILE ,DARE ROAD ,GRAFTON
12/1/2005,RUNAWAY JUVENILE ,DARE ROAD ,GRAFTON
12/2/2005,RUNAWAY JUVENILE ,DARE ROAD ,GRAFTON
12/3/2005,"ASSAULT, SIMPLE, DOMESTIC ",DARE ROAD ,GRAFTON
12/3/2005,"FORGING, UTTERING ",DARE ROAD ,GRAFTON
12/3/2005,PETIT LARCENY ,DARE ROAD ,GRAFTON
12/3/2005,RUNAWAY JUVENILE ,DARE ROAD ,GRAFTON
12/3/2005,UNAUTHORIZED USE OF VEHICLE ,DARE ROAD ,GRAFTON
12/4/2005,"LARCENY,FROM MOTOR VEHICLE ",DARE ROAD ,GRAFTON
12/13/2005,TRESPASSING ,DARE ROAD ,GRAFTON
11/4/2005,POSSESSION OF MARIJUANA ,DARE ROAD & ALLENS MILL ROAD ,GRAFTON
7/13/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DARE ROAD & CONSTITUTION DRIVE ,GRAFTON
7/13/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,DARE ROAD & CONSTITUTION DRIVE ,GRAFTON
5/17/2005,CITIZEN REQUESTED ASSISTANCE ,DARE ROAD & GEORGE WASH MEM HWY ,GRAFTON
5/26/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DARE ROAD & GEORGE WASH MEM HWY ,GRAFTON
5/26/2005,POSSESSION OF MARIJUANA ,DARE ROAD & GEORGE WASH MEM HWY ,GRAFTON
5/26/2005,RECKLESS - GENERAL ,DARE ROAD & GEORGE WASH MEM HWY ,GRAFTON
5/26/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,DARE ROAD & GEORGE WASH MEM HWY ,GRAFTON
1/14/2005,CITIZEN REQUESTED ASSISTANCE ,DECLARATION DRIVE ,GRAFTON STATION
2/10/2005,CITIZEN REQUESTED ASSISTANCE ,DECLARATION DRIVE ,GRAFTON STATION
2/17/2005,ANNOYING PHONE CALLS ,DECLARATION DRIVE ,GRAFTON STATION
3/15/2005,VIOLATE PROTECTIVE ORDERS ,DECLARATION DRIVE ,GRAFTON STATION
3/16/2005,VIOLATE PROTECTIVE ORDERS ,DECLARATION DRIVE ,GRAFTON STATION
3/20/2005,ANNOYING PHONE CALLS ,DECLARATION DRIVE ,GRAFTON STATION
3/26/2005,"ASSAULT, SIMPLE ",DECLARATION DRIVE ,GRAFTON STATION
4/25/2005,VIOLATE PROTECTIVE ORDERS ,DECLARATION DRIVE ,GRAFTON STATION
5/15/2005,"DAMAGE PROPERTY, PRIVATE ",DECLARATION DRIVE ,GRAFTON STATION
6/19/2005,CITIZEN REQUESTED ASSISTANCE ,DECLARATION DRIVE ,GRAFTON STATION
10/20/2005,"DAMAGE PROPERTY, PRIVATE ",DECLARATION DRIVE ,GRAFTON STATION
12/15/2005,CITIZEN REQUESTED ASSISTANCE ,DECLARATION DRIVE ,GRAFTON STATION
5/15/2005,"DAMAGE PROPERTY, PRIVATE ",DELRAY DRIVE ,GRAFTON
5/15/2005,TRESPASSING ,DELRAY DRIVE ,GRAFTON
11/27/2005,CITIZEN REQUESTED ASSISTANCE ,DELRAY DRIVE ,GRAFTON
11/30/2005,"DEATH, SUICIDE ",DELRAY DRIVE ,GRAFTON
1/5/2005,PETIT LARCENY ,DENBIGH BOULEVARD ,GRAFTON
1/7/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DENBIGH BOULEVARD ,GRAFTON
1/10/2005,GRAND LARCENY ,DENBIGH BOULEVARD ,GRAFTON
2/27/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DENBIGH BOULEVARD ,GRAFTON
2/27/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",DENBIGH BOULEVARD ,GRAFTON
3/22/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",DENBIGH BOULEVARD ,GRAFTON
3/29/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",DENBIGH BOULEVARD ,GRAFTON
4/1/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,DENBIGH BOULEVARD ,GRAFTON
4/12/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",DENBIGH BOULEVARD ,GRAFTON
