Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
ESSEX COUNTY,,,,
Sheriff’s Office,19,12,7,0
Tappahannock PD,11,10,1,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1409,1229,180,267
Herndon PD,56,51,5,14
Vienna PD,41,36,5,11
FAUQUIER COUNTY,,,,
Sheriff’s Office,101,93,8,16
Warrenton PD,18,13,5,2
FLOYD COUNTY,,,,
Sheriff’s Office,17,15,2,10
FLUVANNA COUNTY,,,,
Sheriff’s Office,25,21,4,14
FRANKLIN COUNTY,,,,
Sheriff’s Office,74,65,9,18
Rocky Mount PD,14,14,0,2
FREDERICK COUNTY,,,,
Sheriff’s Office,103,94,9,9
Middletown PD,2,1,1,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff’s Office,24,23,1,10
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff’s Office,75,63,12,18
GOOCHLAND COUNTY,,,,
Sheriff’s Office,27,24,3,8
GRAYSON COUNTY,,,,
Sheriff’s Office,18,17,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff’s Office,24,23,1,16
GREENSVILLE COUNTY,,,,
Sheriff’s Office,24,21,3,9
HALIFAX COUNTY,,,,
Sheriff’s Office,35,30,5,8
Halifax PD,5,5,0,0
South Boston,26,24,2,2
HANOVER COUNTY,,,,
Sheriff’s Office,189,179,10,19
Ashland PD,22,20,2,2
HENRICO COUNTY,,,,
Henrico PD,524,481,43,188
HENRY COUNTY,,,,
Sheriff’s Office,115,102,13,14
HIGHLAND COUNTY,,,,
Sheriff’s Office,7,7,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff’s Office,37,33,4,7
Smithfield PD,21,18,3,5
JAMES CITY COUNTY,,,,
James City PD,77,63,14,5
KING & QUEEN COUNTY,,,,
Sheriff’s Office,9,8,1,7
KING GEORGE COUNTY,,,,
Sheriff’s Office,30,25,5,15
KING WILLIAM COUNTY,,,,
Sheriff’s Office,21,20,1,12
West Point,9,8,1,1
LANCASTER COUNTY,,,,
Sheriff’s Office,26,18,8,4
Kilmarnock PD,4,4,0,0
LEE COUNTY,,,,
Sheriff’s Office,38,31,7,1
Jonesville PD,3,2,1,
Pennington Gap PD,6,6,0,0
LOUDOUN COUNTY,,,,
Sheriff’s Office,406,349,57,92
Leesburg PD,65,61,4,18
Middleburg PD,4,4,0,0
Purcellville PD,13,11,2,1
LOUISA COUNTY,,,,
Sheriff’s Office,45,42,3,13
Louisa PD,5,5,0,0
LUNENBURG COUNTY,,,,
Sheriff’s Office,12,11,1,7
Kenbridge PD,8,8,0,1
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff’s Office,17,17,0,12
MATHEWS COUNTY,,,,
Sheriff’s Office,12,10,2,7
MECKLENBURG COUNTY,,,,
Sheriff’s Office,49,46,3,2
Chase City PD,10,10,0,1
Clarksville PD,8,8,0,1
LaCrosse PD,2,2,0,0
South Hill PD,20,19,1,2
MIDDLESEX COUNTY,,,,
Sheriff’s Office,16,14,2,6
MONTGOMERY COUNTY,,,,
Sheriff’s Office,108,88,20,15
Blacksburg PD,57,52,5,16
Christiansburg PD,46,43,3,15
NELSON COUNTY,,,,
Sheriff’s Office,16,16,0,5
NEW KENT COUNTY,,,,
Sheriff’s Office,27,25,2,10
NORTHAMPTON CO.,,,,
Sheriff’s Office,42,33,9,10
Cape Charles PD,5,5,0,0
Exmore PD,7,7,0,0
NORTHUMBERLAND CO.,,,,
Sheriff’s Office,17,14,3,9
NOTTOWAY COUNTY,,,,
Sheriff’s Office,13,12,1,8
Blackstone PD,11,10,1,4
Crewe PD,5,4,1,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff’s Office,34,29,5,10
Orange PD,15,14,1,2
Gordonsville PD,6,6,0,0
PAGE COUNTY,,,,
Sheriff’s Office,56,48,8,7
Luray PD,11,11,0,2
Shenandoah PD,4,4,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff’s Office,31,28,3,14
PITTSYLVANIA COUNTY,,,,
Sheriff’s Office,67,62,5,56
Chatham PD,4,4,0,0
Gretna PD,4,4,0,0
Hurt PD,2,2,0,0
POWHATAN COUNTY,,,,
Sheriff’s Office,33,32,1,14
PRINCE EDWARD CO.,,,,
Sheriff’s Office,27,18,9,0
Farmville PD,26,23,3,13
PRINCE GEORGE CO.,,,,
Prince George Co. PD,51,47,4,15
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,491,425,66,116
Quantico PD,2,2,0,1
Haymarket PD,5,5,0,1
Dumfries PD,15,12,3,2
Occoquan PD,1,1,0,0
PULASKI COUNTY,,,,
Sheriff’s Office,41,37,4,10
Pulaski PD,25,23,2,8
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff’s Office,24,15,9,1
RICHMOND COUNTY,,,,
Sheriff’s Office,11,11,0,9
Warsaw PD,3,2,1,0
ROANOKE COUNTY,,,,
Roanoke Co. PD,120,105,15,44
Vinton PD,23,19,4,10
ROCKBRIDGE COUNTY,,,,
Sheriff’s Office,30,29,1,8
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff’s Office,55,49,6,111
Bridgewater PD,9,8,1,0
Broadway PD,4,4,0,0
Dayton PD,7,7,0,0
Elkton PD,7,7,0,1
Grottoes PD,4,4,0,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff’s Office,33,29,4,19
Lebanon PD,11,11,0,1
Honaker PD,2,2,0,1
SCOTT COUNTY,,,,
Sheriff’s Office,24,22,2,2
Gate City PD,6,6,0,0
Weber City PD,4,3,1,0
SHENANDOAH COUNTY,,,,
Sheriff’s Office,61,51,10,9
Edinburg PD,1,1,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,16,16,0,1
Strasburg PD,17,17,0,2
New Market PD,4,4,0,0
SMYTH COUNTY,,,,
Sheriff’s Office,41,34,7,0
Marion PD,19,18,1,2
Saltville PD,5,5,0,1
Chilhowie PD,6,6,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff’s Office,65,56,9,15
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff’s Office,138,124,14,35
STAFFORD COUNTY,,,,
Sheriff’s Office,133,120,13,53
SURRY COUNTY,,,,
Sheriff’s Office,12,11,1,9
SUSSEX COUNTY,,,,
Sheriff’s Office,36,24,12,5
Waverly PD,7,7,0,5
TAZEWELL COUNTY,,,,
Sheriff’s Office,45,42,3,7
Bluefield PD,16,14,2,5
Pocahontas PD,1,1,0,0
Richlands PD,17,16,1,5
Tazewell PD,11,10,1,1
Cedar Bluff PD,3,2,1,
WARREN COUNTY,,,,
Sheriff’s Office,42,35,7,51
Front Royal PD,36,34,2,9
WASHINGTON COUNTY,,,,
Sheriff’s Office,55,50,5,19
Abingdon PD,22,21,1,2
Damascus PD,6,6,0,0
Glade Springs PD,1,1,0,0
WESTMORELAND CO.,,,,
Sheriff’s Office,20,19,1,9
Colonial Beach PD,11,11,0,5
WISE COUNTY,,,,
Sheriff’s Office,60,49,11,3
Appalachia PD,5,5,0,0
Big Stone Gap PD,16,16,0,2
Coeburn PD,7,6,1,1
Pound PD,4,4,0,0
St. Paul PD,4,4,0,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff’s Office,39,36,3,7
Wytheville PD,25,22,3,15
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff’s Office,95,87,8,6
COUNTY TOTAL,8748,7734,1014,2165
