Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:  cv0557.csv,,,,,,,,,,,,,,,
"Table 57. Victimization rates for persons age 12 and over, by type of crime, region and locality of residence",,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,

"Table 57. Personal crimes, 2005: Victimization rates for persons age 12 and over, by type of crime, region and locality of residence",,,,,,,,,,,,,,,
                                                                                           ,"Rate per 1,000 persons age 12 and over",,,,,,,,,,,,,,
,All regions,,,,,,,,Northeast,,,,,,
Type of crime,All areas,,Urban ,,Suburban,,Rural,,All areas,,Urban ,,Suburban,,Rural
Personal crimes,22.1,,31.4,,19.1,,17.3,,20.2,,26.6,,15.7,,23
  Crimes of violence,21.2,,29.8,,18.6,,16.4,,19.3,,25.7,,15,,21.7
    Completed violence,6.8,,11,,5.2,,5,,6.5,,10.8,,4.2,,6
  Purse snatching/Pocket picking,0.9,,1.6,,0.6,,0.9,,0.9,,1,*,0.7,*,1.3,*
Population age 12 and over,"244,493,430",,"67,384,160",,"120,424,060",,"56,685,220",,"43,951,390",,"13,069,680",,"23,434,060",,"7,447,650",
,"Rate per 1,000 persons age 12 and over",,,,,,,,,,,,,,,
,Midwest,,,,,,,,South,,,,,,,
Type of crime,All areas,,Urban ,,Suburban,,Rural,,All areas,,Urban ,,Suburban,,Rural,
Personal crimes,23.7,,36.3,,18.1,,22.4,,19.7,,33,,19.4,,8.8,
  Crimes of violence,22.8,,34.8,,17.6,,21.5,,18.5,,30.4,,18.9,,7.9,
    Completed violence,8.3,,13.3,,5.4,,8.8,,5.6,,11.8,,4.8,,1.9,
    Attempted/threatened violence,14.5,,21.5,,12.2,,12.7,,12.9,,18.6,,14.1,,6,
    Rape/Sexual assault/a,0.7,,1.9,*,0.5,*,0,*,0.9,,1.9,,0.8,*,0.2,*
    Robbery,3.2,,7.8,,1.6,,2.1,*,2.1,,4.4,,2.1,,0.3,*
      Completed/property taken,2.2,,5.5,,1.3,*,1.2,*,1.5,,3.5,,1.4,,0.2,*
        With injury,0.7,,1.3,*,0.4,*,0.6,*,0.5,,0.8,*,0.5,*,0.2,*
        Without injury,1.6,,4.2,,0.8,*,0.6,*,1.1,,2.6,,0.9,,0,*
      Attempted to take property,1,,2.3,*,0.4,*,0.9,*,0.6,,1,*,0.7,*,0.1,*
        With injury,0.4,*,0.7,*,0,*,0.9,*,0.2,*,0.5,*,0.1,*,0,*
        Without injury,0.6,*,1.6,*,0.4,*,0,*,0.4,,0.4,*,0.6,*,0.1,*
    Assault,18.9,,25.1,,15.5,,19.4,,15.5,,24.1,,16,,7.4,
      Aggravated,4.7,,5.3,,3.6,,6.1,,3.8,,6.8,,3.3,,2.1,
        With injury,1.4,,1.6,*,0.9,*,1.9,*,1.3,,3.3,,0.6,*,0.6,*
        Threatened with weapon,3.3,,3.7,,2.7,,4.2,,2.6,,3.5,,2.7,,1.5,
      Simple,14.2,,19.8,,11.9,,13.3,,11.7,,17.3,,12.7,,5.3,
        With minor injury,4.1,,4.5,,2.9,,5.7,,2.3,,3.5,,2.6,,0.9,*
        Without injury,10.1,,15.2,,9,,7.6,,9.4,,13.8,,10.1,,4.4,
  Purse snatching/Pocket picking,0.9,,1.5,*,0.5,*,0.9,*,1.1,,2.6,,0.5,*,0.9,*
Population age 12 and over,"57,895,360",,"13,741,260",,"27,059,370",,"17,094,740",,"88,262,190",,"21,320,880",,"41,743,310",,"25,198,000",
,"Rate per 1,000 persons age 12 and over",,,,,,,,,,,,,,,
,West,,,,,,,,,,,,,,,
Type of crime,All areas,,Urban ,,Suburban,,Rural,,,,,,,,,
Personal crimes,25.9,,29.5,,22.6,,29.5,,,,,,,,,
  Crimes of violence,25.2,,28.4,,22,,28.9,,,,,,,,,
    Completed violence,7.3,,8.8,,6.6,,6.1,,,,,,,,,
    Attempted/threatened violence,17.9,,19.7,,15.4,,22.9,
    Rape/Sexual assault/a,0.9,,1,*,1.1,*,0,*
    Robbery,2.7,,3.7,,2,,2.3,*
      Completed/property taken,1.5,,2.7,,0.9,*,0.6,*
        With injury,0.7,,1.4,*,0.3,*,0.6,*
        Without injury,0.8,,1.2,*,0.6,*,0,*
      Attempted to take property,1.2,,1,*,1.1,*,1.7,*
        With injury,0.3,*,0.4,*,0.2,*,0,*
        Without injury,0.9,,0.7,*,0.9,*,1.7,*
    Assault,21.6,,23.8,,18.9,,26.6,
      Aggravated,5.2,,4.9,,5.2,,6.2,
        With injury,1.4,,1.3,*,1.7,,0.5,*
        Threatened with weapon,3.8,,3.7,,3.5,,5.8,
      Simple,16.4,,18.8,,13.8,,20.4,
        With minor injury,4,,4.2,,3.5,,5,*
        Without injury,12.5,,14.6,,10.2,,15.4,
  Purse snatching/Pocket picking,0.7,,1,*,0.6,*,0.5,*
Population age 12 and over,"54,384,500",,"19,252,350",,"28,187,320",,"6,944,830",
Note: Detail may not add to total shown because of rounding.,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,















,,,,,,,,,,,,,,,, 
