Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,31,2,7,8,19,2,0,0,12,0,104,15,18,13,3,0,14,2,6,0,6,2,4,0,30,2,33,1,3,12,106,48,18,5,28,6,4,0,59,12,36,1,2,0,13,0,123,38,135,54,2,0,51,11,5,0,104,5,13,0,158,26,91,30,12,3,5,0,38,1,220,86,9,11,2,4,11,3,1535,403
Larceny,308,79,37,7,126,5,0,0,187,4,1056,32,541,188,20,12,402,17,21,17,64,0,24,0,42,9,337,34,135,14,767,159,237,16,106,13,15,0,491,23,90,5,14,6,111,7,659,181,1007,123,189,15,179,10,15,2,294,14,85,5,664,65,809,148,171,17,136,11,226,14,1475,543,198,6,43,6,283,77,11564,1884
Motor Vehicle Theft,8,5,2,0,2,2,0,0,1,0,15,3,8,3,1,1,3,1,1,1,1,0,0,0,7,0,0,0,2,0,14,5,3,0,0,0,0,0,10,1,0,0,1,0,8,0,5,0,0,0,2,0,0,0,2,0,11,0,3,1,81,6,46,27,8,1,0,0,0,0,40,11,10,1,1,0,1,0,297,69
Counterfeiting/Forgery,20,0,6,0,18,0,0,0,15,1,26,1,30,1,0,0,20,0,2,0,2,0,5,1,11,0,21,0,3,0,42,0,30,0,23,1,0,0,18,2,16,1,1,0,0,0,63,0,47,1,1,0,30,0,3,1,28,0,23,0,58,0,20,0,12,0,7,0,30,0,92,0,7,0,6,0,7,0,743,10
Fraud,49,1,11,0,16,0,0,0,37,0,74,1,25,1,0,0,88,1,3,0,5,0,7,0,1,0,74,1,6,0,90,1,45,1,23,0,1,0,84,0,54,3,7,0,8,0,133,4,53,30,7,0,26,0,4,0,47,0,28,0,265,3,152,1,51,1,23,0,37,0,257,10,17,0,14,0,24,0,1846,59
Embezzlement,28,2,0,0,1,0,0,0,16,0,54,0,48,0,3,0,17,0,2,0,5,0,1,0,4,0,26,1,1,0,44,1,12,0,8,0,0,0,24,0,4,0,0,0,2,0,39,0,19,0,1,0,8,0,0,0,16,0,1,0,31,0,38,0,20,0,6,0,18,0,91,2,11,0,6,2,5,0,610,8
Stolen Property,3,1,2,1,1,0,0,0,11,0,33,3,8,1,0,0,10,0,2,0,0,0,1,0,0,2,7,1,2,0,43,13,8,0,7,3,0,0,16,0,6,0,1,0,1,0,58,10,26,5,2,2,21,2,1,0,22,1,2,0,59,5,5,3,1,0,5,0,20,0,44,6,6,0,3,0,6,0,443,59
Vandalism,31,7,10,4,15,0,0,0,55,0,74,2,16,7,2,0,56,2,6,9,12,0,1,0,10,2,27,6,9,2,101,22,57,1,24,5,0,0,86,2,20,3,0,0,24,2,103,25,29,17,4,0,50,3,6,8,68,0,19,0,244,35,96,8,28,22,22,5,54,2,204,76,23,9,7,0,21,6,1614,292
Drug/Narcotic Offenses,475,32,83,5,169,2,0,0,245,8,1172,56,261,34,36,0,544,7,65,4,60,2,79,14,93,4,286,10,42,2,757,54,370,2,152,6,8,0,850,20,211,16,119,6,55,3,1715,122,725,16,38,0,530,13,21,8,511,7,154,2,1655,38,910,36,164,12,150,12,370,18,1328,233,79,3,79,6,268,6,14829,819
"Sex Offenses, Nonforcible",0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,2,0,1,0,0,0,4,0,2,0,6,4,0,0,0,0,0,0,37,6
Pornography,1,0,0,0,0,0,0,0,1,0,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0,2,0,2,1,0,0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,2,2,4,0,2,1,0,0,4,0,1,0,8,0,0,0,0,0,1,0,54,5
Gambling,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,63,0
Prostitution,22,1,0,0,0,0,0,0,5,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,1,0,0,0,12,0,1,0,0,0,0,0,74,1,121,0,0,0,4,0,0,0,13,0,0,0,61,0,67,1,1,0,0,0,0,0,55,0,0,0,0,0,0,0,465,3
Bribery,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0
Weapon Law Violations,19,4,17,0,11,2,0,0,23,1,100,8,25,3,2,0,85,2,4,1,4,0,1,0,8,3,19,0,1,0,118,23,17,0,13,0,0,0,48,2,6,1,5,1,12,8,99,18,97,4,2,0,51,5,6,1,63,4,8,1,249,9,65,11,12,2,12,3,56,0,244,33,8,1,4,1,14,1,1528,153
TOTAL GROUP A,1502,229,273,33,556,25,0,0,1110,32,4082,185,1176,323,120,17,1910,60,171,40,229,6,183,19,336,31,1148,62,290,37,3349,512,1092,49,696,58,43,0,2529,97,780,50,210,25,430,37,4816,593,3744,366,284,19,1504,82,106,25,2528,53,497,15,6386,454,3771,373,664,88,614,45,1558,63,7231,1613,650,43,305,35,941,113,57814,5907
Bad Checks,18,1,46,0,3,0,0,0,217,0,12,0,4,0,1,0,30,0,6,0,1,0,0,0,2,0,20,0,13,0,3,0,48,0,14,0,1,0,44,0,4,0,0,0,0,0,19,0,26,0,0,1,12,0,1,0,10,0,18,0,28,0,14,0,3,0,6,0,9,0,32,0,5,0,1,0,6,0,677,2
Curfew/Loitering/Vagrancy,8,0,0,4,0,0,0,0,0,0,32,70,0,11,0,0,1,43,3,40,1,0,0,0,0,1,0,0,0,0,1,174,0,0,0,35,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,2,3,142,0,0,0,32,3,8,0,0,0,0,0,14,156,473,0,0,0,0,0,4,213,1066
Disorderly Conduct,100,15,9,1,1,0,0,0,34,0,56,2,14,21,7,0,64,3,17,0,3,0,10,0,8,0,19,0,1,1,8,10,11,4,18,2,0,0,73,3,67,2,6,0,42,1,53,13,643,57,0,0,91,0,0,0,60,4,6,0,182,57,23,48,47,3,21,6,58,2,679,62,12,0,9,1,24,0,2476,318
Driving Under Influence,360,1,78,0,75,0,0,0,113,0,978,6,218,1,30,1,259,2,46,0,169,0,112,0,29,0,200,0,50,1,709,2,196,0,59,0,34,0,237,3,153,1,85,0,39,0,598,1,808,0,142,1,111,0,34,0,196,0,118,2,485,3,422,0,69,1,102,2,351,1,2572,11,94,0,102,1,281,0,10714,41
Drunkenness,341,3,70,0,302,1,0,0,533,0,619,2,85,0,41,0,894,2,52,1,169,0,143,1,29,0,255,0,132,0,817,5,763,0,96,0,68,0,557,0,268,0,96,3,81,0,829,6,2348,7,183,1,63,0,17,0,303,0,392,0,792,2,2157,2,163,0,215,1,6,0,3672,12,143,1,133,0,470,0,18297,50
"Family Offenses, Nonforcible",1,0,0,0,9,0,0,0,4,0,6,0,29,0,0,0,10,0,1,0,0,0,0,0,1,0,6,0,0,0,184,0,11,0,11,0,0,0,14,0,1,0,0,0,0,0,58,19,581,1,3,0,42,0,1,0,62,0,1,0,327,4,9,1,7,0,2,0,43,0,102,1,5,0,2,0,6,2,1539,28
Liquor Laws Violations,362,53,14,3,8,3,0,0,45,4,131,16,33,6,12,12,91,16,5,9,18,1,31,10,9,3,73,2,11,4,17,3,581,0,25,2,24,2,158,5,64,26,8,4,19,4,68,28,891,22,14,2,109,1,5,10,41,12,253,3,155,3,470,5,25,14,56,23,40,1,739,206,22,5,32,1,84,21,4743,545
Peeping Tom,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,28,0
Runaway,0,263,0,0,0,0,0,0,0,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0,217,0,106,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,1070
Trespass of Real Property,189,24,27,0,49,0,0,0,163,0,242,10,37,21,2,0,201,10,18,7,3,0,51,4,10,0,56,0,31,1,234,17,55,0,25,4,1,0,300,7,39,0,3,0,21,2,252,62,1127,86,15,1,163,2,8,1,820,12,8,1,981,22,667,20,30,0,32,2,111,1,495,58,18,2,11,0,24,1,6519,378
Conspiracy,0,0,0,0,0,0,0,0,0,0,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
All Other (except Traffic),773,41,171,29,300,13,1,0,1030,20,2548,62,1101,59,71,1,1995,34,234,9,24,0,205,11,151,6,554,25,77,4,2830,70,1020,1,407,22,8,1,2204,73,122,13,127,14,475,24,1734,75,8464,1554,120,10,1263,22,33,1,3343,75,192,12,4821,29,1511,102,290,20,851,54,723,14,7711,214,398,20,40,5,844,14,48766,2753
TOTAL GROUP B,2152,401,415,37,747,17,1,0,2142,29,4647,172,1525,151,164,14,3545,110,382,66,388,1,552,26,239,10,1184,27,315,11,4805,645,2685,5,656,70,136,3,3591,126,718,42,326,21,677,31,3613,421,14891,1833,477,16,1855,39,99,14,4839,246,989,18,7778,152,5278,201,634,38,1285,88,1343,33,16164,1038,697,53,331,8,1739,42,94004,6255
GRAND TOTAL,3654,630,688,70,1303,42,1,0,3252,61,8729,357,2701,474,284,31,5455,170,553,106,617,7,735,45,575,41,2332,89,605,48,8154,1157,3777,54,1352,128,179,3,6120,223,1498,92,536,46,1107,68,8429,1014,18635,2199,761,35,3359,121,205,39,7367,299,1486,33,14164,606,9049,574,1298,126,1899,133,2901,96,23395,2651,1347,96,636,43,2680,155,151818 12162,
