Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
Louisa PD ,6,5,1,,
LUNENBURG COUNTY,,,,,
Sheriff's Office ,14,12,2,7,
Kenbridge PD ,5,5,,1,
Victoria PD ,5,5,,1,
MADISON COUNTY,,,,,
Sheriff's Office ,17,15,2,13,
MATHEWS COUNTY,,,,,
Sheriff's Office ,11,9,2,9,
MECKLENBURG COUNTY,,,,,
Sheriff's Office ,51,48,3,40,
Chase City PD ,9,9,,1,
Clarksville PD ,7,7,,1,
LaCrosse PD ,1,1,,,
South Hill PD ,20,19,1,2,
MIDDLESEX COUNTY,,,,,
Sheriff's Office ,16,15,1,5,
MONTGOMERY COUNTY,,,,,
Sheriff's Office ,101,82,19,16,
Blacksburg PD ,62,57,5,17,
Christiansburg PD ,57,55,2,16,
NELSON COUNTY,,,,,
Sheriff's Office ,15,14,1,6,
NEW KENT COUNTY,,,,,
Sheriff's Office ,32,29,3,11,
NORTHAMPTON CO.,,,,,
Sheriff's Office ,64,51,13,17,
Cape Charles PD ,5,5,,,
Exmore PD ,5,4,1,,
NORTHUMBERLAND CO.,,,,,
Sheriff's Office ,15,14,1,11,
NOTTOWAY COUNTY,,,,,
Sheriff's Office ,13,12,1,11,
Blackstone PD ,13,12,1,5,
Crewe PD ,4,3,1,1,
Burkeville PD ,1,1,,,
ORANGE COUNTY,,,,,
Sheriff's Office ,36,29,7,8,
Orange PD ,15,14,1,2,
Gordonsville PD ,6,,,,
PAGE COUNTY,,,,,
Sheriff's Office ,48,44,4,16,
Luray PD ,11,11,,2,
Shenandoah PD ,5,5,,,
Stanley PD ,4,4,,,
PATRICK COUNTY,,,,,
Sheriff's Office ,24,21,3,14,
PITTSYLVANIA COUNTY,,,,,
Sheriff's Office ,113,100,13,18,
Chatham PD ,3,3,,,
Gretna PD ,4,3,1,,
Hurt PD ,2,2,,,
POWHATAN COUNTY,,,,,
Sheriff's Office ,41,38,3,17,
PRINCE EDWARD CO.,,,,,
Sheriff's Office ,23,20,3,7,
Farmville PD ,27,25,2,1,
PRINCE GEORGE CO.,,,,,
Prince George County PD ,52,48,4,21,
PRINCE WILLIAM CO.,,,,,
Prince William County PD ,569,489,80,130,
Quantico PD ,2,2,,,
Haymarket PD ,5,5,,1,
Dumfries PD ,6,4,2,2,
Occoquan PD,,,,,
PULASKI COUNTY,,,,,
Sheriff's Office ,42,38,4,10,
Pulaski PD ,27,23,4,9,
Dublin PD ,9,9,,1,
Cedar Bluff PD ,3,3,,,
RAPPAHANNOCK CO.,,,,,
Sheriff's Office ,26,18,8,1,
RICHMOND COUNTY,,,,,
Sheriff's Office ,12,12,,8,
Warsaw PD ,2,1,1,1,
ROANOKE COUNTY,,,,,
Roanoke County PD ,127,109,18,12,
Vinton PD ,22,20,2,2,
ROCKBRIDGE COUNTY,,,,,
Sheriff's Office ,30,29,1,7,
Glasgow PD ,1,1,,,
ROCKINGHAM COUNTY,,,,,
Sheriff's Office ,55,49,6,14,
Bridgewater PD ,9,8,1,,
Broadway PD ,4,4,,,
Dayton PD ,7,6,1,1,
Elkton PD ,6,6,,1,
Grottoes PD ,5,5,,1,
Timberville PD ,4,3,1,,
RUSSELL COUNTY,,,,,
Sheriff's Office ,34,31,3,15,
Lebanon PD ,11,11,,1,
Honaker PD ,3,3,,1, 
SCOTT ,COUNTY,,,,
Sheriff's Office ,26,25,1,8,
Gate City PD ,6,6,,,
Weber City PD ,5,4,1,,
SHENANDOAH COUNTY,,,,,
Sheriff's Office ,68,58,10,9,
Edinburg PD ,2,2,,,
Mt. Jackson PD ,4,4,,,
Woodstock PD ,15,15,,1,
Strasburg PD ,19,17,2,2,
New Market PD ,5,5,,,
SMYTH COUNTY,,,,,
Sheriff's Office ,41,33,8,,
Marion PD ,19,17,2,2,
Saltville PD ,3,3,,,
Chilhowie PD ,6,6,,,
SOUTHAMPTON COUNTY,,,,,
Sheriff's Office ,62,52,10,12,
Boykins PD ,1,1,,,
SPOTSYLVANIA COUNTY,,,,,
Sheriff's Office ,159,141,18,42,
STAFFORD COUNTY,,,,,
Sheriff's Office ,152,134,18,62,
SURRY COUNTY,,,,,
Sheriff's Office ,13,12,1,9,
SUSSEX COUNTY,,,,,
Sheriff's Office ,37,28,9,5,
Waverly PD ,6,5,1,5,
TAZEWELL COUNTY,,,,,
Sheriff's Office ,44,39,5,17,
Bluefield PD ,17,16,1,5,
Pocahontas PD,,,,,
Richlands PD ,15,14,1,6,
Tazewell PD ,13,12,1,2,
WARREN COUNTY,,,,,
Sheriff's Office ,46,39,7,47,
Front Royal PD ,34,32,2,9,
WASHINGTON COUNTY,,,,,
Sheriff's Office ,52,47,5,20,
Abingdon PD ,26,23,3,2,
Damascus PD ,5,5,,,
Glade Springs PD ,3,3,,,
WESTMORELAND CO.,,,,,
Sheriff's Office ,21,19,2,10,
Colonial Beach PD ,11,10,1,5,
WISE COUNTY ,,,,,
Sheriff's Office ,47,46,1,14,
Appalachia PD ,6,5,1,,
Big Stone Gap PD ,15,14,1,1,
Coeburn PD ,7,6,1,,
Pound PD ,4,4,,,
St. Paul PD ,4,4,,,
Wise PD ,13,13,,1,
WYTHE COUNTY,,,,,
Sheriff's Office ,39,34,5,7,
Wytheville PD ,28,24,4,14,
Rural Retreat PD ,1,1,,,
YORK COUNTY,,,,,
Sheriff's Office ,87,80,7,6,
COUNTY TOTAL ,9161,8091,1070,2205,
