Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,32,3,7,0,22,0,0,0,29,0,78,15,17,7,6,0,19,1,17,15,5,2,0,0,4,1,42,0,2,0,107,59,21,5,31,2,3,0,43,3,21,7,3,0,16,1,88,50,117,59,3,0,42,6,0,0,107,7,19,0,178,26,117,4,24,5,15,0,48,3,197,63,8,9,6,2,13,0,1507,355
Larceny,258,71,45,7,194,1,3,0,176,2,1076,26,612,169,32,1,522,9,55,16,71,0,23,1,50,4,340,15,95,8,773,161,267,13,102,1,1,5,515,18,103,12,29,7,103,1,651,143,1160,58,163,3,179,14,5,3,402,25,77,4,692,74,880,146,190,19,139,7,334,14,1494,420,241,20,47,7,243,56,12342,1561
Motor Vehicle Theft,19,10,4,0,2,0,0,0,2,0,16,2,4,2,2,0,3,1,2,0,0,0,0,0,4,0,0,0,1,0,19,6,1,6,0,0,0,0,15,0,0,0,0,0,6,1,4,0,3,2,1,0,0,0,0,0,13,4,3,0,37,6,19,29,6,5,0,0,1,0,23,6,8,3,0,0,0,0,218,83
Counterfeiting/Forgery,20,0,7,0,14,0,0,0,18,0,34,1,21,0,1,0,29,0,7,0,3,0,7,1,8,0,23,0,3,0,41,0,20,0,39,0,1,0,28,3,12,2,2,0,2,0,74,0,41,1,1,0,22,0,2,0,27,1,23,0,68,0,23,0,16,0,14,0,24,0,111,3,23,0,7,0,4,0,820,12
Fraud,31,8,5,0,12,0,0,0,43,0,88,0,36,1,0,0,125,0,2,0,12,0,8,0,3,0,56,0,8,0,81,2,44,0,5,2,0,0,84,0,44,0,7,0,14,0,162,3,46,9,6,0,19,0,1,0,35,4,31,0,282,5,103,3,28,0,23,0,23,0,323,6,27,1,14,2,24,0,1855,46
Embezzlement,36,1,1,0,7,0,0,0,18,0,51,0,38,0,2,0,12,0,7,0,9,0,0,0,6,0,13,0,3,0,35,1,8,0,2,0,0,0,13,0,7,0,1,0,3,0,36,0,17,0,2,0,15,0,0,0,10,0,1,0,26,0,41,1,18,1,4,0,11,0,77,2,12,0,5,0,6,1,553,7
Stolen Property,11,1,5,0,9,0,0,0,6,1,40,0,2,0,0,0,10,1,3,0,3,0,0,0,1,0,5,0,3,0,26,8,7,0,10,0,0,0,17,0,6,1,0,0,2,0,52,5,36,5,1,0,18,2,0,0,22,0,0,0,73,17,4,3,1,2,5,0,10,0,29,11,2,1,1,0,1,0,421,58
Vandalism,30,11,7,1,11,2,0,0,33,2,84,3,16,10,3,0,65,3,5,1,10,0,4,0,14,0,50,1,9,2,89,29,43,4,32,1,1,1,57,2,26,4,5,0,32,4,110,15,30,3,5,2,55,4,1,1,86,1,20,0,227,24,109,12,19,20,23,2,45,4,216,55,19,7,5,4,18,4,1614,239
Drug/Narcotic Offenses,437,38,85,5,114,2,10,0,237,4,1416,76,261,19,37,0,715,7,79,6,72,2,71,5,83,8,303,12,69,1,826,75,303,14,139,6,22,2,814,41,255,30,116,12,102,12,1430,100,793,11,23,0,660,9,37,5,534,9,150,1,1727,56,1000,28,149,16,116,5,359,21,1654,194,100,12,82,2,236,12,15616,858
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,1,1,5,1,0,0,0,0,0,0,27,5
Pornography,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,4,0,2,0,0,0,6,0,2,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,3,0,2,0,14,2,2,1,0,0,0,0,63,4
Gambling,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,2
Prostitution,17,0,0,0,4,0,0,0,0,0,25,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,3,0,1,0,8,0,2,0,1,0,0,0,9,0,3,0,0,0,0,0,88,0,85,0,0,0,2,0,0,0,12,0,0,0,91,0,59,0,3,0,1,0,2,0,48,0,0,0,0,0,0,0,472,0
Bribery,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Weapon Law Violations,16,8,12,2,16,1,2,0,20,2,72,5,25,1,3,0,96,2,8,1,5,0,4,0,6,0,11,0,5,0,107,21,21,2,11,3,1,0,31,0,9,0,6,0,24,2,131,13,101,9,1,0,58,3,3,0,75,0,7,0,283,21,67,12,8,0,12,0,60,1,194,23,10,0,8,0,12,0,1541,132
TOTAL GROUP A,1361,193,291,26,558,14,26,0,1036,15,4345,190,1169,256,147,5,2342,35,247,45,247,5,161,8,319,23,1163,35,301,17,3406,576,1104,61,699,30,37,9,2463,87,799,92,215,20,527,29,4742,538,3572,242,247,7,1665,66,98,19,2632,72,483,13,6300,493,3842,357,645,111,612,31,1682,73,7614,1217,674,75,300,28,772,91,58843,5204
Bad Checks,6,0,36,0,22,0,1,0,191,0,17,0,2,0,1,0,16,0,7,0,2,0,6,0,0,0,13,0,2,0,6,0,18,0,4,0,0,0,26,0,1,0,3,0,1,0,20,0,27,0,0,0,4,0,0,0,4,0,36,0,27,0,14,0,1,0,3,0,11,0,24,0,0,0,2,0,8,0,562,0
Curfew/Loitering/Vagrancy,12,0,0,0,0,0,0,0,0,0,35,53,0,13,0,0,0,53,0,16,2,0,0,0,0,4,0,0,0,2,1,200,0,0,0,13,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,5,6,219,0,1,0,12,2,5,0,0,0,0,1,2,197,450,0,0,0,0,0,0,263,1054
Disorderly Conduct,111,11,5,1,8,0,2,0,23,0,41,3,19,18,9,0,83,5,7,2,2,0,18,0,9,0,19,0,3,0,12,14,18,3,18,1,1,0,74,0,103,4,6,0,33,0,35,10,596,33,3,0,96,2,3,1,73,10,6,0,163,35,35,81,25,4,15,6,59,3,696,47,13,4,8,0,17,0,2467,298
Driving Under Influence,320,1,51,0,46,0,18,0,124,1,1096,0,205,0,23,0,276,1,48,0,145,0,106,0,57,0,251,0,69,2,563,1,196,3,50,0,27,0,336,0,177,2,120,3,84,0,673,1,694,1,65,0,131,0,32,0,199,0,146,1,464,0,441,1,81,0,93,0,302,1,2456,6,100,1,91,0,224,2,10580,28
Drunkenness,360,7,49,0,351,0,33,0,444,0,621,1,74,1,30,0,889,3,53,0,172,0,106,1,37,1,264,1,125,0,827,0,679,2,32,0,89,0,525,0,327,1,41,3,114,0,905,3,1815,4,101,0,22,0,9,1,408,1,399,0,730,0,2029,1,147,2,253,3,4,0,3353,12,90,0,174,1,560,0,17241,49
"Family Offenses, Nonforcible",1,0,2,0,16,0,1,0,11,0,11,0,19,0,0,0,7,0,1,0,0,0,0,0,2,0,12,0,4,0,241,0,13,0,7,0,0,0,19,0,5,0,6,0,1,0,86,21,741,0,5,0,59,0,3,0,100,0,0,0,343,3,7,0,11,0,2,0,42,0,277,1,0,0,3,0,11,0,2069,25
Liquor Laws Violations,386,58,2,2,11,8,1,0,50,7,93,28,21,5,2,3,79,4,5,1,34,2,10,3,26,1,139,9,9,1,21,3,413,2,13,5,27,0,171,12,142,20,17,0,33,2,44,17,932,12,27,6,75,0,35,4,46,9,359,6,145,3,570,3,18,6,46,14,47,1,647,168,10,7,49,3,83,19,4838,454
Peeping Tom,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,23,2
Runaway,0,169,0,0,0,0,0,0,0,85,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,180,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,152,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,816
Trespass of Real Property,150,10,32,0,57,0,1,0,147,3,180,9,31,18,1,0,231,10,24,5,7,0,14,1,4,0,48,1,27,0,196,18,49,1,39,7,1,0,284,4,67,5,2,3,34,0,320,68,1052,74,14,2,160,3,9,1,584,13,6,0,624,23,599,53,12,2,45,0,85,2,467,39,26,1,13,1,30,4,5672,381
Conspiracy,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0
All Other (except Traffic),699,41,151,17,419,25,28,1,934,27,2750,85,1130,38,62,4,2074,60,205,10,28,0,164,5,226,6,598,15,110,4,3015,80,863,5,154,10,14,1,2194,147,109,24,137,15,611,19,1717,74,7228,1098,96,2,1261,14,36,1,3500,36,235,16,4226,11,1397,159,1,0,919,43,679,13,7682,183,377,23,30,0,804,20,46863,2332
TOTAL GROUP B,2048,297,328,20,930,33,85,1,1924,123,4880,179,1502,123,128,7,3656,136,350,35,392,2,424,10,361,13,1344,26,349,9,4883,498,2252,16,317,37,159,1,3635,205,931,56,332,28,911,21,3806,346,13087,1318,311,10,1809,21,127,13,4920,288,1187,24,6728,87,5096,324,296,14,1376,66,1231,23,15804,906,616,73,370,5,1737,45,90622,5439
GRAND TOTAL,3409,490,619,46,1488,47,111,1,2960,138,9225,369,2671,379,275,12,5998,171,597,80,639,7,585,18,680,36,2507,61,650,26,8289,1074,3356,77,1016,67,196,10,6098,292,1730,148,547,48,1438,50,8548,884,16659,1560,558,17,3474,87,225,32,7552,360,1670,37,13028,580,8938,681,941,125,1988,97,2913,96,23418,2123,1290,148,670,33,2509,136,149465,10643
