Name,Hotline,Office,Fax,Mailing Address (Street),Mailing Address (City/State/Zip),Web Site,Service Area,Funding from Office of Family Violence
Project Horizon,540-463-2594,540-463-7861,540-463-3789,120 Varner Ln.,"Lexington, VA 24450",http:--www.projecthorizon.net,"Buena Vista, Lexington, Rockbridge County","$155,280"
Rappahannock Council On Domestic Violence,877-734-7238,540-373-9372,540-373-0794,P.O. Box 1007,"Fredericksburg, VA 22402",http:--www.rcdv.com,"Caroline County, Fredericksburg, King George County, Spotsylvania County, Stafford County","$182,952"
"Response, Inc.",540-459-5161,540-459-5599,540-459-5579,P.O. Box 287,"Woodstock, VA 22664",None available,Shenandoah County,"$152,014"
"Safehome Systems, Inc.",877-393-3676,540-965-3237,540-965-4490,P.O. Box 748,"Covington, VA 24426",http:--safehome24426.tripod.com,"Allegheny County, Bath County, Clifton Forge, Covington","$99,404"
Safe Harbor,804-287-7877,804-249-9470,804-249-9472,P.O. Box 17996,"Richmond, VA 23226",http:--www.safeharborshelter.com,"City of Richmond, Henrico County, Chesterfield County, Hanover County","$80,000"
The Salvation Army- Turning Point,540-345-0400,540-345-0400,540-985-5136,"815 Salem Ave., SW","Roanoke, VA 24016",None available,"Bedford County, Botetourt County, Elliston, Roanoke, Rocky Mount, Salem, Troutville, Vinton","$66,979"
Samaritan House,757-430-2120,757-631-0710,757-631-0747,P.O. Box 2400 #226,"Virginia Beach, VA 23450",http:--www.samaritanhouseva.org,"Virginia Beach, Norfolk, Suffolk, Chesapeake, Portsmouth","$215,236"
Services to Abused Families (SAFE),800-825-8876,540-825-8891,540-825-2389,P.O. Box 402,"Culpeper, VA 22701",None available,"Culpeper County, Fauquier County, Madison County","$172,385"
The Shelter for Abused Women,540-667-6466,540-667-6160,540-667-0138,P.O. Box 14,"Winchester, VA 22604",http:--www.shelterforabusedwomen.org,"Orange County, Rappahannock County, Frederick County, Winchester","$199,546"
Shelter for Help in Emergency,434-293-8509,434-963-4676,434-293-6624,P.O. Box 3013,"Charlottesville, VA 22903",http:--www.shelterforhelpinemergency.org,"Albemarle County, Charlottesville, Fluvanna County, Greene County, Louisa County, Nelson County","$150,679"
Sixth District Court Services,434-634-2121,434-348-0100,434-348-9319,420 South Main St.,"Emporia, VA 23847",None available,"Emporia, Greensville County, Sussex County, Brunswick County, Lawrenceville","$55,897"
Southside Center for Violence Prevention,888-819-2926,434-292-1077,434-292-1078,P.O. Box 563,"Farmville, VA 23901",http:--www.shop.madelineshouse.net-splashPage.hg,"Amelia County, Brunswick County, Buckingham County, Charlotte County, Cumberland County, Dinwiddie County, Halifax County, Lunenburg County, Mecklenburg County, Nottoway County, Powhatan County, Prince Edward County","$25,377"
Total Action Against Poverty,800-915-8164,"540-345-6781, ext. 4338",540-344-6623,P.O. Box 2868,"Roanoke, VA 24001",http:--www.taproanoke.org,"Allegheny County, Botetourt County, Clifton Forge, Craig County, Lexington County, Roanoke, Roanoke County, Rockbridge County, Salem, Vinton","$125,153"
Transitions Family Violence Services,757-723-7774,757-722-2261,757-723-2717,P.O. Box 561,"Hampton, VA 23669",http:--www.transitionsfvs.org,"Hampton, Newport News, Poquoson, York County","$215,567"
Virginia Sexual and Domestic Violence Action Alliance,800-838-8238,804-377-0335,804-377-0339,"VSDVAA The Corporate Centre 5008 Monument Ave., Suite A","Richmond, VA 23230",http:--www.vsdvalliance.org,,"$573,373"
Warren County Council on Domestic Violence,540-635-9062,540-635-9194,540-631-0518,P.O. Box 1831,"Front Royal, VA 22630",http:--www.wccdv.com,"Front Royal, Warren County","$106,599"
Women’s Resource Center Of The New River Valley,800-788-1123,540-639-9592,540-633-2382,P.O. Box 477,"Radford, VA 24143",http:--www.wrcnrv.org,"Floyd County, Giles County, Montgomery County, Pulaski County, Radford","$189,270"
YWCA- Central Virginia- Domestic Violence Prevention Center,888-528-1041,434-528-1041,434-847-2529,626 Church St.,"Lynchburg, VA 24504",http:--www.lynchburgywca.org,"Amherst County, Appomattox County, Bedford County, Campbell County, Lynchburg","$208,078"
YWCA- Richmond- Women in Crisis,804-643-0888,804-643-6761,804-643-1314,6 N. 5th St.,"Richmond, VA 23219",http:--www.ywcarichmond.org,"Chesterfield County, Goochland County, Hanover County, Henrico County, Hopewell, Petersburg, Powhatan County, Richmond","$148,283"
YWCA- South Hampton Roads-Women’s Advocacy,757-625-5570,757-625-4248,757-625-1946,5215 Colley Av.,"Norfolk, VA 23510",http:--www.ywca-shr.org,"Norfolk, Virginia Beach","$133,200"
