Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Clifton Forge,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Drug/Narcotic Offenses,84,1,20,4,134,11,21,0,249,21,278,56,45,5,103,18,25,10,61,4,58,4,9,0,2,0,78,2,297,18,28,4,563,51,170,12,107,4,16,0,505,44,81,7,51,11,54,9,1270,146,621,25,24,0,136,14,28,12,744,16,11,1,1400,63,333,18,101,14,41,8,173,11,1669,351,38,2,29,2,196,31,9853,1010
"Sex Offenses, Nonforcible",1,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,1,0,14,0,6,2,1,0,1,0,1,0,1,0,20,0,0,0,2,0,1,0,71,4
Pornography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,14,0
Gambling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,3
Prostitution,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,37,0,160,0,0,0,2,0,0,0,73,0,0,0,168,2,27,0,0,0,0,0,2,0,52,0,0,0,0,0,0,0,543,2
Bribery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Weapon Law Violations,4,0,9,0,18,0,1,0,21,7,27,9,11,4,9,3,1,0,17,0,13,4,1,0,0,0,10,1,16,0,8,1,135,9,31,2,17,0,1,0,63,1,16,2,7,3,15,4,163,38,39,6,7,0,38,7,3,1,89,6,0,0,106,8,48,17,8,4,17,3,52,1,196,81,12,1,7,5,22,6,1258,234
TOTAL GROUP A,509,2,201,38,634,31,45,0,1003,94,849,347,112,16,742,389,106,36,339,18,320,128,92,0,2,2,229,7,746,73,206,39,2194,262,584,47,685,26,60,2,1898,227,344,31,181,42,467,76,4487,966,2290,359,148,23,1122,128,103,103,2970,109,34,1,4028,669,1165,153,478,116,703,134,1198,46,6350,1976,256,61,201,39,674,219,38755,7035
Bad Checks,12,0,43,1,21,0,3,0,694,0,36,0,0,0,42,0,1,0,70,0,23,2,0,0,0,0,11,0,134,0,78,1,149,0,2,0,69,0,7,0,139,0,33,0,12,0,32,0,0,0,103,0,0,0,60,0,1,0,50,0,1,0,79,0,30,0,27,0,54,0,205,0,281,0,8,0,1,0,311,1,2822,5
Curfew/Loitering/Vagrancy,1,0,0,5,0,0,0,0,0,12,0,15,0,3,0,14,0,0,0,0,2,99,0,0,0,0,0,3,0,0,0,2,0,40,0,0,3,53,0,17,2,1,0,0,0,0,0,0,10,250,0,0,0,0,0,15,0,4,0,2,0,0,2,34,0,16,0,0,0,1,0,2,24,829,0,0,0,15,0,1,44,1433
Disorderly Conduct,64,4,11,1,15,0,2,0,45,4,7,8,10,3,35,17,0,0,37,0,58,18,2,0,0,0,1,0,43,1,24,0,42,1,58,0,35,0,5,0,102,10,45,6,15,0,45,5,74,47,922,79,7,5,167,5,1,0,87,3,0,0,79,94,24,13,7,10,45,16,23,1,921,256,7,1,11,3,16,5,3092,616
Driving Under Influence,114,0,41,0,160,3,37,0,193,2,262,1,27,0,158,6,51,2,143,0,113,1,8,0,1,0,16,0,54,0,61,1,543,3,36,3,12,0,72,0,352,2,336,1,92,1,118,2,324,10,737,2,82,3,93,1,50,1,267,0,0,0,315,0,260,1,110,1,114,2,176,0,2479,13,53,0,71,0,362,7,8493,69
Drunkenness,365,0,56,0,393,3,50,0,551,1,245,3,142,1,108,4,50,1,278,0,102,0,14,0,0,0,25,0,381,2,134,3,966,0,34,3,128,1,74,0,630,5,453,10,48,0,142,2,932,4,1984,2,126,1,112,2,21,5,343,0,0,0,503,3,1035,1,149,2,222,1,138,3,3501,34,100,2,164,2,140,5,14839,106
"Family Offenses, Nonforcible",5,0,1,0,10,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,0,1,0,4,0,7,0,7,0,0,0,10,0,0,0,1,0,4,1,120,29,182,0,7,0,0,0,1,0,95,0,0,0,17,1,14,0,4,0,4,0,1,0,17,0,1,0,1,0,12,0,538,31
Liquor Laws Violations,263,1,4,3,31,4,5,0,24,9,49,9,21,1,66,39,8,4,2,0,17,8,0,0,0,0,15,1,75,6,20,6,23,2,34,10,14,7,11,17,441,20,144,26,10,5,28,11,47,67,1708,43,68,18,172,3,11,12,28,0,0,0,0,0,55,0,8,1,15,21,4,0,1032,349,4,7,18,6,207,53,4682,769
Peeping Tom,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,4,0,0,0,0,1,0,38,9
Runaway,0,3,0,1,0,2,0,0,0,0,0,127,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,369,0,112,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,34,0,1,0,4,0,748
Trespass of Real Property,86,0,30,1,53,0,5,0,127,6,80,5,7,0,51,19,4,0,130,0,50,14,1,0,0,0,6,1,58,3,11,0,163,3,7,1,65,0,17,5,430,38,29,3,1,3,28,0,378,78,1418,107,0,0,233,27,8,1,555,6,0,0,0,0,106,6,7,3,41,12,61,1,512,192,16,3,8,1,20,4,4802,543
Conspiracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
All Other (except Traffic),132,5,122,27,187,6,58,1,1406,196,551,56,107,8,835,72,38,1,639,1,182,31,11,1,0,0,58,0,612,70,37,7,3211,45,110,4,282,21,33,1,1556,72,408,60,155,49,289,28,894,386,8096,1218,187,7,437,61,28,3,3248,14,0,0,3167,82,732,26,464,57,128,11,1282,10,10472,1254,125,22,13,9,778,28,41070,3950
TOTAL GROUP B,1042,13,308,39,870,18,160,1,3042,230,1234,225,314,16,1295,205,152,8,1299,1,550,173,36,1,1,0,133,5,1362,82,366,20,5105,99,290,21,615,82,219,40,3662,177,1448,106,334,58,686,49,2791,1244,15155,1563,477,34,1274,133,121,26,4675,25,5,0,4162,214,2257,63,776,78,623,67,1890,17,19252,2932,314,69,287,37,1847,108,80429,8279
GRAND TOTAL,1551,15,509,77,1504,49,205,1,4045,324,2083,572,426,32,2037,594,258,44,1638,19,870,301,128,1,3,2,362,12,2108,155,572,59,7299,361,874,68,1300,108,279,42,5560,404,1792,137,515,100,1153,125,7278,2210,17445,1922,625,57,2396,261,224,129,7645,134,39,1,8190,883,3422,216,1254,194,1326,201,3088,63,25602,4908,570,130,488,76,2521,327,119184,15314
