STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
AK,"OVERALLS,COLD WEATH",8415014726915,4, 43.37 , $ 173.48 ,20120123
AK,"OVERALLS,COLD WEATH",8415014726915,8, 43.37 , $ 346.96 ,20120123
AK,"STUFF SACK,COMPRESS",8465013985428,25, 16.31 , $ 407.75 ,20120202
AK,"SHIRT,COLD WEATHER ",8415014618356,6, 60.45 , $ 362.70 ,20120202
AK,SLEEPING BAG       ,8465013980687,20, 66.08 ," $ 1,321.60 ",20120208
AK,"PARKA,EXTREME COLD ",8415003761661,1, 102.38 , $ 102.38 ,20120209
AK,"PARKA,EXTREME COLD ",8415003761710,1, 102.38 , $ 102.38 ,20120209
AK,"PARKA,EXTREME COLD ",8415003761734,1, 102.38 , $ 102.38 ,20120209
AK,"TROUSERS,EXTREME CO",8415003943608,1, 114.27 , $ 114.27 ,20120209
AK,SLEEPING BAG       ,8465013980687,35, 66.08 ," $ 2,312.80 ",20120209
AK,"BOOTS,EXTREME COLD ",8430006555556,1, 212.94 , $ 212.94 ,20120210
AK,"MITTEN SET,EXTREME ",8415007826717,12, 34.28 , $ 411.36 ,20120210
AK,"BOOTS,EXTREME COLD ",8430006555556,2, 212.94 , $ 425.88 ,20120210
AK,"BOOTS,EXTREME COLD ",8430006555555,3, 212.94 , $ 638.82 ,20120210
AK,"BOOTS,EXTREME COLD ",8430006555536,4, 212.94 , $ 851.76 ,20120210
AK,"BOOTS,EXTREME COLD ",8430006555535,4, 212.94 , $ 851.76 ,20120210
AK,"SHIRT,COLD WEATHER ",8415014618336,5, 60.45 , $ 302.25 ,20120210
AK,"BOOTS,EXTREME COLD ",8430006555564,5, 212.94 ," $ 1,064.70 ",20120210
AK,"MITTEN SET,EXTREME ",8415007826717,8, 34.28 , $ 274.24 ,20120210
AK,PUNCHING BAG,7810DSATHSPOR,1, 225.00 , $ 225.00 ,20120215
AK,PNEUMOTRAX TRAINER,6515DSSIMULA0,1, 579.30 , $ 579.30 ,20120224
AK,TRAINING MANIKIN  OTHER,6515DSSIMULA0,1, 307.95 , $ 307.95 ,20120224
AK,TRAINING MANIKIN  OTHER,6515DSSIMULA0,1, 200.00 , $ 200.00 ,20120224
AK,TRAINING MANIKIN  OTHER,6515DSSIMULA0,1, 307.95 , $ 307.95 ,20120224
AK,BOBCAT,3805DSEARTHMO,1, 19039.67 ," $ 19,039.67 ",20120314
AK,"SNOWMOBILE,L       ",2350010909325,2, 5886.00 ," $ 11,772.00 ",20120316
AK,CPCVX TRIPOD CAMERA,676000TRIPODS,3, 40.00 , $ 120.00 ,20120316
AK,POPCORN MACHINE,7310DSKITCHEN,1, 300.00 , $ 300.00 ,20120406
AK,"LINER,WET WEATHER P",8405008893683,15, 37.19 , $ 557.85 ,20120409
AK,"SNOWMOBILE,L       ",2350010909325,2, 5886.00 ," $ 11,772.00 ",20120410
AK,ALL TERRAIN VEHICLE,2340015495374,1, 10000.00 ," $ 10,000.00 ",20120423
AK,"TRUCK,CARRYALL     ",2320005423158,1, 27952.00 ," $ 27,952.00 ",20120508
AK,SLEEPING BAG       ,8465013980685,10, 47.47 , $ 474.70 ,20120529
AK,MEDIC BAG          ,8465015247635,2, 125.00 , $ 250.00 ,20120529
AK,"STUFF SACK,COMPRESS",8465013985428,20, 16.31 , $ 326.20 ,20120529
AK,MODULAR SLEEP SYSTE,8465014456274,3, 263.95 , $ 791.85 ,20120529
AK,BORESCOPE SET,6650010491881,1, 6761.95 ," $ 6,761.95 ",20120601
AK,"SHIRT,COLD WEATHER ",8415014618341,28, 60.45 ," $ 1,692.60 ",20120605
AK,DRAW PADS,702501Q929175,12, 210.00 ," $ 2,520.00 ",20120614
AK,ARCTIC CAT 4 WHEELR ATV,2340DSATV4WHE,1, 5965.98 ," $ 5,965.98 ",20120615
AK,SLEEPING BAG       ,8465013056991,1, 130.70 , $ 130.70 ,20120621
AK,"SHIRT,COLD WEATHER ",8415014618356,10, 60.45 , $ 604.50 ,20120621
AK,"BOOTS,EXTREME COLD ",8430006555564,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555549,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555546,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555537,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555547,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555535,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555563,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555537,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555556,1, 212.94 , $ 212.94 ,20120703
AK,"BOOTS,EXTREME COLD ",8430008236903,1, 118.15 , $ 118.15 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555563,2, 212.94 , $ 425.88 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555536,2, 212.94 , $ 425.88 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555536,3, 212.94 , $ 638.82 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555553,4, 212.94 , $ 851.76 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555564,4, 212.94 , $ 851.76 ,20120703
AK,"BOOTS,EXTREME COLD ",8430006555550,5, 212.94 ," $ 1,064.70 ",20120703
AK,"BOOTS,EXTREME COLD ",8430006555535,5, 212.94 ," $ 1,064.70 ",20120703
AK,"BOOTS,EXTREME COLD ",8430006555563,7, 212.94 ," $ 1,490.58 ",20120703
AK,"BOOTS,EXTREME COLD ",8430006555553,8, 212.94 ," $ 1,703.52 ",20120703
AK,BIVY COVER         ,8465014168517,20, 152.84 ," $ 3,056.80 ",20120725
AK,SLEEPING BAG       ,8465013980685,20, 47.47 , $ 949.40 ,20120725
AK,REFRIGERATOR FREEZE,4110014266452,1, 649.20 , $ 649.20 ,20120803
AK,SHELVING,7125DSCABINSH,4, 100.00 , $ 400.00 ,20120810
AL,"SOCKET,SOCKET WRENC",5120013999604,1,4.83, $ 4.83 ,20111001
AL,"TAPE,SOUND RECORDIN",5835012240406,26,1.55, $ 40.30 ,20111001
AL,"TAILLIGHT,VEHICULAR",6220011989948,1,23.26, $ 23.26 ,20111001
AL,"FLOODLIGHT,NVIS WHT",6220015167016,4,911.67," $ 3,646.68 ",20111001
AL,"MAT,FLOOR          ",2540011612777,3,135.78, $ 407.34 ,20111002
AL,DODGE B350,231000CHEVB35,1,8475.00," $ 8,475.00 ",20111003
AL,LAPTOP  MAGUS TABLET,702101C132313,6,2500.00," $ 15,000.00 ",20111003
AL,BINOCULAR          ,6650014232834,50,50.09," $ 2,504.50 ",20111003
AL,CPCVX WATCH  VARIOUS,664500SUUNTO,10,79.99, $ 799.90 ,20111003
AL,BINOCULAR          ,6650014232834,75,50.09," $ 3,756.75 ",20111003
AL,"GRINDER,DISK,ELECTR",5130014739707,1,131.00, $ 131.00 ,20111003
AL,"CHEST,AMMUNITION",8140009601699,23,11.10, $ 255.30 ,20111003
AL,"HEATER, FAN FORCED, PORTABLE",452000HEATER,2,443.00, $ 886.00 ,20111003
AL,VHF MARINE TRANCEIVER,582000TRANSCE,2,389.00, $ 778.00 ,20111003
AL,"GOGGLES,SUN,WIND AN",8465013288268,30,21.89, $ 656.70 ,20111003
AL,"BOTTLE,JACK,20 TON ",4910015570396,5,425.57," $ 2,127.85 ",20111003
AL,MONITORS,703500MONITOR,74,100.00," $ 7,400.00 ",20111003
AL,MONITORS,703500MONITOR,75,100.00," $ 7,500.00 ",20111003
AL,"TIRE,PNEUMATIC,VEHI",2610013078527,2,283.51, $ 567.02 ,20111003
AL,"TIRE,PNEUMATIC,VEHI",2610013078527,10,283.51," $ 2,835.10 ",20111003
AL,"TOOL,REMOVAL,RIVETE",5120010872165,1,1688.00," $ 1,688.00 ",20111003
AL,"BRUSH,WIRE,ROTARY W",5130002930260,4,5.94, $ 23.76 ,20111003
AL,TOOL KIT,512000TOOLKIT,2,1000.00," $ 2,000.00 ",20111003
AL,WRENCH IMPACT ELECT,5130014542836,1,177.65, $ 177.65 ,20111003
AL,"BIT,AUGER          ",5133003602730,5,21.90, $ 109.50 ,20111003
AL,"BOOTS,EXTREME COLD ",8430006555558,1,203.56, $ 203.56 ,20111003
AL,"GLOVES,WELDERS'    ",8415002687860,2,13.63, $ 27.26 ,20111003
AL,"WRENCH,TORQUE      ",5120013944284,5,114.80, $ 574.00 ,20111003
AL,GARMIN GPS V,582500GPS,31,100.00," $ 3,100.00 ",20111003
AL,GPS,582500GPS,3,250.00, $ 750.00 ,20111003
AL,GOLF CART,232000GOLFCAR,1,1300.00," $ 1,300.00 ",20111003
AL,BINOCULAR          ,6650014232834,3,50.09, $ 150.27 ,20111003
AL,BINOCULAR          ,6650014232834,40,50.09," $ 2,003.60 ",20111003
AL,"SIREN,HAND OPERATED",6350002705510,14,725.94," $ 10,163.16 ",20111004
AL,"TROUSERS,EXTREME CO",8415015386704,3,127.04, $ 381.12 ,20111004
AL,"TROUSERS,EXTREME CO",8415015386695,1,127.04, $ 127.04 ,20111004
AL,"TROUSERS,EXTREME CO",8415015386706,1,127.04, $ 127.04 ,20111004
AL,"TROUSERS,EXTREME CO",8415015460019,1,127.04, $ 127.04 ,20111004
AL,DUMB BELL W RACK,7830DSDUMBBEL,34,50.00," $ 1,700.00 ",20111004
AL,NON SKID SAFETY WALK,359000NONSKID,3,300.00, $ 900.00 ,20111004
AL,"WRENCH SET,OPEN END",5120014288270,10,120.67," $ 1,206.70 ",20111004
AL,SAW,340501C099228,1,191.00, $ 191.00 ,20111004
AL,"BAG,PLASTIC        ",8105010885803,2,196.31, $ 392.62 ,20111004
AL,TOOL KIT VALVE GUID,5180014232458,1,634.92, $ 634.92 ,20111004
AL,TRUCK TRACTOR,2320010478753,1,70996.00," $ 70,996.00 ",20111004
AL,"KITCHEN,FIELD,TRAIL",7360013132238,1,104246.00," $ 104,246.00 ",20111004
AL,"TRUCK,MAINTENANCE  ",2320012098823,1,21802.00," $ 21,802.00 ",20111004
AL,"LOADER,SCOOP TYPE,F",3805010486324,1,80820.00," $ 80,820.00 ",20111004
AL,"COT,FOLDING        ",7105009350422,5,71.72, $ 358.60 ,20111004
AL,"CAN,MILITARY       ",7240013375269,10,37.44, $ 374.40 ,20111004
AL,"LOADER,SCOOP TYPE  ",3805010719753,1,112450.00," $ 112,450.00 ",20111005
AL,"STRAP,CHIN         ",8415011308886,4,9.87, $ 39.48 ,20111005
AL,HYDRATION SYSTEM   ,8465014917509,30,14.99, $ 449.70 ,20111005
AL,"POUCH,BANDOLEER AMM",8465014652144,25,8.32, $ 208.00 ,20111005
AL,"POUCH,MAGAZINE     ",8465014652092,60,4.74, $ 284.40 ,20111005
AL,"EXTENSION,SOCKET WR",5130014000129,1,33.97, $ 33.97 ,20111005
AL,"INTRENCHING TOOL,HA",5120008785932,5,84.14, $ 420.70 ,20111005
AL,"TOOL KIT,GENERAL ME",5180013065862,1,2965.00," $ 2,965.00 ",20111005
AL,TENT               ,8340007823425,2,1265.25," $ 2,530.50 ",20111005
AL,"DIE AND TAP SET,THR",5136014311866,1,286.52, $ 286.52 ,20111005
AL,EXERCISE BIKE,783001C094888,1,600.00, $ 600.00 ,20111005
AL,FIELD PACK         ,8465010199102,1,40.70, $ 40.70 ,20111005
AL,"FOOD CONTAINER,INSU",7330012342163,1,122.00, $ 122.00 ,20111005
AL,"POUCH,CANTEEN-GENER",8465014840450,1,10.48, $ 10.48 ,20111005
AL,"TOOL KIT,GENERAL ME",5180001777033,1,1075.24," $ 1,075.24 ",20111005
AL,"WRENCH SET,SOCKET  ",5120000812309,1,1632.23," $ 1,632.23 ",20111005
AL,"WRENCH SET,SOCKET  ",5130003575136,1,411.97, $ 411.97 ,20111005
AL,"WRENCH SET,SOCKET  ",5130003575135,1,206.08, $ 206.08 ,20111005
AL,"WRENCH SET,SOCKET  ",5130003575136,1,411.97, $ 411.97 ,20111005
AL,"WRENCH,IMPACT,ELECT",5130010876840,1,1170.24," $ 1,170.24 ",20111005
AL,"BOOTS,EXTREME COLD ",8430006555541,3,203.56, $ 610.68 ,20111005
AL,"BAG,PAPER          ",8105008572250,3,103.39, $ 310.17 ,20111005
AL,"POUCH,BANDOLEER AMM",8465014652144,36,8.32, $ 299.52 ,20111005
AL,"POUCH,BANDOLEER AMM",8465014917517,36,9.33, $ 335.88 ,20111005
AL,"POUCH,MAGAZINE     ",8465014652092,36,4.74, $ 170.64 ,20111005
AL,"INTRENCHING TOOL,HA",5120008785932,5,84.14, $ 420.70 ,20111005
AL,"TRAILER,CARGO      ",2330011024697,1,3894.00," $ 3,894.00 ",20111005
AL,DESKTOP TOWER COMPUTER,702100DESKTOP,2,467.00, $ 934.00 ,20111005
AL,DESKTOP TOWER COMPUTER,702100DESKTOP,2,584.00," $ 1,168.00 ",20111005
AL,LAPTOP COMPUTER,702100LAPTOPC,1,1146.00," $ 1,146.00 ",20111005
AL,"BAG,DUFFEL         ",8465011178699,10,22.10, $ 221.00 ,20111005
AL,"FRAME,FIELD PACK   ",8465010738326,5,36.88, $ 184.40 ,20111005
AL,"SCRIBER,MACHINIST'S",5120014288372,2,4.81, $ 9.62 ,20111005
AL,SNAP HOOK          ,5340013859852,12,0.44, $ 5.28 ,20111005
AL,CAMERA OLYMPUS FE110,672000CAMERA,1,50.00, $ 50.00 ,20111005
AL,CAMERA OLYMPUS SP510UZ,673000CAMERA,1,100.00, $ 100.00 ,20111005
AL,CAMERA OLYMPUS SP570 UZ,673000CAMERA,1,150.00, $ 150.00 ,20111005
AL,DELL 18 INCH FLAT PANEL MONIT,703500MONITOR,1,253.50, $ 253.50 ,20111005
AL,"GAGE,TIRE PRESSURE,",4910002689772,18,5.57, $ 100.26 ,20111005
AL,MONITOR  FLAT,703500MONITOR,1,200.00, $ 200.00 ,20111005
AL,MONITOR  FLAT,703500MONITOR,2,200.00, $ 400.00 ,20111005
AL,PLIERS,5120014349585,1,11.55, $ 11.55 ,20111006
AL,"CAN,TRASH AND GARBA",7240001600438,6,158.70, $ 952.20 ,20111006
AL,"BRUSH,CLEANING,SMAL",1005005564174,51,0.51, $ 26.01 ,20111006
AL,"TRUCK,CARGO        ",2320010502084,1,70613.00," $ 70,613.00 ",20111006
AL,CARPET CLEANER,7290DSCLEANER,1,300.00, $ 300.00 ,20111007
AL,MISC HAND TOOLS,511000MISCTOO,1,1000.00," $ 1,000.00 ",20111007
AL,"CASE,MEDICAL INSTRU",6545009129890,4,49.94, $ 199.76 ,20111007
AL,"CABLE,POWER,ELECTRI",6145007642854,4,14.72, $ 58.88 ,20111008
AL,"MODIFICATION KIT,HE",8475014424784,30,45.86," $ 1,375.80 ",20111011
AL,"BAG,TOOLS AND SPARE",8105013009515,10,14.29, $ 142.90 ,20111011
AL,"FILTER UNIT,WATER P",4610012630922,10,66.78, $ 667.80 ,20111011
AL,"HEADBAND,FLASHLIGHT",4240013991383,10,102.51," $ 1,025.10 ",20111011
AL,"CHEST,MEDICAL INSTR",6545009143470,6,440.61," $ 2,643.66 ",20111011
AL,"POUCH,BANDOLEER AMM",8465014652144,40,8.32, $ 332.80 ,20111011
AL,FANBIKE EXERCISE,783000STATBIK,1,150.00, $ 150.00 ,20111011
AL,LIFECYCLE STIONARY BIKE,7830STATBIKE,1,927.00, $ 927.00 ,20111011
AL,STAIRMASTERRECUMBENT BIKE,783000EXERCIS,1,755.00, $ 755.00 ,20111011
AL,UNIVERSAL UPRIGHT BIKE,7830STATBIKE,1,750.00, $ 750.00 ,20111011
AL,"BELT,WEB           ",1285007607466,75,3.33, $ 249.75 ,20111011
AL,SPOTLIGHT          ,6220010108955,4,38.15, $ 152.60 ,20111011
AL,"HEADBAND,FLASHLIGHT",4240013991383,10,102.51," $ 1,025.10 ",20111011
AL,"BOOTS,HOT WEATHER  ",8430015151336,1,68.03, $ 68.03 ,20111011
AL,"FAUCET,DOUBLE      ",4510011061869,3,61.44, $ 184.32 ,20111011
AL,"CASE,MEDICAL INSTRU",6545009129880,14,57.21, $ 800.94 ,20111011
AL,CPU  DESKTOP,702101C069737,10,699.00," $ 6,990.00 ",20111011
AL,CPU  HP DESKTOP,702101C069737,10,662.00," $ 6,620.00 ",20111011
AL,MONITOR FLAT DISPLAY,703500C802573,5,425.00," $ 2,125.00 ",20111011
AL,MONITOR  DELL FLAT,703500MONITOR,2,100.00, $ 200.00 ,20111011
AL,MONITOR  FLAT,703500MONITOR,5,100.00, $ 500.00 ,20111011
AL,"SCREW,MACHINE      ",5305002713570,1,450.08, $ 450.08 ,20111011
AL,"WASHER,FLAT        ",5310005765495,101,1.63, $ 164.63 ,20111011
AL,"WASHER,FLAT        ",5310002260494,64,0.08, $ 5.12 ,20111011
AL,CAMERADIGITAL OLYMPUS SP570UZ,673000CAMERA,1,150.00, $ 150.00 ,20111011
AL,CLEANER VACUUM ELEC,7910005509101,3,720.80," $ 2,162.40 ",20111011
AL,"PAD,KNEE           ",8415015150367,10,17.53, $ 175.30 ,20111011
AL,"HOLSTER,PISTOL     ",1095011943343,10,22.89, $ 228.90 ,20111011
AL,"SHELTER HALF,TENT  ",8340010266096,2,78.15, $ 156.30 ,20111011
AL,POCKET AMMUNITION M,8465015333007,10,7.65, $ 76.50 ,20111011
AL,POCKET AMMUNITION M,8465015333007,10,7.65, $ 76.50 ,20111011
AL,BAYONET AND SCABBAR,1095012271739,6,47.98, $ 287.88 ,20111012
AL,"BALANCER,VEHICLE WH",4910013091751,1,6356.75," $ 6,356.75 ",20111012
AL,TEST SET INSULATION,6625015442958,1,1472.50," $ 1,472.50 ",20111012
AL,VERSE CLIMBER  MACHINE,783000F001486,2,3000.00," $ 6,000.00 ",20111012
AL,"AUTOMOBILE,SEDAN   ",2310010186668,1,8433.00," $ 8,433.00 ",20111012
AL,BAG  BLACK PRO GEAR,810500PROBAG,20,59.99," $ 1,199.80 ",20111012
AL,"COT,FOLDING        ",7105009350422,14,71.72," $ 1,004.08 ",20111012
AL,UNDERWATER CAMERA,671000CAMERAS,1,4213.89," $ 4,213.89 ",20111012
AL,"CRANE,FLOOR,PORTABL",3950010070781,1,5219.41," $ 5,219.41 ",20111012
AL,"HAMMER,HAND        ",5120009006098,2,39.67, $ 79.34 ,20111012
AL,"POCKET,EXPLOSIVES  ",8465015247636,20,6.23, $ 124.60 ,20111012
AL,BAG MEDICAL I.V. BA,8465015247640,12,10.25, $ 123.00 ,20111012
AL,BAG  BLACK PRO GEAR,810500PROBAG,12,59.99, $ 719.88 ,20111012
AL,"LADDER,STRAIGHT    ",5440002427151,3,99.55, $ 298.65 ,20111012
AL,"BELT,MOLDED WAIST  ",8465014652109,75,19.36," $ 1,452.00 ",20111012
AL,MOUNTER AND DEMOUNT,4910013087609,1,12037.05," $ 12,037.05 ",20111012
AL,GARDEN TILLER,371000PTILLER,1,600.00, $ 600.00 ,20111012
AL,DEGREASER          ,4940014597225,3,1484.39," $ 4,453.17 ",20111012
AL,"BOLT,WELDING       ",5306000445319,60,0.31, $ 18.60 ,20111012
AL,"ELECTRODE,WELDING  ",3439010274800,10,63.79, $ 637.90 ,20111012
AL,"ELECTRODE,WELDING  ",3439014818016,10,87.34, $ 873.40 ,20111012
AL,"STUD,WELDING       ",5307007964910,60,2.62, $ 157.20 ,20111012
AL,"STUD,WELDING       ",5307014061248,15,5.90, $ 88.50 ,20111012
AL,"BOX,SMALL PARTS    ",8115007618912,7,2.37, $ 16.59 ,20111012
AL,"HANDBAG,WOMAN'S    ",8445010723725,2,27.26, $ 54.52 ,20111012
AL,"PRINTER,AUTOMATIC D",7025015482921,1,109.10, $ 109.10 ,20111012
AL,"SCREW,WOOD         ",5305000149349,2,11.14, $ 22.28 ,20111012
AL,"PAPER,COPYING,DIAZO",6750013993686,1,105.82, $ 105.82 ,20111012
AL,DROPLIGHT  ELECTRIC  PORTABLE,623000LIGHT,3,50.00, $ 150.00 ,20111012
AL,"FRAME,FIELD PACK   ",8465010738326,8,36.88, $ 295.04 ,20111012
AL,DRINKING SYSTEM    ,8465013969919,5,77.97, $ 389.85 ,20111012
AL,HAND HELD FLASHLIGHT NIGHT HU,623000FLASHLI,6,1877.92," $ 11,267.52 ",20111013
AL,SHIPPING AND STORAG,8145013163296,1,6896.49," $ 6,896.49 ",20111013
AL,"CASE,MEDICAL INSTRU",6545009129880,10,57.21, $ 572.10 ,20111013
AL,"CASE,MEDICAL LABORA",6545009268935,10,72.52, $ 725.20 ,20111013
AL,"SOCKET,SOCKET WRENC",5120002771464,10,3.07, $ 30.70 ,20111013
AL,"WRENCH,OPEN END    ",5120002771243,3,66.58, $ 199.74 ,20111013
AL,SAW  SCROLL ELE 20,389500SAW,1,583.20, $ 583.20 ,20111013
AL,SEARCHLIGHT        ,6230011056580,2,5446.00," $ 10,892.00 ",20111013
AL,"BAG,INDIVIDUAL EQUI",8465015571570,1,220.00, $ 220.00 ,20111013
AL,SYSTEM HYDRATION,8465014917450,20,32.74, $ 654.80 ,20111013
AL,"STRAP,TIEDOWN,ELECT",5975002149066,23,1.84, $ 42.32 ,20111013
AL,"ROPE,FIBROUS       ",4020002990736,1,85.76, $ 85.76 ,20111013
AL,"TIRE,PNEUMATIC,VEHI",2610012141344,1,781.16, $ 781.16 ,20111014
AL,"TIRE,PNEUMATIC,VEHI",2610000000182,3,164.60, $ 493.80 ,20111014
AL,SLEEPING BAG       ,8465013980687,38,63.17," $ 2,400.46 ",20111014
AL,PODIUM,711000PODIUM,1,800.00, $ 800.00 ,20111014
AL,"SPONGE,SURGICAL    ",6510009269082,10,59.14, $ 591.40 ,20111014
AL,"CARRIER,PISTOL HOLS",8465015247328,1,25.28, $ 25.28 ,20111014
AL,"HOOK KNIFE,RESCUE  ",4240015439618,3,17.34, $ 52.02 ,20111014
AL,"BELTS,V,MATCHED SET",3030013332285,1,128.34, $ 128.34 ,20111015
AL,"SHIRT,COLD WEATHER ",8415014618341,3,57.62, $ 172.86 ,20111017
AL,SLEEPING BAG       ,8465013980685,40,45.37," $ 1,814.80 ",20111017
AL,SPOTLIGHT          ,6220015780223,3,112.33, $ 336.99 ,20111017
AL,TRIPOD CAMERA,675000CAMTRIP,2,60.00, $ 120.00 ,20111017
AL,"GOGGLES,INDUSTRIAL ",4240015405585,40,62.32," $ 2,492.80 ",20111017
AL,"LADDER,UPPER,WELDED",2541015353039,2,2391.91," $ 4,783.82 ",20111017
AL,MODULAR SLEEP SYSTE,8465014456274,15,252.32," $ 3,784.80 ",20111017
AL,"GOGGLES,INDUSTRIAL ",4240015405585,40,62.32," $ 2,492.80 ",20111017
AL,LAPTOP COMPUTER,702100LAPTOP,10,1200.00," $ 12,000.00 ",20111017
AL,LAPTOP COMPUTER,702100LAPTOP,10,1200.00," $ 12,000.00 ",20111017
AL,LAPTOP COMPUTER,702100LAPTOP,10,1200.00," $ 12,000.00 ",20111017
AL,ASSAULT PACK       ,8465015245250,24,86.30," $ 2,071.20 ",20111017
AL,PADLOCK SET        ,5340002920906,7,437.12," $ 3,059.84 ",20111017
AL,SLEEPING BAG       ,8465013980687,12,63.17, $ 758.04 ,20111017
AL,MONITOR COLOR 25 IN,773000MONITOR,1,475.00, $ 475.00 ,20111017
AL,PAN FIELD MESS,735000MESSKIT,12,3.42, $ 41.04 ,20111017
AL,TELEVISION 32 IN,773000TELEVIS,1,829.96, $ 829.96 ,20111017
AL,"TOOL KIT,REPAIRMAN'",5180003577770,1,1943.00," $ 1,943.00 ",20111017
AL,RIFLEMAN SET       ,8465014596572,25,396.61," $ 9,915.25 ",20111017
AL,"SAW,BOW            ",5110003403276,10,13.33, $ 133.30 ,20111017
AL,LITTER,653000LITTER,1,1000.00," $ 1,000.00 ",20111017
AL,"STRAPS,SHOULDER,FRA",8465014652133,10,27.56, $ 275.60 ,20111017
AL,FILING CABINET,7110009209328,1,1509.75," $ 1,509.75 ",20111017
AL,"BELT,RIGGERS       ",8415014800465,40,3.52, $ 140.80 ,20111018
AL,"STRAP,INVOLUNTARY,R",8465015151156,4,107.00, $ 428.00 ,20111018
AL,CPCVX WATCH SUUNTO X10,664500X061242,2,143.74, $ 287.48 ,20111018
AL,CPCVX WATCH  NIKE,846500J014459,5,114.00, $ 570.00 ,20111018
AL,CPCVX WATCH  SUUNTO,664500X061242,3,143.74, $ 431.22 ,20111018
AL,CPCVX  WATCH SUUNO XLANDER,664501C129300,11,265.00," $ 2,915.00 ",20111018
AL,"SOLDERING IRON,ELEC",3439011030243,1,64.69, $ 64.69 ,20111018
AL,"LENS,HELMET,WELDER'",4240002037764,5,33.68, $ 168.40 ,20111018
AL,"ROPE,WIRE          ",4010014224414,613,1.13, $ 692.69 ,20111018
AL,"SHEET,METAL        ",9535002318370,60,8.01, $ 480.60 ,20111018
AL,"SHEETING,REFLECTIVE",9390009647456,7,647.18," $ 4,530.26 ",20111018
AL,"SAFELIGHT,DARKROOM,",6525012620621,1,169.37, $ 169.37 ,20111018
AL,"TAPE,ELECTRIC WIRE-",3611012108058,30,5.06, $ 151.80 ,20111018
AL,ASSAULT PACK       ,8465015245250,15,86.30," $ 1,294.50 ",20111019
AL,BAYONET-KNIFE      ,1095000179701,26,25.16, $ 654.16 ,20111019
AL,"BOOTS,HOT WEATHER  ",8430013127762,1,176.28, $ 176.28 ,20111019
AL,"BOOTS,HOT WEATHER  ",8430013127758,1,176.28, $ 176.28 ,20111019
AL,"HANDLE,SOCKET WRENC",5120002306373,5,39.49, $ 197.45 ,20111019
AL,"JACK,HYDRAULIC,HAND",5120011468096,5,155.34, $ 776.70 ,20111019
