Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,68,9,7,4,35,5,0,0,18,2,111,17,20,6,5,0,10,1,2,0,3,0,0,0,7,5,20,1,8,0,121,48,24,6,21,8,2,0,40,1,10,0,6,5,10,4,152,75,83,7,6,0,64,24,5,3,65,4,16,1,144,43,143,51,37,9,6,2,39,2,171,126,22,7,3,1,7,0,1511,477
Larceny,438,137,31,9,124,2,11,1,156,9,767,59,296,164,21,3,513,8,52,19,25,3,36,4,122,19,291,45,67,11,720,260,96,5,45,11,6,1,406,63,93,9,16,5,82,10,681,385,667,53,211,38,186,14,21,4,356,27,47,4,675,113,993,237,197,53,145,21,216,13,1197,559,187,22,37,8,213,127,10443,2535
Motor Vehicle Theft,35,8,3,0,2,0,0,1,1,0,19,7,8,1,0,0,2,0,1,0,0,0,1,0,5,0,0,0,4,0,20,13,7,3,0,0,0,0,0,0,2,0,3,0,5,1,25,12,0,3,1,0,1,0,1,2,23,1,4,0,56,18,65,23,12,11,0,0,0,1,38,22,7,0,4,2,0,0,355,129
Counterfeiting/Forgery,18,0,10,0,21,0,3,0,17,0,50,0,21,1,1,0,18,0,4,0,5,0,3,0,8,0,24,0,8,0,61,0,19,0,9,0,0,0,32,0,9,0,2,0,8,0,86,1,58,1,2,0,14,0,2,0,37,0,19,0,55,1,29,0,48,0,5,2,17,0,165,12,40,0,21,0,6,0,955,18
Fraud,58,1,3,0,21,0,1,0,25,0,87,0,26,23,1,0,104,0,2,0,11,0,4,0,2,0,40,0,21,0,66,3,38,0,12,0,0,0,68,2,17,0,4,0,10,0,159,5,40,12,0,0,36,1,5,0,50,0,43,0,153,8,110,1,28,6,32,0,33,0,210,10,31,1,9,0,31,0,1591,73
Embezzlement,43,12,1,0,7,0,1,0,12,0,72,1,33,5,3,0,16,0,12,0,9,0,1,0,12,0,18,1,5,0,81,3,11,0,4,0,1,0,40,1,6,0,2,0,6,0,54,3,35,0,0,0,13,0,2,0,14,0,1,0,33,2,73,6,18,0,5,0,17,0,89,2,17,1,7,0,19,6,793,43
Stolen Property,5,3,2,0,3,0,1,0,11,3,41,5,4,1,0,0,2,0,0,0,0,0,0,0,2,0,13,1,0,0,25,7,7,1,23,1,0,0,12,2,3,1,2,0,0,0,25,9,36,3,0,0,20,5,0,3,21,3,1,0,51,4,5,2,6,0,3,1,13,0,44,17,6,0,0,0,6,1,393,73
Vandalism,50,13,8,11,16,0,6,0,40,1,27,0,13,38,5,0,69,1,6,4,10,2,5,37,12,2,35,2,9,3,34,12,38,11,29,7,7,0,47,2,13,2,2,1,38,9,89,99,53,2,10,4,68,17,3,2,103,6,32,3,138,62,133,54,23,11,27,0,43,5,219,145,30,1,7,0,22,8,1519,577
Drug/Narcotic Offenses,351,42,46,7,108,1,17,3,212,7,1244,82,208,40,11,3,312,5,108,2,44,4,39,4,50,11,260,11,47,6,951,86,281,9,161,4,6,1,651,28,100,8,84,5,54,2,1929,248,837,16,22,0,358,13,44,11,607,11,174,1,1708,110,1083,91,132,15,184,15,391,11,1778,320,152,6,67,1,196,8,15007,1248
"Sex Offenses, Nonforcible",1,0,0,0,0,0,0,0,3,0,2,2,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,5,1,1,0,0,0,0,0,44,4
Pornography,0,0,0,0,1,0,0,0,0,1,3,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,1,0,8,1,0,0,0,0,1,0,30,4
Gambling,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44,4
Prostitution,25,0,1,0,3,0,3,0,0,0,27,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,34,2,71,0,0,0,12,0,0,0,3,0,0,0,57,0,60,0,0,0,0,0,7,0,71,0,0,0,0,0,0,0,410,2
Bribery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0
Weapon Law Violations,24,10,6,1,13,0,5,1,16,1,128,6,39,3,0,1,92,4,5,1,4,0,4,1,18,1,23,0,6,0,140,23,17,3,20,0,1,0,57,14,8,0,5,2,15,2,236,65,105,7,6,0,65,10,2,2,89,2,9,1,194,37,94,18,10,3,9,1,54,1,273,62,15,3,7,0,18,4,1832,290
TOTAL GROUP A,1829,367,199,38,557,13,70,9,952,48,4101,226,797,324,106,10,1962,46,272,33,185,16,132,48,377,48,1018,67,268,23,3293,726,797,51,607,45,35,2,2230,169,457,28,178,23,429,71,5322,1281,3140,154,294,44,1640,156,120,37,2513,84,559,21,5516,847,4518,688,710,137,697,65,1447,52,7617,2099,752,54,242,31,748,184,56686,8365
Bad Checks,18,0,90,0,84,0,1,0,356,1,150,0,10,0,1,0,157,0,27,0,3,0,5,0,11,0,19,0,62,0,8,0,53,0,24,0,0,0,134,0,9,0,2,0,17,0,10,0,58,0,0,0,18,0,1,0,38,0,90,0,33,0,6,0,30,1,10,0,52,0,45,0,5,0,0,0,18,0,1655,2
Curfew/Loitering/Vagrancy,4,0,0,0,0,0,0,0,0,1,4,152,0,146,0,0,0,119,0,8,0,0,0,0,0,15,0,0,0,3,2,156,0,0,0,27,0,0,3,0,0,0,0,0,0,1,9,292,1,0,0,0,0,6,0,9,0,11,0,0,0,85,0,38,0,0,0,0,0,50,72,830,0,0,0,0,0,0,95,1949
Disorderly Conduct,163,10,14,0,11,1,10,1,42,3,59,5,33,28,2,2,52,5,7,27,8,0,6,0,18,1,25,0,3,0,6,22,45,2,28,2,0,0,77,3,33,5,10,1,41,2,45,36,583,85,1,0,81,10,0,1,76,4,21,0,156,89,49,178,41,6,17,9,56,0,815,135,14,5,2,1,12,3,2662,682
Driving Under Influence,465,3,85,2,79,0,48,1,184,1,875,8,367,1,32,0,231,1,60,0,4,0,71,0,21,0,180,0,69,1,362,4,226,3,46,0,65,1,279,0,101,1,80,0,64,0,487,1,366,1,117,1,104,0,42,0,195,0,126,1,518,2,401,4,119,2,174,5,305,1,2657,19,125,1,101,0,180,2,10011,67
Drunkenness,944,1,66,0,399,0,77,0,552,0,700,2,136,4,68,0,633,4,70,1,39,3,155,2,36,0,387,0,168,0,649,2,533,1,132,0,67,0,504,1,310,1,104,1,130,0,889,10,1212,1,173,0,116,0,17,0,357,2,183,0,931,2,1920,11,222,0,327,0,220,0,4115,25,241,1,113,0,111,1,18006,76
"Family Offenses, Nonforcible",7,0,2,0,13,0,0,0,4,0,21,0,20,0,1,0,5,0,1,0,1,0,0,0,2,0,9,0,2,0,53,0,12,0,3,0,0,0,8,0,2,0,1,0,0,0,191,4,149,1,3,0,38,0,0,0,114,0,3,0,259,5,23,1,6,0,1,0,30,0,57,0,7,0,0,0,3,0,1051,11
Liquor Laws Violations,577,69,31,11,31,5,1,0,45,9,173,53,60,23,14,2,24,6,2,5,5,6,22,1,18,1,76,0,27,8,40,13,393,5,8,3,17,3,246,13,70,15,10,4,38,6,27,56,424,16,19,8,26,1,68,17,47,2,518,2,127,8,594,3,19,7,78,33,36,2,1130,409,23,11,20,9,51,32,5135,877
Peeping Tom,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0
Runaway,0,209,0,0,0,0,0,0,0,40,0,427,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,4,0,0,0,60,0,0,0,1,0,0,0,1245,0,86,0,0,0,11,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,7,0,39,0,0,0,1,0,2452
Trespass of Real Property,318,20,34,5,43,0,1,0,249,2,260,16,13,27,6,0,202,6,28,0,13,0,48,0,25,1,79,3,21,1,161,26,62,0,17,0,3,0,365,6,37,2,9,1,26,1,207,241,752,104,28,9,113,5,3,0,721,8,29,0,1100,102,732,32,22,3,37,7,96,2,709,206,41,0,20,2,24,6,6654,844
Conspiracy,0,0,0,0,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
All Other (except Traffic),538,33,58,10,373,27,45,4,1052,24,3043,134,1050,76,71,5,1846,65,227,12,13,1,148,16,143,3,477,46,60,4,2033,90,1598,12,194,11,4,0,2368,103,342,39,84,6,631,38,442,740,3961,2920,141,0,1389,45,26,4,3243,10,370,6,5357,73,1199,165,671,33,931,27,863,7,8644,461,489,25,34,1,853,23,45011,5299
TOTAL GROUP B,3035,345,380,28,1044,33,183,6,2485,81,5289,798,1689,342,195,10,3151,206,422,53,86,10,455,19,275,21,1253,49,412,17,3316,573,2923,23,453,47,156,4,3984,186,904,63,301,14,948,48,2308,2625,7509,3214,482,18,1887,78,157,31,4791,37,1349,9,8481,366,4927,455,1130,53,1575,81,1658,62,18249,2092,945,82,290,13,1252,68,90329,12260
GRAND TOTAL,4864,712,579,66,1601,46,253,15,3437,129,9390,1024,2486,666,301,20,5113,252,694,86,271,26,587,67,652,69,2271,116,680,40,6609,1299,3720,74,1060,92,191,6,6214,355,1361,91,479,37,1377,119,7630,3906,10649,3368,776,62,3527,234,277,68,7304,121,1908,30,13997,1213,9445,1143,1840,190,2272,146,3105,114,25866,4191,1697,136,532,44,2000,252,147015,20625
