Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,53,9,8,0,27,2,0,0,17,3,73,24,17,10,9,2,23,6,1,0,2,0,0,0,5,7,17,1,12,0,73,49,18,2,26,15,0,2,34,10,5,7,1,1,19,1,91,66,57,14,5,9,47,6,5,5,77,4,22,0,101,29,118,18,28,1,9,2,37,5,167,87,16,2,3,0,7,1,1230,400
Larceny,422,133,40,6,121,6,20,0,167,8,917,31,464,165,29,4,530,41,35,10,45,6,44,7,61,19,341,62,106,14,848,309,144,20,47,9,5,0,431,26,78,7,17,4,66,9,560,329,701,80,246,44,185,21,16,7,336,10,64,4,749,74,1043,207,226,47,143,25,255,13,1157,582,239,21,38,1,219,129,11155,2490
Motor Vehicle Theft,20,11,1,0,2,0,1,0,2,0,8,2,3,1,3,0,3,0,3,0,2,0,0,0,2,0,0,0,2,0,10,9,2,1,0,0,1,0,2,0,4,2,2,0,7,0,35,27,0,0,0,0,0,0,3,1,14,3,3,0,36,12,60,23,26,2,0,0,0,0,30,20,3,0,1,1,0,0,291,115
Counterfeiting/Forgery,39,1,6,0,32,0,0,0,14,0,31,1,26,0,1,1,20,1,3,0,6,0,8,0,4,0,28,0,6,0,35,4,19,0,12,0,1,0,28,0,15,1,1,0,12,0,57,4,30,0,5,0,24,0,3,1,45,0,8,0,50,3,39,1,23,0,5,0,13,0,115,7,21,0,15,0,7,0,807,25
Fraud,84,2,4,0,25,0,1,0,66,1,82,1,33,0,1,0,102,0,5,0,15,1,3,0,2,0,61,4,4,0,82,4,43,1,16,0,1,0,45,0,22,1,1,0,19,2,80,1,36,5,5,0,41,0,2,2,70,1,34,0,269,12,131,1,25,0,25,3,29,0,240,5,26,2,11,0,16,0,1757,49
Embezzlement,48,4,0,1,3,0,1,0,14,0,65,0,39,0,2,0,20,0,0,0,6,0,2,0,8,0,20,0,2,0,40,1,16,0,5,0,2,0,25,0,6,0,0,0,3,0,41,2,12,1,1,0,11,0,2,0,9,0,2,0,24,1,56,3,16,3,3,0,15,0,67,1,9,4,0,0,10,0,605,21
Stolen Property,8,8,4,0,9,0,1,0,9,1,21,0,10,1,0,0,12,0,0,0,2,1,0,0,2,0,5,0,6,0,32,8,13,0,5,4,0,0,26,1,3,0,3,0,0,0,29,15,24,5,0,0,22,10,0,0,44,0,3,0,48,6,6,0,0,0,0,0,9,1,39,10,3,2,9,0,5,0,412,73
Vandalism,56,18,6,4,14,0,4,0,63,3,31,4,22,19,5,0,81,3,6,9,13,0,22,45,11,1,38,4,15,2,62,24,40,3,40,2,3,0,60,10,18,3,3,7,25,1,80,58,39,0,5,1,56,7,9,1,94,6,20,0,185,38,105,33,15,1,27,2,48,1,182,97,21,8,6,3,16,7,1546,425
Drug/Narcotic Offenses,372,58,45,0,207,3,10,0,217,2,925,62,240,25,10,1,361,13,73,5,32,8,28,5,33,7,234,10,39,2,910,81,269,17,140,11,14,0,693,36,118,2,78,3,82,5,1462,172,440,2,40,2,388,16,64,17,571,11,147,3,1742,69,941,44,153,11,154,26,321,9,1343,228,109,7,62,2,187,11,13254,986
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,0,0,1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,1,0,0,0,1,0,1,0,3,2,0,0,0,0,1,0,32,6
Pornography,0,0,0,0,0,0,0,0,3,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,2,0,4,0,1,0,5,2,1,0,0,0,0,0,31,9
Gambling,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,53,5
Prostitution,38,0,0,0,1,0,0,0,10,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,55,0,195,0,0,0,7,0,0,0,23,0,0,0,140,0,101,0,1,0,0,0,1,1,50,0,2,0,0,0,0,0,673,1
Bribery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Weapon Law Violations,18,11,7,1,18,1,4,0,29,2,101,3,46,4,1,1,91,8,2,1,2,1,3,0,13,1,8,0,8,1,133,27,24,5,14,0,1,0,54,7,9,0,5,1,17,2,178,41,85,3,6,0,74,7,3,2,111,1,7,0,236,23,87,12,28,2,10,5,52,2,207,37,10,0,3,0,14,2,1719,214
TOTAL GROUP A,1739,382,209,18,676,25,68,2,1141,27,3675,171,1073,260,163,12,1912,91,225,42,204,19,149,59,256,45,1113,90,292,30,3442,801,872,72,570,58,39,2,2265,157,523,38,170,19,458,47,4237,998,2811,136,341,62,1556,122,150,50,2646,63,492,10,6206,656,4329,483,708,96,615,78,1493,58,6873,1708,695,63,262,24,751,176,55399,7250
Bad Checks,8,0,35,0,31,0,1,0,414,0,95,0,12,0,0,0,91,0,23,0,2,0,1,0,6,0,25,0,52,0,12,0,45,0,14,0,0,0,53,0,14,0,1,0,2,0,5,0,43,0,0,0,12,0,0,0,14,0,35,0,25,0,15,0,14,1,18,0,37,0,48,1,8,0,1,0,16,0,1228,2
Curfew/Loitering/Vagrancy,6,0,0,3,0,0,0,0,0,0,5,98,0,43,0,0,1,63,2,23,0,0,0,0,0,6,0,0,0,0,2,350,0,3,0,14,0,0,0,0,0,0,0,0,0,0,7,201,0,0,0,0,0,1,0,2,2,152,1,1,0,53,0,22,0,0,0,0,0,31,106,682,0,1,0,0,0,0,132,1749
Disorderly Conduct,158,16,6,2,4,0,3,1,50,0,50,7,33,8,7,1,55,3,11,4,7,0,8,2,9,4,13,0,3,0,6,59,34,7,31,1,4,0,68,13,41,4,22,1,34,4,36,61,576,64,13,1,80,0,1,0,80,4,18,0,195,150,46,89,46,13,25,6,64,0,721,93,21,6,3,6,11,0,2593,630
Driving Under Influence,444,0,62,1,26,0,48,0,155,1,758,2,297,1,27,0,274,2,52,0,132,0,86,1,22,0,283,1,69,2,521,3,250,0,45,1,56,0,277,1,155,1,114,1,52,1,403,9,562,1,118,2,100,0,23,0,202,0,95,0,615,3,459,3,92,2,121,4,378,4,2510,18,160,1,112,0,199,2,10354,68
Drunkenness,695,6,53,0,420,1,78,0,540,0,637,6,141,3,96,2,628,0,63,2,158,1,121,2,43,2,395,2,114,1,965,9,655,1,115,1,49,0,507,1,289,2,122,0,155,0,794,9,1981,8,133,1,90,0,16,2,341,0,205,0,989,4,2089,6,208,3,238,0,151,0,3645,37,203,2,153,0,118,0,18393,114
"Family Offenses, Nonforcible",0,0,1,0,10,0,0,0,2,0,6,0,24,0,0,0,11,0,4,0,1,0,0,0,1,0,9,0,10,0,64,1,14,2,11,0,0,0,17,0,3,0,1,0,0,0,149,3,197,2,0,0,28,0,5,0,121,0,2,0,201,13,21,1,4,1,0,0,27,0,54,0,3,0,3,0,5,0,1009,23
Liquor Laws Violations,563,100,34,11,24,19,1,0,43,9,206,44,111,20,23,10,58,12,6,4,14,1,19,5,8,6,105,9,17,5,53,16,656,2,16,3,8,1,226,13,102,10,10,6,34,3,8,23,606,19,19,5,38,2,11,11,59,7,454,2,213,6,468,9,21,6,62,37,85,0,955,301,17,9,31,2,70,14,5454,762
Peeping Tom,2,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,39,1
Runaway,0,290,0,0,0,0,0,0,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,7,0,0,0,53,0,0,0,0,0,0,0,827,0,94,0,0,0,9,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,1,0,37,0,0,0,2,0,1735
Trespass of Real Property,299,21,38,2,36,1,1,0,170,1,300,21,34,37,11,2,206,8,31,5,16,0,48,1,12,5,90,0,18,1,278,41,99,4,16,3,1,0,312,5,20,0,7,4,14,1,144,198,755,107,68,5,95,2,4,0,870,5,20,0,1187,57,666,27,22,2,46,9,162,1,544,103,30,9,7,3,34,2,6711,693
Conspiracy,0,0,0,0,2,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3
All Other (except Traffic),830,41,83,9,415,23,79,0,1108,17,3064,114,1023,42,82,1,1940,46,216,14,14,2,132,13,169,5,643,35,126,4,3182,122,1526,10,312,32,6,0,2265,98,290,20,113,9,537,28,348,499,5362,2471,108,3,1186,23,17,10,3049,50,284,4,4702,41,1372,109,565,19,813,39,728,15,7879,261,484,17,27,1,923,9,46002,4256
TOTAL GROUP B,3005,474,312,28,968,45,211,1,2483,40,5138,294,1677,180,246,16,3264,134,408,52,344,4,415,24,270,28,1566,47,411,13,5083,952,3281,29,560,62,125,1,3726,184,914,37,391,21,828,37,1899,1831,10084,2766,459,17,1629,37,77,25,4739,218,1116,7,8129,327,5140,290,972,49,1323,95,1632,51,16472,1497,926,82,337,12,1377,29,91937,10036
GRAND TOTAL,4744,856,521,46,1644,70,279,3,3624,67,8813,465,2750,440,409,28,5176,225,633,94,548,23,564,83,526,73,2679,137,703,43,8525,1753,4153,101,1130,120,164,3,5991,341,1437,75,561,40,1286,84,6136,2829,12895,2902,800,79,3185,159,227,75,7385,281,1608,17,14335,983,9469,773,1680,145,1938,173,3125,109,23345,3205,1621,145,599,36,2128,205,147336,17286
