Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Driving Under Influence,335,2,53,0,130,0,49,0,250,2,1087,10,139,0,40,1,239,0,45,1,0,0,33,1,19,0,216,1,107,1,474,2,360,1,16,1,67,0,189,3,268,0,69,0,119,2,309,9,567,0,110,0,113,2,25,0,292,0,0,0,264,0,303,4,93,1,122,2,152,3,2238,17,117,1,94,0,236,4,9339,71
Drunkenness,875,2,79,0,513,2,29,0,429,2,572,2,69,3,64,0,493,3,64,1,0,0,118,10,36,0,598,3,185,1,672,9,66,1,92,0,71,1,422,0,447,2,83,0,125,0,927,8,1530,10,132,1,138,2,26,2,524,3,0,0,671,7,1633,1,135,1,201,1,65,2,3429,25,164,2,147,1,89,0,15913,108
"Family Offenses, Nonforcible",8,0,1,0,4,0,0,0,2,0,36,2,3,0,0,0,0,0,3,0,0,0,0,0,2,0,7,0,4,0,31,0,8,0,8,0,0,0,13,0,0,0,0,0,7,0,182,3,198,1,3,0,0,0,0,0,74,1,0,0,185,0,18,0,2,0,6,0,25,0,19,2,10,1,2,0,22,1,883,11
Liquor Laws Violations,712,63,13,7,17,7,0,0,94,14,149,48,53,15,12,9,16,2,8,1,0,0,12,5,13,1,67,6,21,18,38,31,412,12,22,3,9,2,247,5,131,14,5,5,12,5,94,56,776,49,24,10,67,4,10,15,37,7,0,0,30,0,156,4,11,2,45,27,21,3,691,228,20,5,58,5,75,20,4178,708
Peeping Tom,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,26,1
Runaway,0,8,0,0,0,0,0,0,0,21,0,500,0,30,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,542,0,1,0,0,0,2,0,74,0,0,0,16,0,0,0,362,0,95,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,3,0,50,0,0,0,2,0,43,0,0,0,1,1776,
Trespass of Real Property,203,17,25,4,24,3,1,0,153,7,315,20,29,16,8,0,192,13,21,6,0,0,55,0,19,6,110,8,22,1,254,75,58,1,27,0,3,3,274,10,58,0,7,6,32,4,196,119,893,31,10,0,148,25,2,2,644,8,0,0,331,61,323,29,23,7,41,2,93,0,538,149,16,1,8,0,41,13,5197,647
Conspiracy,0,0,0,0,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,3
All Other (except Traffic),454,55,99,23,724,31,61,3,1096,59,1796,211,847,65,33,1,1855,78,223,21,0,0,109,11,120,2,713,52,52,10,3008,200,2324,20,266,15,23,0,1697,96,609,31,131,17,445,63,534,452,6662,1957,75,1,1797,91,23,2,2919,30,1,0,3208,50,765,69,520,26,131,11,836,10,9531,819,551,46,54,4,714,28,45006,4660
TOTAL GROUP B,2772,147,384,38,1444,45,150,4,2435,117,4127,910,1216,221,162,12,3095,175,436,65,0,0,360,27,227,12,1817,71,513,37,4512,1164,3514,39,470,67,177,9,3118,211,1588,49,308,50,825,89,2290,1257,11849,2261,361,18,2506,187,87,23,4583,75,1,0,4865,259,3256,199,826,48,652,111,1250,85,17483,2228,915,109,365,11,1386,73,86325,10503
GRAND TOTAL,3862,404,604,83,2021,83,183,17,3323,186,7903,1246,2179,527,284,39,4381,205,642,129,0,0,500,49,487,24,2901,136,733,80,7268,1631,4377,93,972,87,220,15,5153,400,2154,67,408,62,1317,188,7087,2391,15970,2675,520,47,4231,398,179,54,7722,269,62,0,9585,1049,5795,624,1350,120,1472,241,2333,118,23947,4114,1605,187,638,46,2459,371,136827,18455
