Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
Sheriff's Office,14,11,3,7,
Kenbridge PD,4,4,0,0,
Victoria PD,5,4,1,1,
MADISON COUNTY,,,,,
Sheriff's Office,20,18,2,13,
MATHEWS COUNTY,,,,,
Sheriff's Office,11,9,2,7,
MECKLENBURG COUNTY,,,,,
Sheriff's Office,50,46,4,2,
Chase City PD,8,8,0,1,
Clarksville PD,7,7,0,1,
LaCrosse PD,1,1,0,0,
South Hill PD,20,19,1,2,
MIDDLESEX COUNTY,,,,,
Sheriff's Office,16,15,1,6,
MONTGOMERY COUNTY,,,,,
Sheriff's Office,108,89,19,15,
Blacksburg PD,63,57,6,14,
Christiansburg PD,57,54,3,16,
NELSON COUNTY,,,,,
Sheriff's Office,18,16,2,5,
NEW KENT COUNTY,,,,,
Sheriff's Office,32,30,2,12,
NORTHAMPTON CO.,,,,,
Sheriff's Office,66,49,17,17,
Cape Charles PD,5,4,1,0,
Exmore PD,5,5,0,0,
NORTHUMBERLAND CO.,,,,,
Sheriff's Office,22,19,3,11,
NOTTOWAY COUNTY,,,,,
Sheriff's Office,14,13,1,11,
Blackstone PD,11,11,0,4,
Crewe PD,5,4,1,1,
Burkeville PD,1,1,0,0,
ORANGE COUNTY,,,,,
Sheriff's Office,37,32,5,9,
Orange PD,15,13,2,2,
Gordonsville PD,6,5,1,1,
PAGE COUNTY,,,,,
Sheriff's Office,47,41,6,12,
Luray PD,12,12,0,2,
Shenandoah PD,5,5,0,1,
Stanley PD,4,4,0,0,
PATRICK COUNTY,,,,,
Sheriff's Office,51,45,6,16,
PITTSYLVANIA COUNTY,,,,,
Sheriff's Office,114,97,17,17,
Chatham PD,3,3,0,0,
Gretna PD,4,3,1,0,
Hurt PD,2,2,0,0,
POWHATAN COUNTY,,,,,
Sheriff's Office,40,37,3,16,
PRINCE EDWARD CO.,,,,,
Sheriff's Office,23,20,3,7,
Farmville PD,26,24,2,1,
PRINCE GEORGE CO.,,,,,
Prince George County PD,54,50,4,21,
PRINCE WILLIAM CO.,,,,,
Prince William County PD,565,490,75,130,
Quantico PD,1,1,0,0,
Haymarket PD,6,6,0,1,
Dumfries PD,7,5,2,2,
Occoquan PD,1,1,0,0,
PULASKI COUNTY,,,,,
Sheriff's Office,47,44,3,10,
Pulaski PD,26,22,4,9,
Dublin PD,9,9,0,1,
RAPPAHANNOCK CO.,,,,,
Sheriff's Office,25,17,8,1,
RICHMOND COUNTY,,,,,
Sheriff's Office,13,13,0,9,
Warsaw PD,3,3,0,1,
ROANOKE COUNTY,,,,,
Roanoke County PD,142,122,20,14,
Vinton PD,23,22,1,2,
ROCKBRIDGE COUNTY,,,,,
Sheriff's Office,34,31,3,8,
Glasgow PD,1,1,0,0,
ROCKINGHAM COUNTY,,,,,
Sheriff's Office,53,48,5,16,
Bridgewater PD,9,8,1,0,
Broadway PD,4,4,0,0,
Dayton PD,8,7,1,1,
Elkton PD,6,6,0,1,
Grottoes PD,6,5,1,0,
Timberville PD,4,3,1,0,
RUSSELL COUNTY,,,,,
Sheriff's Office,33,31,2,17,
Lebanon PD,11,11,0,1,
Honaker PD,3,3,0,0,
SCOTT COUNTY,,,,, 
Sheriff's Office,25,22,3,7,
Gate City PD,3,3,0,0,
Weber City PD,5,4,1,0,
SHENANDOAH COUNTY,,,,,
Sheriff's Office,73,61,12,9,
Edinburg PD,2,2,0,0,
Mt. Jackson PD,5,5,0,0,
Woodstock PD,16,15,1,1,
Strasburg PD,18,16,2,2,
New Market PD,5,5,0,0,
SMYTH COUNTY,,,,,
Sheriff's Office,43,34,9,0,
Marion PD,18,16,2,2,
Saltville PD,7,7,0,0,
Chilhowie PD,6,6,0,0,
SOUTHAMPTON COUNTY,,,,,
Sheriff's Office,65,55,10,15,
Boykins PD,1,1,0,0,
SPOTSYLVANIA COUNTY,,,,,
Sheriff's Office,167,147,20,44,
STAFFORD COUNTY,,,,,
Sheriff's Office,170,148,22,68,
SURRY COUNTY,,,,,
Sheriff's Office,12,11,1,10,
SUSSEX COUNTY,,,,,
Sheriff's Office,38,29,9,5,
Waverly PD,7,7,0,6,
TAZEWELL COUNTY,,,,,
Sheriff's Office,44,41,3,19,
Bluefield PD,17,15,2,5,
Pocahontas PD,,,,,
Richlands PD,17,16,1,7,
Tazewell PD,15,13,2,1,
Cedar Bluff PD,3,3,0,0,
WARREN COUNTY,,,,,
Sheriff's Office,51,43,8,48,
Front Royal PD,36,34,2,8,
WASHINGTON COUNTY,,,,,
Sheriff's Office,59,53,6,21,
Abingdon PD,26,23,3,2,
Damascus PD,5,5,0,0,
Glade Springs PD,3,2,1,0,
WESTMORELAND CO.,,,,,
Sheriff's Office,23,21,2,14,
Colonial Beach PD,11,9,2,1,
WISE COUNTY,,,,,
Sheriff's Office,45,44,1,16,
Appalachia PD,5,4,1,0,
Big Stone Gap PD,15,14,1,2,
Coeburn PD,6,6,0,0,
Pound PD,4,4,0,0,
St. Paul PD,6,6,0,0,
Wise PD,12,12,0,1,
WYTHE COUNTY,,,,,
Sheriff's Office,39,35,4,8,
Wytheville PD,27,24,3,11,
Rural Retreat PD,1,1,0,0,
YORK COUNTY,,,,,
Sheriff's Office,86,77,9,8,
COUNTY TOTAL,9332,8269,1063,2119,
