Locality,Court,Circuit Court Clerks FY03 Collections,Circuit Court Clerks FY04 Collections,Circuit Court Clerks Variance FY03 vs FY04,Circuit Court Clerks Percent Variance,Commonwealth's Attorneys FY03 Collections,Commonwealth's Attorneys FY04 Collections,Commonwealth's Attorneys Variance FY03 vs FY04,Commonwealth's Attorneys Percent Variance,Commonwealth's Attorneys Collection Method
CUMBERLAND,Circuit,55139.59,53390.26,-1749.33,-3.17,5998.95,3915.69,-2083.26,-34.73,Taxation
CUMBERLAND,District,-,-,-,,-,-,-,,Taxation
CUMBERLAND,Juvenile,-,-,-,,-,-,-,,Taxation
CUMBERLAND,Combined,162816.81,296226.25,133409.44,81.94,23715.31,24866.65,1151.34,4.85,Taxation
DICKENSON,Circuit,99975.98,130042.79,30066.81,30.07,31148.04,31001.28,-146.76,-0.47,Taxation
DICKENSON,District,-,-,-,,-,-,-,,Taxation
DICKENSON,Juvenile,-,-,-,,-,-,-,,Taxation
DICKENSON,Combined,219909.03,353379.00,133469.97,60.69,52117.11,53789.22,1672.11,3.21,Taxation
DINWIDDIE,Circuit,238978.99,388785.03,149806.04,62.69,49570.30,38527.57,-11042.73,-22.28,Taxation
DINWIDDIE,District,-,-,-,,-,-,-,,Taxation
DINWIDDIE,Juvenile,-,-,-,,-,-,-,,Taxation
DINWIDDIE,Combined,865828.32,1380407.87,514579.55,59.43,164512.02,200822.74,36310.72,22.07,Taxation
ESSEX,Circuit,186205.10,218531.27,32326.17,17.36,8382.98,9410.02,1027.04,12.25,"Huff, Poole, & Mahoney"
ESSEX,District,-,-,-,,-,-,-,,"Huff, Poole, & Mahoney"
ESSEX,Juvenile,-,-,-,,-,-,-,,"Huff, Poole, & Mahoney"
ESSEX,Combined,822272.65,954262.89,131990.24,16.05,43724.88,48453.94,4729.06,10.82,"Huff, Poole, & Mahoney"
FAIRFAX COUNTY & FAIRFAX CITY,Circuit,10901408.95,13848049.18,2946640.23,27.03,151984.32,345043.25,193058.93,127.03,Taxation
FAIRFAX COUNTY & FAIRFAX CITY,District,18079640.41,26666118.10,8586477.69,47.49,2209155.29,2381131.78,171976.49,7.78,Taxation
FAIRFAX COUNTY & FAIRFAX CITY,Juvenile,515003.17,659701.20,144698.03,28.10,62161.62,74531.02,12369.40,19.90,Taxation
FAIRFAX COUNTY & FAIRFAX CITY,Combined,-,-,-,,-,-,-,,Taxation
FAUQUIER,Circuit,1006605.41,1124584.17,117978.76,11.72,65258.79,76857.12,11598.33,17.77,Taxation
FAUQUIER,District,2034292.00,2426903.42,392611.42,19.30,171347.98,190227.60,18879.62,11.02,Taxation
FAUQUIER,Juvenile,58587.46,75160.61,16573.15,28.29,5705.02,11979.14,6274.12,109.98,Taxation
FAUQUIER,Combined,-,-,-,,-,-,-,,Taxation
FLOYD,Circuit,87424.19,80828.18,-6596.01,-7.54,22889.51,16029.91,-6859.60,-29.97,"In House Page B-13, footnote 1"
FLOYD,District,-,-,-,,-,-,-,,"In House Page B-13, footnote 1"
FLOYD,Juvenile,-,-,-,,-,-,-,,"In House Page B-13, footnote 1"
FLOYD,Combined,96639.50,130108.19,33468.69,34.63,6978.78,6442.69,-536.09,-7.68,"In House Page B-13, footnote 1"
FLUVANNA,Circuit,93541.68,117606.44,24064.76,25.73,6281.83,6916.78,634.95,10.11,Taxation
FLUVANNA,District,-,-,-,,-,-,-,,Taxation
FLUVANNA,Juvenile,-,-,-,,-,-,-,,Taxation
FLUVANNA,Combined,240912.94,324231.40,83318.46,34.58,37359.22,32103.52,-5255.70,-14.07,Taxation
FRANKLIN,Circuit,327990.53,468111.06,140120.53,42.72,77331.63,88372.49,11040.86,14.28,Taxation
FRANKLIN,District,645986.25,899482.31,253496.06,39.24,96117.71,107770.47,11652.76,12.12,Taxation
FRANKLIN,Juvenile,34509.54,50462.29,15952.75,46.23,8545.38,10556.03,2010.65,23.53,Taxation
FRANKLIN,Combined,-,-,-,,-,-,-,,Taxation
FREDERICK,Circuit,514712.45,793420.26,278707.81,54.15,69524.99,91917.71,22392.72,32.21,Taxation
FREDERICK,District,1284734.72,1771119.62,486384.90,37.86,179554.58,215876.16,36321.58,20.23,Taxation
FREDERICK,Juvenile,58896.32,84143.58,25247.26,42.87,4723.67,8304.29,3580.62,75.80,Taxation
FREDERICK,Combined,-,-,-,,-,-,-,,Taxation
GILES,Circuit,205797.92,274095.66,68297.74,33.19,39499.40,30550.15,-8949.25,-22.66,Taxation
GILES,District,-,-,-,,-,-,-,,Taxation
GILES,Juvenile,-,-,-,,-,-,-,,Taxation
GILES,Combined,573225.00,808791.96,235566.96,41.10,54502.38,60506.12,6003.74,11.02,Taxation
GLOUCESTER,Circuit,193719.25,247960.76,54241.51,28.00,34304.23,61050.90,26746.67,77.97,Attorney- David Hudson
GLOUCESTER,District,597532.71,728665.31,131132.60,21.95,73472.30,89696.13,16223.83,22.08,Attorney- David Hudson
GLOUCESTER,Juvenile,42460.30,38813.60,-3646.70,-8.59,8960.08,9156.52,196.44,2.19,Attorney- David Hudson
GLOUCESTER,Combined,-,-,-,,-,-,-,,Attorney- David Hudson
GOOCHLAND,Circuit,128834.34,187952.42,59118.08,45.89,25836.28,31772.59,5936.31,22.98,Taxation
GOOCHLAND,District,-,-,-,,-,-,-,,Taxation
GOOCHLAND,Juvenile,-,-,-,,-,-,-,,Taxation
GOOCHLAND,Combined,561220.66,833657.61,272436.95,48.54,55345.86,60213.86,4868.00,8.80,Taxation
Grayson County & Galax,Circuit,178168.53,209043.40,30874.87,17.33,12606.72,13921.98,1315.26,10.43,Taxation
Grayson County & Galax,District,-,-,-,,-,-,-,,Taxation
Grayson County & Galax,Juvenile,-,-,-,,-,-,-,,Taxation
Grayson County & Galax,Combined,172080.66,228393.23,56312.57,32.72,73117.81,72448.30,-669.51,-0.92,Taxation
GREENE,Circuit,340835.58,265571.86,-75263.72,-22.08,7912.58,10687.22,2774.64,35.07,Taxation
GREENE,District,-,-,-,,-,-,-,,Taxation
GREENE,Juvenile,-,-,-,,-,-,-,,Taxation
GREENE,Combined,695375.43,563691.09,-131684.34,-18.94,44713.36,57576.22,12862.86,28.77,Taxation
Greensville County & Emporia,Circuit,2033950.33,2272403.31,238452.98,11.72,45586.13,48130.52,2544.39,5.58,Taxation
Greensville County & Emporia,District,-,-,-,,-,-,-,,Taxation
Greensville County & Emporia,Juvenile,-,-,-,,-,-,-,,Taxation
Greensville County & Emporia,ombined,2648496.53,3449298.94,800802.41,30.24,317349.27,253775.82,-63573.45,-20.03,Taxation
HALIFAX,Circuit,268114.47,319655.95,51541.48,19.22,68978.17,69446.88,468.71,0.68,Taxation
HALIFAX,District,642329.91,900241.50,257911.59,40.15,93040.46,102422.09,9381.63,10.08,Taxation
HALIFAX,Juvenile,10169.71,25043.41,14873.70,146.25,4142.13,4039.61,-102.52,-2.48,Taxation
HALIFAX,Combined,-,-,-,,-,-,-,,Taxation
HANOVER,Circuit,852140.17,1199901.96,347761.79,40.81,139804.37,167972.17,28167.80,20.15,Taxation
HANOVER,District,1820484.91,2604070.44,783585.53,43.04,271489.14,346784.10,75294.96,27.73,Taxation
HANOVER,Juvenile,86198.48,102785.12,16586.64,19.24,7302.77,15049.56,7746.79,106.08,Taxation
HANOVER,Combined,-,-,-,,-,-,-,,Taxation
HENRICO,Circuit,3132125.51,3507304.70,375179.19,11.98,316281.91,323365.27,7083.36,2.24,Cantor & Cantor
HENRICO,District,5255647.65,6040877.23,785229.58,14.94,863415.17,868568.79,5153.62,0.60,Cantor & Cantor
HENRICO,Juvenile,171065.29,216712.06,45646.77,26.68,44992.29,43088.54,-1903.75,-4.23,Cantor & Cantor
HENRICO,Combined,-,-,-,,-,-,-,,Cantor & Cantor
HENRY,Circuit,357526.12,492352.39,134826.27,37.71,124168.34,134293.31,10124.97,8.15,Taxation
HENRY,District,813661.64,968323.64,154662.00,19.01,111953.76,136416.40,24462.64,21.85,Taxation
HENRY,Juvenile,50563.46,73129.38,22565.92,44.63,15269.11,19708.59,4439.48,29.07,Taxation
HENRY,Combined,-,-,-,,-,-,-,,Taxation
HIGHLAND,Circuit,28230.87,23643.65,-4587.22,-16.25,1776.78,2723.13,946.35,53.26,Taxation
HIGHLAND,District,-,-,-,,-,-,-,,Taxation
HIGHLAND,Juvenile,-,-,-,,-,-,-,,Taxation
HIGHLAND,Combined,80094.66,76509.09,-3585.57,-4.48,7590.35,2576.27,-5014.08,-66.06,Taxation
ISLE OF WIGHT,Circuit,304266.63,396559.47,92292.84,30.33,42520.07,64505.69,21985.62,51.71,Taxation
ISLE OF WIGHT,District,667650.20,893174.84,225524.64,33.78,110442.38,118403.89,7961.51,7.21,Taxation
ISLE OF WIGHT,Juvenile,30865.87,33866.53,3000.66,9.72,9793.75,5378.00,-4415.75,-45.09,Taxation
ISLE OF WIGHT,Combined,,,,,,,,,Taxation
James City County & Williamsburg,Circuit,843275.04,1015550.27,172275.23,20.43,106955.27,121637.39,14682.12,13.73,Taxation / David Hudson
James City County & Williamsburg,District,1429611.10,1815065.56,385454.46,26.96,144761.69,186469.59,41707.90,28.81,Taxation / David Hudson
James City County & Williamsburg,Juvenile,75336.56,112652.78,37316.22,49.53,18938.59,27013.57,8074.98,42.64,Taxation
James City County & Williamsburg,Combined,-,-,-,,-,-,-,,
KING & QUEEN,Circuit,190132.47,132015.80,-58116.67,-30.57,18208.93,11701.87,-6507.06,-35.74,Taxation
KING & QUEEN,District,395536.67,411467.66,15930.99,4.03,41258.03,38324.27,-2933.76,-7.11,Taxation
KING & QUEEN,Juvenile,10925.40,9350.84,-1574.56,-14.41,1919.79,3189.93,1270.14,66.16,Taxation
KING & QUEEN,Combined,-,-,-,,-,-,-,,Taxation
KING GEORGE,Circuit,511331.18,836524.71,325193.53,63.60,14891.66,30458.94,15567.28,104.54,Taxation
KING GEORGE,District,-,-,-,,-,-,-,,Taxation
KING GEORGE,Juvenile,-,-,-,,-,-,-,,Taxation
KING GEORGE,Combined,556516.44,819466.92,262950.48,47.25,55248.85,68326.52,13077.67,23.67,Taxation
KING WILLIAM,Circuit,193789.05,197331.81,3542.76,1.83,23205.62,14085.63,-9119.99,-39.30,Taxation
KING WILLIAM,District,321475.12,438721.93,117246.81,36.47,45176.31,53526.99,8350.68,18.48,Taxation
KING WILLIAM,Juvenile,15421.07,19256.96,3835.89,24.87,4533.36,4156.24,-377.12,-8.32,Taxation
KING WILLIAM,Combined,-,-,-,,-,-,-,,Taxation
LANCASTER,Circuit,93284.06,171440.83,78156.77,83.78,49937.48,43398.94,-6538.54,-13.09,Taxation
LANCASTER,District,217610.58,298804.26,81193.68,37.31,22948.86,28486.18,5537.32,24.13,Taxation
LANCASTER,Juvenile,12151.79,15837.66,3685.87,30.33,1301.58,1622.65,321.07,24.67,Taxation
LANCASTER,Combined,-,-,-,,-,-,-,,Taxation
LEE,Circuit,116497.45,230532.38,114034.93,97.89,48533.81,81634.84,33101.03,68.20,Taxation
LEE,District,-,-,-,,-,-,-,,Taxation
LEE,Juvenile,-,-,-,,-,-,-,,Taxation
LEE,Combined,264301.91,378746.67,114444.76,43.30,43229.37,53044.47,9815.10,22.70,Taxation
LOUDOUN,Circuit,3230258.21,3165166.78,-65091.43,-2.02,54024.70,79629.21,25604.51,47.39,Taxation
LOUDOUN,District,4275736.33,5972096.80,1696360.47,39.67,313766.70,364101.95,50335.25,16.04,Taxation
LOUDOUN,Juvenile,84943.62,106837.14,21893.52,25.77,10926.41,12285.51,1359.10,12.44,Taxation
LOUDOUN,Combined,-,-,-,,-,-,-,,Taxation
LOUISA,Circuit,214064.18,315224.78,101160.60,47.26,14977.64,24612.96,9635.32,64.33,Taxation
LOUISA,District,-,-,-,,-,-,-,,Taxation
LOUISA,Juvenile,-,-,-,,-,-,-,,Taxation
LOUISA,Combined,613600.80,845994.04,232393.24,37.87,86746.66,91553.49,4806.83,5.54,Taxation
LUNENBURG,Circuit,76055.01,120856.89,44801.88,58.91,24453.70,40710.47,16256.77,66.48,Taxation
LUNENBURG,District,-,-,-,,-,-,-,,Taxation
LUNENBURG,Juvenile,-,-,-,,-,-,-,,Taxation
LUNENBURG,Combined,231912.89,317495.61,85582.72,36.90,33802.38,46080.81,12278.43,36.32,Taxation
MADISON,Circuit,534694.92,395264.90,-139430.02,-26.08,8151.86,5504.99,-2646.87,-32.47,Taxation
MADISON,District,-,-,-,,-,-,-,,Taxation
MADISON,Juvenile,-,-,-,,-,-,-,,Taxation
MADISON,Combined,1189285.67,990739.92,-198545.75,-16.69,53145.38,70181.43,17036.05,32.06,Taxation
MATHEWS,Circuit,63772.12,74246.16,10474.04,16.42,12076.50,10258.11,-1818.39,-15.06,Taxation
MATHEWS,District,75106.01,72528.79,-2577.22,-3.43,13034.54,12389.69,-644.85,-4.95,Taxation
MATHEWS,Juvenile,6335.50,11348.37,5012.87,79.12,3363.74,3037.70,-326.04,-9.69,Taxation
MATHEWS,Combined,-,-,-,,-,-,-,,Taxation
MECKLENBURG,Circuit,456039.03,977479.22,521440.19,114.34,78523.02,80334.43,1811.41,2.31,Taxation
MECKLENBURG,District,1646818.00,2375243.09,728425.09,44.23,184342.17,219347.32,35005.15,18.99,Taxation
MECKLENBURG,Juvenile,28039.84,35631.35,7591.51,27.07,7823.77,6015.93,-1807.84,-23.11,Taxation
MECKLENBURG,Combined,-,-,-,,-,-,-,,Taxation
MIDDLESEX,Circuit,81564.66,144495.68,62931.02,77.15,19608.45,30807.54,11199.09,57.11,Taxation
MIDDLESEX,District,266824.21,344836.27,78012.06,29.24,23855.06,22219.80,-1635.26,-6.85,Attorney-David Hudson
MIDDLESEX,Juvenile,8744.42,13706.93,4962.51,56.75,3922.32,3242.66,-679.66,-17.33,Taxation / Attorney-David Hudson
MIDDLESEX,Combined,-,-,-,,-,-,-,,
Montgomery,Circuit,650899.67,598356.98,-52542.69,-8.07,120143.35,139283.70,19140.35,15.93,E-Recovery Solutions
Montgomery,District,2218155.24,2384938.46,166783.22,7.52,193563.28,218781.25,25217.97,13.03,E-Recovery Solutions
Montgomery,Juvenile,47888.20,66199.69,18311.49,38.24,6474.18,13362.22,6888.04,106.39,E-Recovery Solutions
Montgomery,Combined,-,-,-,,-,-,,,E-Recovery Solutions
NELSON,Circuit,85290.23,100641.89,15351.66,18.00,10858.35,17036.18,6177.83,56.89,Taxation
NELSON,District,423844.66,536617.18,112772.52,26.61,27362.41,41117.95,13755.54,50.27,Taxation
NELSON,Juvenile,17522.72,35361.88,17839.16,101.81,2113.86,6050.01,3936.15,186.21,Taxation
NELSON,Combined,-,-,-,,-,-,-,,Taxation
NEW KENT,Circuit,151507.60,168980.73,17473.13,11.53,14255.77,32207.11,17951.34,125.92,Attorney-David Hudson
NEW KENT,District,758418.34,1046633.84,288215.50,38.00,102043.52,137144.10,35100.58,34.40,Attorney-David Hudson
NEW KENT,Juvenile,21011.22,17557.52,-3453.70,-16.44,2399.49,3033.98,634.49,26.44,Attorney-David Hudson
NEW KENT,Combined,-,-,-,,-,-,-,,Attorney-David Hudson
NORTHAMPTON,Circuit,143482.11,239269.19,95787.08,66.76,35351.84,44893.62,9541.78,26.99,Taxation
NORTHAMPTON,District,813720.41,1143829.73,330109.32,40.57,156595.75,182026.51,25430.76,16.24,Taxation
NORTHAMPTON,Juvenile,4017.73,15053.46,11035.73,274.68,2945.91,6417.85,3471.94,117.86,Taxation
NORTHAMPTON,Combined,-,-,-,,-,-,-,,Taxation
NORTHUMBERLAND,Circuit,59312.94,131287.49,71974.55,121.35,20478.93,39099.49,18620.56,90.93,Taxation
NORTHUMBERLAND,District,112939.97,193824.13,80884.16,71.62,17853.78,27909.82,10056.04,56.32,Taxation
NORTHUMBERLAND,Juvenile,8971.61,15428.53,6456.92,71.97,2140.47,2671.28,530.81,24.80,Taxation
NORTHUMBERLAND,Combined,-,-,-,,-,-,-,,Taxation
NOTTOWAY,Circuit,91537.17,199889.02,108351.85,118.37,28796.75,34536.15,5739.40,19.93,Taxation
NOTTOWAY,District,-,-,-,,-,-,-,,Taxation
NOTTOWAY,Juvenile,-,-,-,,-,-,-,,Taxation
NOTTOWAY,Combined,397444.29,527755.88,130311.59,32.79,73904.61,75662.55,1757.94,2.38,Taxation
ORANGE,Circuit,248649.94,374655.32,126005.38,50.68,17872.63,26241.67,8369.04,46.83,Taxation
ORANGE,District,-,-,-,,-,-,-,,Taxation
ORANGE,Juvenile,-,-,-,,-,-,-,,Taxation
ORANGE,Combined,574209.05,814859.97,240650.92,41.91,60652.15,71604.05,10951.90,18.06,Taxation
PAGE,Circuit,280360.49,382407.48,102046.99,36.40,23436.27,39276.23,15839.96,67.59,Taxation
PAGE,District,522218.71,757031.41,234812.70,44.96,53047.25,47538.44,-5508.81,-10.38,Taxation
PAGE,Juvenile,32383.15,47763.63,15380.48,47.50,6670.27,10169.16,3498.89,52.45,Taxation
PAGE,Combined,-,-,-,,-,-,-,,Taxation
PATRICK,Circuit,101493.40,162889.82,61396.42,60.49,30632.07,44940.05,14307.98,46.71,Taxation
PATRICK,District,164660.32,214906.21,50245.89,30.51,23027.47,23736.24,708.77,3.08,Taxation
PATRICK,Juvenile,13967.26,18027.46,4060.20,29.07,6669.63,4433.37,-2236.26,-33.53,Taxation
PATRICK,Combined,-,-,-,,-,-,-,,Taxation
PITTSLYVANIA,Circuit,236037.70,354519.31,118481.61,50.20,56545.31,77022.04,20476.73,36.21,Taxation
PITTSLYVANIA,District,861043.79,1198342.19,337298.40,39.17,75201.51,98002.20,22800.69,30.32,Taxation
PITTSLYVANIA,Juvenile,39236.52,61569.00,22332.48,56.92,8093.81,7646.35,-447.46,-5.53,Taxation
PITTSLYVANIA,Combined,-,-,-,,-,-,-,,Taxation
POWHATAN,Circuit,92992.19,133264.35,40272.16,43.31,25502.67,35563.64,10060.97,39.45,Taxation
POWHATAN,District,-,-,-,,-,-,-,,Taxation
POWHATAN,Juvenile,-,-,-,,-,-,-,,Taxation
POWHATAN,Combined,321042.41,427883.05,106840.64,33.28,22844.82,35368.30,12523.48,54.82,Taxation
PRINCE EDWARD,Circuit,252021.26,378405.86,126384.60,50.15,27399.27,42547.11,15147.84,55.29,Taxation
PRINCE EDWARD,District,-,-,-,,-,-,-,,Taxation
PRINCE EDWARD,Juvenile,-,-,-,,-,-,-,,Taxation
PRINCE EDWARD,Combined,633121.45,1000252.79,367131.34,57.99,83972.41,107488.75,23516.34,28.00,Taxation
