FIPS Code,Locality,Court,Assessed (Responsibility of the Circuit Court Clerk),Collected (Responsibility of the Circuit Court Clerk),Percent Collected (Responsibility of the Circuit Court Clerk),Net Assessed (Responsibility of the Commonwealth's Attorney),Gross Collected (Responsibility of the Commonwealth's Attorney),Net Collected (Responsibility of the Commonwealth's Attorney),Gross Percent Collected (Responsibility of the Commonwealth's Attorney),Collection Method (Responsibility of the Commonwealth's Attorney)
021,BLAND,COMBINED,958081.25,786540.39,82,160589.93,52920.00,43923.60,33,Taxation
023,BOTETOURT,CIRCUIT,459143.75,344565.70,75,98303.00,52828.00,34338.00,54,In-House
023,BOTETOURT,DISTRICT,,,0,,,,0,See page A-43
023,BOTETOURT,JUVENILE,,,0,,,,0,footnote 1
023,BOTETOURT,COMBINED,1697626.83,1512280.55,89,284794.00,124989.00,81243.00,44,In-House
025,BRUNSWICK,CIRCUIT,619881.37,538858.98,87,32277.46,40146.76,33321.81,124,Taxation
025,BRUNSWICK,DISTRICT,,,0,,,,0,
025,BRUNSWICK,JUVENILE,,,0,,,,0,
025,BRUNSWICK,COMBINED,2342371.07,1947545.60,83,456774.87,255522.35,212083.55,56,Taxation
027,BUCHANAN,CIRCUIT,483470.91,205400.62,42,301676.50,89660.88,74418.53,30,Taxation
027,BUCHANAN,DISTRICT,,,0,,,,0,
027,BUCHANAN,JUVENILE,,,0,,,,0,
027,BUCHANAN,COMBINED,635889.94,456812.07,72,147921.26,97947.82,81296.69,66,Taxation
029,BUCKINGHAM,CIRCUIT,131315.98,71747.15,55,232657.63,23234.11,19284.31,10,Taxation
029,BUCKINGHAM,DISTRICT,,,0,,,,0,
029,BUCKINGHAM,JUVENILE,,,0,,,,0,
029,BUCKINGHAM,COMBINED,379529.09,328778.02,87,67826.53,40403.70,33535.07,60,Taxation
031,CAMPBELL,CIRCUIT,790069.20,408050.36,52,309463.42,100748.11,83620.93,33,Taxation
031,CAMPBELL,DISTRICT,1054286.16,906979.71,86,53042.02,111453.11,92506.08,210,Taxation
031,CAMPBELL,JUVENILE,91077.81,66478.23,73,24282.55,17385.82,14430.23,72,Taxation
031,CAMPBELL,COMBINED,,,0,,,,0,
033,CAROLINE,CIRCUIT,689805.71,642631.98,93,57261.65,37818.76,31389.57,66,Taxation
033,CAROLINE,DISTRICT,2061208.38,1758568.19,85,399114.41,249937.76,207448.34,63,Taxation
033,CAROLINE,JUVENILE,64149.14,44232.21,69,20356.52,13161.29,10923.87,65,Taxation
033,CAROLINE,COMBINED,,,0,,,,0,
035,CARROLL,CIRCUIT,412371.31,221334.47,54,100483.61,23146.21,18703.25,23,E-Recovery Solutions
035,CARROLL,DISTRICT,,,0,,,,0,
035,CARROLL,JUVENILE,,,0,,,,0,
035,CARROLL,COMBINED,1297858.49,1023390.96,79,275037.49,85766.88,68856.93,31,E-Recovery Solutions
036,CHARLES CITY CO,CIRCUIT,132216.56,92478.48,70,12199.29,26731.70,22187.31,219,Taxation
036,CHARLES CITY CO,DISTRICT,,,0,,,,0,
036,CHARLES CITY CO,JUVENILE,,,0,,,,0,
036,CHARLES CITY CO,COMBINED,188721.24,159818.89,85,44521.57,29696.70,24648.26,67,Taxation
037,CHARLOTTE,CIRCUIT,293092.44,150884.18,51,61095.47,14652.11,12161.25,24,Taxation
037,CHARLOTTE,DISTRICT,496633.67,461680.26,93,50731.26,55574.41,46126.76,110,Taxation
037,CHARLOTTE,JUVENILE,23323.31,18352.53,79,7847.02,3788.29,3144.28,48,
037,CHARLOTTE,COMBINED,,,0,,,,0,
041,CHESTERFIELD,CIRCUIT,4438013.20,3767437.46,85,2249969.86,614767.47,510257.00,27,Taxation
041,CHESTERFIELD,DISTRICT,6962087.43,5092762.82,73,1839643.27,935394.85,654931.51,51,"Hufff, Poole & Mahoney"
041,CHESTERFIELD,JUVENILE,400680.88,334017.83,83,136195.10,92500.11,76775.09,68,Taxation
041,CHESTERFIELD,COMBINED,,,0,,,,0,
043,CLARKE,CIRCUIT,247288.21,194334.98,79,15493.14,12201.00,10126.83,79,Taxation
043,CLARKE,DISTRICT,425152.97,394109.25,93,38390.13,38790.05,32195.74,101,Taxation
043,CLARKE,JUVENILE,21307.98,16842.66,79,3592.65,2186.52,1814.81,61,Taxation
043,CLARKE,COMBINED,,,0,,,,0,
045,CRAIG,CIRCUIT,52189.98,25024.39,48,10632.45,6024.35,5000.21,57,Taxation
045,CRAIG,DISTRICT,,,0,,,,0,
045,CRAIG,JUVENILE,,,0,,,,0,
045,CRAIG,COMBINED,88717.11,71626.28,81,12725.77,9647.88,8007.74,76,Taxation
047,CULPEPER,CIRCUIT,763673.21,573017.03,75,196465.15,35524.70,29485.50,18,Taxation
047,CULPEPER,DISTRICT,,,0,,,,0,
047,CULPEPER,JUVENILE,,,0,,,,0,
047,CULPEPER,COMBINED,1694951.46,1527489.63,90,189045.57,160558.11,133263.23,85,Taxation
049,CUMBERLAND,CIRCUIT,195632.63,53390.26,27,128719.64,4717.70,3915.69,4,Taxation
049,CUMBERLAND,DISTRICT,,,0,,,,0,
049,CUMBERLAND,JUVENILE,,,0,,,,0,
049,CUMBERLAND,COMBINED,339601.80,296226.25,87,47006.48,29959.82,24866.65,64,Taxation
051,DICKENSON,CIRCUIT,157971.92,130042.79,82,37437.49,37350.94,31001.28,100,Taxation
051,DICKENSON,DISTRICT,,,0,,,,0,
051,DICKENSON,JUVENILE,,,0,,,,0,
051,DICKENSON,COMBINED,435224.43,353379.00,81,89591.83,64806.29,53789.22,72,Taxation
053,DINWIDDIE,CIRCUIT,588032.69,388785.03,66,143316.58,46418.76,38527.57,32,Taxation
053,DINWIDDIE,DISTRICT,,,0,,,,0,
053,DINWIDDIE,JUVENILE,,,0,,,,0,
053,DINWIDDIE,COMBINED,1692804.74,1380407.87,82,358144.58,241955.11,200822.74,68,Taxation
057,ESSEX,CIRCUIT,272823.77,218531.27,80,32509.28,13442.89,9410.02,41,"Huff, Poole & Mahoney"
057,ESSEX,DISTRICT,,,0,,,,0,
057,ESSEX,JUVENILE,,,0,,,,0,
057,ESSEX,COMBINED,1124198.74,954262.89,85,148720.96,69199.66,48453.94,47,"Huff, Poole & Mahoney"
059,FAIRFAX CO/FAIRFAX CIT,CIRCUIT,13848049.18,13848049.18,100,1194892.52,415714.76,345043.25,35,Taxation
059,FAIRFAX CO/FAIRFAX CIT,DISTRICT,30204683.39,26666118.10,88,1381144.19,2868833.47,2381131.78,208,Taxation
059,FAIRFAX CO/FAIRFAX CIT,JUVENILE,744280.31,659701.20,89,109715.11,89796.41,74531.02,82,Taxation
059,FAIRFAX CO/FAIRFAX CIT,COMBINED,,,0,,,,0,
061,FAUQUIER,CIRCUIT,1290151.36,1124584.17,87,156171.04,92598.94,76857.12,59,Taxation
061,FAUQUIER,DISTRICT,2554445.65,2426903.42,95,204351.82,229189.88,190227.60,112,Taxation
061,FAUQUIER,JUVENILE,91497.43,75160.61,82,32860.78,14432.70,11979.14,44,Taxation
061,FAUQUIER,COMBINED,,,0,,,,0,
063,FLOYD,CIRCUIT,125431.89,80828.18,64,91306.71,23378.60,16029.91,26,In-House
063,FLOYD,DISTRICT,,,0,,,,0,See page A-43
063,FLOYD,JUVENILE,,,0,,,,0,footnote 1
063,FLOYD,COMBINED,184079.57,130108.19,71,42850.46,9451.87,6442.69,22,In-House
065,FLUVANNA,CIRCUIT,204348.86,117606.44,58,13990.89,8333.47,6916.78,60,Taxation
065,FLUVANNA,DISTRICT,,,0,,,,0,
065,FLUVANNA,JUVENILE,,,0,,,,0,
065,FLUVANNA,COMBINED,367664.25,324231.40,88,46040.67,38678.94,32103.52,84,Taxation
067,FRANKLIN,CIRCUIT,718917.69,468111.06,65,177067.07,106472.88,88372.49,60,Taxation
067,FRANKLIN,DISTRICT,1035831.84,899482.31,87,171995.93,129843.94,107770.47,75,Taxation
067,FRANKLIN,JUVENILE,61340.54,50462.29,82,14522.66,12718.11,10556.03,88,Taxation
067,FRANKLIN,COMBINED,,,0,,,,0,
069,FREDERICK,CIRCUIT,1092068.96,793420.26,73,321892.21,110744.23,91917.71,34,Taxation
069,FREDERICK,DISTRICT,1987905.10,1771119.62,89,125842.67,260091.76,215876.16,207,Taxation
069,FREDERICK,JUVENILE,93929.00,84143.58,90,15273.22,10005.17,8304.29,66,Taxation
069,FREDERICK,COMBINED,,,0,,,,0,
071,GILES,CIRCUIT,361400.37,274095.66,76,109869.01,36807.41,30550.15,34,Taxation
071,GILES,DISTRICT,,,0,,,,0,
071,GILES,JUVENILE,,,0,,,,0,
071,GILES,COMBINED,916143.13,808791.96,88,91886.11,72898.94,60506.12,79,Taxation
073,GLOUCESTER,CIRCUIT,443509.47,247960.76,56,240761.75,91127.72,61050.90,38,Attorney-David Hudson
073,GLOUCESTER,DISTRICT,844722.34,728665.31,86,172671.67,128728.94,89696.13,75,Attorney-David Hudson
073,GLOUCESTER,JUVENILE,67571.92,38813.60,57,27509.56,14068.55,9156.52,51,Attorney-David Hudson
073,GLOUCESTER,COMBINED,,,0,,,,0,
075,GOOCHLAND,CIRCUIT,254803.32,187952.42,74,74809.52,38280.23,31772.59,51,Taxation
075,GOOCHLAND,DISTRICT,,,0,,,,0,
075,GOOCHLAND,JUVENILE,,,0,,,,0,
075,GOOCHLAND,COMBINED,897034.62,833657.61,93,(1594.00),72546.82,60213.86,0,Taxation
077,GRAYSON/GALAX,CIRCUIT,339069.32,209043.40,62,40411.82,16773.47,13921.98,42,Taxation
077,GRAYSON/GALAX,DISTRICT,,,0,,,,0,
077,GRAYSON/GALAX,JUVENILE,,,0,,,,0,
077,GRAYSON/GALAX,COMBINED,294331.94,228393.23,78,196468.91,87287.11,72448.30,44,Taxation
079,GREENE,CIRCUIT,322771.51,265571.86,82,29126.21,12876.17,10687.22,44,Taxation
079,GREENE,DISTRICT,,,0,,,,0,
079,GREENE,JUVENILE,,,0,,,,0,
079,GREENE,COMBINED,625393.00,563691.09,90,76573.05,69368.94,57576.22,91,Taxation
081,GREENSVILLE,CIRCUIT,2524333.86,2272403.31,90,156840.33,57988.58,48130.52,37,Taxation
081,GREENSVILLE,DISTRICT,,,0,,,,0,
081,GREENSVILLE,JUVENILE,,,0,,,,0,
081,GREENSVILLE,COMBINED,4026090.26,3449298.94,86,826935.06,305754.00,253775.82,37,Taxation
083,HALIFAX,CIRCUIT,524039.82,319655.95,61,498145.90,83670.94,69446.88,17,Taxation
083,HALIFAX,DISTRICT,1061412.89,900241.50,85,156532.76,123400.11,102422.09,79,Taxation
083,HALIFAX,JUVENILE,39069.72,25043.41,64,11913.45,4867.00,4039.61,41,Taxation
083,HALIFAX,COMBINED,,,0,,,,0,
085,HANOVER,CIRCUIT,1927264.36,1199901.96,62,783262.34,202376.11,167972.17,26,Taxation
085,HANOVER,DISTRICT,3034722.60,2604070.44,86,401123.02,417812.17,346784.10,104,Taxation
085,HANOVER,JUVENILE,109693.46,102785.12,94,22437.44,18132.00,15049.56,81,Taxation
085,HANOVER,COMBINED,,,0,,,,0,
087,HENRICO,CIRCUIT,6188637.78,3507304.70,57,2972891.21,420094.17,323365.27,14,Cantor & Cantor
087,HENRICO,DISTRICT,8206303.90,6040877.23,74,2015916.55,1128449.65,868568.79,56,Cantor & Cantor
087,HENRICO,JUVENILE,414791.15,216712.06,52,170195.48,56087.28,43088.54,33,Cantor & Cantor
087,HENRICO,COMBINED,,,0,,,,0,
089,HENRY,CIRCUIT,802632.95,492352.39,61,319545.52,161799.17,134293.31,51,Taxation
089,HENRY,DISTRICT,1208914.15,968323.64,80,281463.57,164357.11,136416.40,58,Taxation
089,HENRY,JUVENILE,98914.10,73129.38,74,33827.69,23745.29,19708.59,70,Taxation
089,HENRY,COMBINED,,,0,,,,0,
091,HIGHLAND,CIRCUIT,20751.69,23643.65,114,3965.90,3280.88,2723.13,83,Taxation
091,HIGHLAND,DISTRICT,,,0,,,,0,
091,HIGHLAND,JUVENILE,,,0,,,,0,
091,HIGHLAND,COMBINED,80982.55,76509.09,94,5700.13,3103.94,2576.27,54,Taxation
093,ISLE OF WIGHT,CIRCUIT,556375.94,396559.47,71,128139.80,77717.70,64505.69,61,Taxation
093,ISLE OF WIGHT,DISTRICT,1005597.12,893174.84,89,187363.42,142655.29,118403.89,76,Taxation
093,ISLE OF WIGHT,JUVENILE,45100.11,33866.53,75,14513.55,6479.52,5378.00,45,Taxation
093,ISLE OF WIGHT,COMBINED,,,0,,,,0,
095,JAMES CITY CO/WILLIAM,CIRCUIT,1363555.46,1015550.27,74,550602.11,147300.45,121637.39,27,Taxation/David Hudson
095,JAMES CITY CO/WILLIAM,DISTRICT,2104398.42,1815065.56,86,288977.01,227988.21,186469.59,79,Taxation/David Hudson
095,JAMES CITY CO/WILLIAM,JUVENILE,140638.97,112652.78,80,57750.26,32546.47,27013.57,56,Taxation
095,JAMES CITY CO/WILLIAM,COMBINED,,,0,,,,0,
097,KING & QUEEN,CIRCUIT,166632.98,132015.80,79,26403.20,14098.64,11701.87,53,Taxation
097,KING & QUEEN,DISTRICT,454635.81,411467.66,91,34664.47,46173.82,38324.27,133,Taxation
097,KING & QUEEN,JUVENILE,12718.70,9350.84,74,5040.76,3843.29,3189.93,76,Taxation
097,KING & QUEEN,COMBINED,,,0,,,,0,
099,KING GEORGE,CIRCUIT,917721.23,836524.71,91,53316.82,36697.52,30458.94,69,Taxation
099,KING GEORGE,DISTRICT,,,0,,,,0,
099,KING GEORGE,JUVENILE,,,0,,,,0,
099,KING GEORGE,COMBINED,923083.32,819466.92,89,119174.40,82321.11,68326.52,69,Taxation
101,KING WILLIAM,CIRCUIT,216807.68,197331.81,91,21363.79,16970.64,14085.63,79,Taxation
101,KING WILLIAM,DISTRICT,480491.44,438721.93,91,50301.79,64490.35,53526.99,128,
101,KING WILLIAM,JUVENILE,24954.56,19256.96,77,5754.44,5007.52,4156.24,87,
101,KING WILLIAM,COMBINED,,,0,,,,0,
103,LANCASTER,CIRCUIT,256667.85,171440.83,67,83072.66,52287.88,43398.94,63,Taxation
103,LANCASTER,DISTRICT,331428.55,298804.26,90,31337.26,34320.70,28486.18,110,Taxation
103,LANCASTER,JUVENILE,19854.31,15837.66,80,5687.08,1955.00,1622.65,34,Taxation
103,LANCASTER,COMBINED,,,0,,,,0,
105,LEE,CIRCUIT,426772.49,230532.38,54,450206.53,98355.23,81634.84,22,Taxation
105,LEE,DISTRICT,,,0,,,,0,
105,LEE,JUVENILE,,,0,,,,0,
105,LEE,COMBINED,521901.94,378746.67,73,152875.75,63909.00,53044.47,42,Taxation
107,LOUDOUN,CIRCUIT,3365112.61,3165166.78,94,113895.15,95939.05,79629.21,84,Taxation
107,LOUDOUN,DISTRICT,6574662.86,5972096.80,91,676424.44,438677.05,364101.95,65,Taxation
107,LOUDOUN,JUVENILE,128125.28,106837.14,83,20084.71,14801.82,12285.51,74,Taxation
107,LOUDOUN,COMBINED,,,0,,,,0,
109,LOUISA,CIRCUIT,438817.02,315224.78,72,74725.73,29654.17,24612.96,40,Taxation
109,LOUISA,DISTRICT,,,0,,,,0,
109,LOUISA,JUVENILE,,,0,,,,0,
109,LOUISA,COMBINED,1008013.96,845994.04,84,111818.94,110305.41,91553.49,99,Taxation
111,LUNENBURG,CIRCUIT,172148.88,120856.89,70,67915.15,49048.76,40710.47,72,Taxation
111,LUNENBURG,DISTRICT,,,0,,,,0,
111,LUNENBURG,JUVENILE,,,0,,,,0,
111,LUNENBURG,COMBINED,374358.91,317495.61,85,74648.60,55519.05,46080.81,74,Taxation
113,MADISON,CIRCUIT,427609.74,395264.90,92,17402.54,6632.52,5504.99,38,Taxation
113,MADISON,DISTRICT,,,0,,,,0,
113,MADISON,JUVENILE,,,0,,,,0,
113,MADISON,COMBINED,1042650.15,990739.92,95,68563.95,84555.94,70181.43,123,Taxation
115,MATHEWS,CIRCUIT,108963.84,74246.16,68,41440.04,12359.17,10258.11,30,Taxation
115,MATHEWS,DISTRICT,103133.05,72528.79,70,32068.19,18918.66,12389.69,59,Attorney-David Hudson
115,MATHEWS,JUVENILE,18312.60,11348.37,62,8724.30,3659.88,3037.70,42,Taxation
115,MATHEWS,COMBINED,,,0,,,,0,
117,MECKLENBURG,CIRCUIT,1113425.89,977479.22,88,177240.88,96788.47,80334.43,55,Taxation
117,MECKLENBURG,DISTRICT,2770397.79,2375243.09,86,492356.65,264273.88,219347.32,54,Taxation
117,MECKLENBURG,JUVENILE,47507.22,35631.35,75,15852.65,7248.11,6015.93,46,Taxation
117,MECKLENBURG,COMBINED,,,0,,,,0,
119,MIDDLESEX,CIRCUIT,144078.02,144495.68,100,40518.77,37117.52,30807.54,92,Taxation
119,MIDDLESEX,DISTRICT,418949.24,344836.27,82,70816.67,33722.48,22219.80,48,Attorney-David Hudson
119,MIDDLESEX,JUVENILE,17442.69,13706.93,79,7783.96,3906.82,3242.66,50,Taxation/David Hudson
119,MIDDLESEX,COMBINED,,,0,,,,0,
121,MONTGOMERY,CIRCUIT,1231806.99,598356.98,49,446029.72,183017.89,139283.70,41,E-Recovery Solutions
121,MONTGOMERY,DISTRICT,2769337.28,2384938.46,86,468020.70,282633.99,218781.25,60,E-Recovery Solutions
121,MONTGOMERY,JUVENILE,104725.85,66199.69,63,46028.29,17358.69,13362.22,38,E-Recovery Solutions
121,MONTGOMERY,COMBINED,,,0,,,,0,
125,NELSON,CIRCUIT,200855.67,100641.89,50,38071.20,20525.52,17036.18,54,Taxation
125,NELSON,DISTRICT,607594.65,536617.18,88,78193.23,49539.70,41117.95,63,Taxation
125,NELSON,JUVENILE,43257.04,35361.88,82,8329.16,7289.17,6050.01,88,Taxation
125,NELSON,COMBINED,,,0,,,,0,
127,NEW KENT,CIRCUIT,227800.60,168980.73,74,155609.07,48280.41,32207.11,31,Attorney-David Hudson
127,NEW KENT,DISTRICT,1393904.46,1046633.84,75,322972.88,201968.45,137144.10,63,Attorney-David Hudson
127,NEW KENT,JUVENILE,25670.10,17557.52,68,6227.00,4527.27,3033.98,73,Attorney-David Hudson
127,NEW KENT,COMBINED,,,0,,,,0,
131,NORTHAMPTON,CIRCUIT,161522.23,239269.19,148,83760.43,54088.70,44893.62,65,Taxation
131,NORTHAMPTON,DISTRICT,1551464.68,1143829.73,74,252181.55,219309.05,182026.51,87,Taxation
131,NORTHAMPTON,JUVENILE,34602.27,15053.46,44,6418.20,7732.35,6417.85,120,Taxation
131,NORTHAMPTON,COMBINED,,,0,,,,0,
133,NORTHUMBERLAND,CIRCUIT,199787.53,131287.49,66,64959.45,47107.82,39099.49,73,Taxation
133,NORTHUMBERLAND,DISTRICT,229706.82,193824.13,84,45237.97,33626.29,27909.82,74,Taxation
133,NORTHUMBERLAND,JUVENILE,18522.00,15428.53,83,4343.05,3218.41,2671.28,74,Taxation
133,NORTHUMBERLAND,COMBINED,,,0,,,,0,
135,NOTTOWAY,CIRCUIT,248562.05,199889.02,80,82689.88,41609.82,34536.15,50,Taxation
135,NOTTOWAY,DISTRICT,,,0,,,,0,
135,NOTTOWAY,JUVENILE,,,0,,,,0,
135,NOTTOWAY,COMBINED,635706.59,527755.88,83,121738.51,91159.70,75662.55,75,Taxation
137,ORANGE,CIRCUIT,425354.76,374655.32,88,75324.21,31616.47,26241.67,42,Taxation
137,ORANGE,DISTRICT,,,0,,,,0,
137,ORANGE,JUVENILE,,,0,,,,0,
137,ORANGE,COMBINED,917615.82,814859.97,89,82083.62,86269.94,71604.05,105,Taxation
139,PAGE,CIRCUIT,478519.38,382407.48,80,81955.48,47320.76,39276.23,58,Taxation
139,PAGE,DISTRICT,823332.60,757031.41,92,76456.51,57275.23,47538.44,75,Taxation
139,PAGE,JUVENILE,53273.29,47763.63,90,17474.50,12252.00,10169.16,70,
139,PAGE,COMBINED,,,0,,,,0,
141,PATRICK,CIRCUIT,252276.38,162889.82,65,73863.83,54144.64,44940.05,73,Taxation
141,PATRICK,DISTRICT,268295.61,214906.21,80,26223.47,28597.88,23736.24,109,Taxation
141,PATRICK,JUVENILE,26334.04,18027.46,68,11682.39,5341.41,4433.37,46,Taxation
141,PATRICK,COMBINED,,,0,,,,0,
143,PITTSYLVANIA,CIRCUIT,1239902.57,354519.31,29,373705.30,92797.64,77022.04,25,Taxation
143,PITTSYLVANIA,DISTRICT,1336090.66,1198342.19,90,187115.18,118074.94,98002.20,63,Taxation
143,PITTSYLVANIA,JUVENILE,78668.24,61569.00,78,18453.73,9212.47,7646.35,50,Taxation
143,PITTSYLVANIA,COMBINED,,,0,,,,0,
145,POWHATAN,CIRCUIT,172103.20,133264.35,77,58650.16,42847.76,35563.64,73,Taxation
145,POWHATAN,DISTRICT,,,0,,,,0,
145,POWHATAN,JUVENILE,,,0,,,,0,
145,POWHATAN,COMBINED,452461.42,427883.05,95,55797.37,42612.41,35368.30,76,Taxation
147,PRINCE EDWARD,CIRCUIT,706461.77,378405.86,54,299056.27,51261.58,42547.11,17,Taxation
147,PRINCE EDWARD,DISTRICT,,,0,,,,0,
147,PRINCE EDWARD,JUVENILE,,,0,,,,0,
147,PRINCE EDWARD,COMBINED,1211609.41,1000252.79,83,225020.14,129504.52,107488.75,58,Taxation
149,PRINCE GEORGE,CIRCUIT,613820.97,510740.88,83,104549.17,32591.11,27050.62,31,Taxation
149,PRINCE GEORGE,DISTRICT,,,0,,,,0,
149,PRINCE GEORGE,JUVENILE,,,0,,,,0,
149,PRINCE GEORGE,COMBINED,1928470.28,1637885.10,85,370167.62,211462.29,175513.70,57,Taxation
153,PRINCE WILLIAM/MANAS,CIRCUIT,6557292.37,4927357.28,75,956536.47,239424.71,160661.93,25,Atty-Wallace Covington
153,PRINCE WILLIAM/MANAS,DISTRICT,11532187.12,9776892.73,85,2350308.61,1189383.75,887054.60,51,Atty-Wallace Covington
153,PRINCE WILLIAM/MANAS,JUVENILE,559427.04,408078.26,73,205604.01,77603.90,57205.31,38,Atty-Wallace Covington
153,PRINCE WILLIAM/MANAS,COMBINED,,,0,,,,0,
155,PULASKI,CIRCUIT,1089276.56,343356.65,32,590883.79,118094.35,98018.31,20,Taxation
155,PULASKI,DISTRICT,1455511.97,1178880.64,81,193034.31,186498.47,154793.73,97,Taxation
155,PULASKI,JUVENILE,114812.96,69719.74,61,43268.65,24966.76,20722.41,58,Taxation
155,PULASKI,COMBINED,,,0,,,,0,
157,RAPPAHANNOCK,CIRCUIT,94151.55,91169.17,97,5396.09,17818.76,14789.57,330,Taxation
157,RAPPAHANNOCK,DISTRICT,,,0,,,,0,
157,RAPPAHANNOCK,JUVENILE,,,0,,,,0,
157,RAPPAHANNOCK,COMBINED,329245.50,322391.79,98,20375.12,26807.58,22250.29,132,Taxation
159,RICHMOND CO,CIRCUIT,135253.80,107670.15,80,21757.73,15147.94,12572.79,70,Taxation
159,RICHMOND CO,DISTRICT,,,0,,,,0,
159,RICHMOND CO,JUVENILE,,,0,,,,0,
159,RICHMOND CO,COMBINED,279254.50,255629.72,92,31835.57,23260.00,19305.80,73,Taxation
161,ROANOKE CO,CIRCUIT,1820156.55,1485142.48,82,186266.52,114987.51,95439.62,62,Taxation
161,ROANOKE CO,DISTRICT,2661081.03,2300184.34,86,359009.18,282073.29,234120.83,79,Taxation
161,ROANOKE CO,JUVENILE,142689.77,117787.80,83,39052.23,25961.64,21548.16,66,
161,ROANOKE CO,COMBINED,,,0,,,,0,
163,ROCKBRIDGE,CIRCUIT,403054.24,275136.01,68,140539.46,71321.05,59196.47,51,Taxation
163,ROCKBRIDGE,DISTRICT,,,0,,,,0,
163,ROCKBRIDGE,JUVENILE,,,0,,,,0,
163,ROCKBRIDGE,COMBINED,1573437.74,1430607.61,91,160690.35,122028.35,101283.53,76,Taxation
