Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Tappahannock PD,9,8,1,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1326,1165,161,478
Herndon PD,56,50,6,15
Vienna PD,39,34,5,9
FAUQUIER COUNTY,,,,
Sheriff's Office,95,87,8,17
Warrenton PD,20,16,4,3
FLOYD COUNTY,,,,
Sheriff's Office,17,15,2,10
FLUVANNA COUNTY,,,,
Sheriff's Office,21,17,4,10
FRANKLIN COUNTY,,,,
Sheriff's Office,73,64,9,17
Rocky Mount PD,17,17,0,1
FREDERICK COUNTY,,,,
Sheriff's Office,85,78,7,14
Middletown PD,2,2,0,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff's Office,20,20,0,10
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,0,0,0,0
Narrows PD,5,5,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,79,68,11,16
GOOCHLAND COUNTY,,,,
Sheriff's Office,25,22,3,8
GRAYSON COUNTY,,,,
Sheriff's Office,19,18,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff's Office,17,17,0,7
GREENSVILLE COUNTY,,,,
Sheriff's Office,21,18,3,9
HALIFAX COUNTY,,,,
Sheriff's Office,36,31,5,12
Halifax PD,5,5,0,0
South Boston,,,,
HANOVER COUNTY,,,,
Sheriff's Office,169,159,10,19
Ashland PD,21,20,1,3
HENRICO COUNTY,,,,
Henrico PD,541,482,59,225
HENRY COUNTY,,,,
Sheriff's Office,109,97,12,13
HIGHLAND COUNTY,,,,
Sheriff's Office,7,7,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,26,22,4,2
Smithfield PD,18,15,3,3
JAMES CITY COUNTY,,,,
James City PD,72,60,12,4
KING & QUEEN COUNTY,,,,
Sheriff's Office,9,8,1,7
KING GEORGE COUNTY,,,,
Sheriff's Office,25,22,3,13
KING WILLIAM COUNTY,,,,
Sheriff's Office,17,17,0,12
West Point,9,8,1,1
LANCASTER COUNTY,,,,
Sheriff's Office,26,18,8,6
Kilmarnock PD,4,3,1,0
LEE COUNTY,,,,
Sheriff's Office,47,39,8,0
Jonesville PD,2,2,0,1
Pennington Gap PD,5,5,0,1
LOUDOUN COUNTY,,,,
Sheriff's Office,323,286,37,60
Leesburg PD,58,53,5,12
Middleburg PD,4,4,0,0
Purcellville PD,9,9,0,1
LOUISA COUNTY,,,,
Sheriff's Office,32,29,3,12
Louisa PD,5,5,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,14,13,1,7
Kenbridge PD,8,8,0,0
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff's Office,10,10,0,6
MATHEWS COUNTY,,,,
Sheriff's Office,11,10,1,6
MECKLENBURG COUNTY,,,,
Sheriff's Office,41,39,2,2
Chase City PD,7,7,0,1
Clarksville PD,8,8,0,1
LaCrosse PD,3,3,0,0
South Hill PD,20,19,1,5
MIDDLESEX COUNTY,,,,
Sheriff's Office,12,10,2,6
MONTGOMERY COUNTY,,,,
Sheriff's Office,94,75,19,17
Blacksburg PD,53,50,3,15
Christiansburg PD,44,39,5,15
NELSON COUNTY,,,,
Sheriff's Office,14,14,0,6
NEW KENT COUNTY,,,,
Sheriff's Office,27,26,1,10
NORTHAMPTON CO.,,,,
Sheriff's Office,39,32,7,9
Cape Charles PD,5,5,0,0
Exmore PD,5,5,0,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,15,14,1,9
NOTTOWAY COUNTY,,,,
Sheriff's Office,13,12,1,7
Blackstone PD,11,11,0,5
Crewe PD,5,5,0,0
Burkeville PD,0,0,0,0
ORANGE COUNTY,,,,
Sheriff's Office,28,25,3,8
Orange PD,14,13,1,1
Gordonsville PD,5,5,0,0
PAGE COUNTY,,,,
Sheriff's Office,41,36,5,3
Luray PD,15,14,1,2
Shenandoah PD,4,4,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff's Office,30,25,5,12
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,66,60,6,56
Chatham PD,4,4,0,0
Gretna PD,4,4,0,0
Hurt PD,3,3,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,33,29,4,11
PRINCE EDWARD CO.,,,,
Sheriff's Office,25,19,6,0
Farmville PD,24,22,2,12
PRINCE GEORGE CO.,,,,
Prince George Co. PD,51,46,5,14
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,440,385,55,90
Quantico PD,2,2,0,1
Haymarket PD,4,4,0,1
Dumfries PD,10,7,3,2
Occoquan PD,1,1,0,0
PULASKI COUNTY,,,,
Sheriff's Office,42,38,4,10
Pulaski PD,25,22,3,9
Dublin PD,8,8,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,22,15,7,1
RICHMOND COUNTY,,,,
Sheriff's Office,8,8,0,6
Warsaw PD,3,2,1,0
ROANOKE COUNTY,,,,
Roanoke Co. PD,113,100,13,42
Vinton PD,20,16,4,8
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,23,23,0,7
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,49,42,7,107
Bridgewater PD,8,8,0,0
Broadway PD,4,4,0,0
Dayton PD,5,4,1,0
Elkton PD,6,6,0,1
Grottoes PD,5,4,1,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff's Office,41,36,5,8
Lebanon PD,12,12,0,1
Honaker PD,4,4,0,1
SCOTT COUNTY,,,,
Sheriff's Office,40,28,12,1
Gate City PD,3,3,0,0
Weber City PD,5,4,1,0
SHENANDOAH COUNTY,,,,
Sheriff's Office,55,46,9,9
Edinburg PD,3,3,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,14,14,0,1
Strasburg PD,12,12,0,2
New Market PD,7,0,7,
SMYTH COUNTY,,,,
Sheriff's Office,53,39,14,0
Marion PD,19,18,1,2
Saltville PD,7,7,0,1
Chilhowie PD,6,5,1,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,30,26,4,9
Courtland PD,1,1,0,2
Boykins PD,1,1,0,3
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,98,88,10,7
STAFFORD COUNTY,,,,
Sheriff's Office,123,111,12,39
SURRY COUNTY,,,,
Sheriff's Office,13,12,1,5
SUSSEX COUNTY,,,,
Sheriff's Office,37,24,13,4
Waverly PD,8,8,6,
TAZEWELL COUNTY,,,,
Sheriff's Office,76,60,16,11
Bluefield PD,14,12,2,4
Pocahontas PD,3,3,0,0
Richlands PD,14,13,1,5
Tazewell PD,10,10,0,1
Cedar Bluff PD,3,3,0,0
WARREN COUNTY,,,,
Sheriff's Office,61,56,5,1
Front Royal PD,34,30,4,10
WASHINGTON COUNTY,,,,
Sheriff's Office,74,60,14,12
Abingdon PD,21,19,2,2
Damascus PD,4,4,0,0
Glade Springs PD,5,5,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,21,19,2,9
Colonial Beach PD,8,8,0,5
WISE COUNTY,,,,
Sheriff's Office,71,59,12,14
Appalachia PD,5,4,1,0
Big Stone Gap PD,16,16,0,2
Coeburn PD,7,7,0,1
Pound PD,5,5,0,0
St. Paul PD,5,4,1,0
Wise PD,11,11,0,1
WYTHE COUNTY,,,,
Sheriff's Office,28,27,1,7
Wytheville PD,24,22,2,14
Rural Retreat PD,1,1,,
YORK COUNTY,,,,
Sheriff's Office,88,84,4,5
COUNTY TOTAL,8211,7259,952,2288
