Date,,Offense,Street,Subdivision,Zip,E.D.,Area
12/19/2002,DAMAGE,"PROPERTY, PRIVATE",BUCKINGHAM & DANDY LO O,71,23692,3,200
9/4/2002,DEAD ON ARRIVAL,,BUCKINGHAM DRIVE,71,23692,3,200
7/5/2002,DAMAGE,"PROPERTY, PRIVATE",BUCKINGHAM DRIVE,71,23692,3,200
7/30/2002,GRAND LARCENY,,BUCKTAIL ROAD,76,23692,3,200
8/31/2002,DEAD ON ARRIVAL,,BUCKTAIL ROAD,76,23692,3,200
3/2/2002,"LARCENY,FROM MOTOR VEHICLE",,BURNT BRIDGE RUN,15,23692,3,200
12/19/2002,CITIZEN REQUESTED ASSISTANCE,,BURNT RUN,15,23692,3,200
1/16/2002,BAD CHECKS,,BURTS ROAD,73,23692,3,200
4/23/2002,DEAD ON ARRIVAL,,BURTS ROAD,73,23692,3,200
10/17/2002,"MANUF, SALE, POSSESSION CONTRO",,BURTS ROAD,73,23692,3,200
2/22/2002,"LARCENY,FROM MOTOR VEHICLE",,CARLTON DRIVE,13,23692,4,100
3/11/2002,RUNAWAY JUVENILE,,CARLTON DRIVE,13,23692,4,100
3/13/2002,RUNAWAY JUVENILE,,CARLTON DRIVE,13,23692,4,100
3/14/2002,CITIZEN REQUESTED ASSISTANCE,,CARLTON DRIVE,13,23692,4,100
5/12/2002,"BURGLARY, RESIDENTIAL",,CARLTON DRIVE,13,23692,4,100
4/14/2002,RUNAWAY JUVENILE,,CARLTON DRIVE,13,23692,4,100
5/17/2002,CITIZEN REQUESTED ASSISTANCE,,CARLTON DRIVE,13,23692,4,100
1/1/2002,CITIZEN REQUESTED ASSISTANCE,,CAROL DRIVE,1,23692,3,200
9/19/2002,LOST PROPERTY,,CAROL DRIVE,1,23692,3,200
3/4/2002,CITIZEN REQUESTED ASSISTANCE,,CARRAWAY TERRACE,19,23692,4,100
3/28/2002,GRAND LARCENY,,CARRAWAY TERRACE,19,23692,4,100
5/25/2002,GRAND LARCENY,,CARRAWAY TERRACE,19,23692,4,100
10/17/2002,UNAUTHORIZED USE OF VEHICLE,,CARRAWAY TERRACE,19,23692,4,100
5/8/2002,GRAND LARCENY,,CASTELLOW COURT,160,23692,4,200
9/18/2002,PETIT LARCENY,,CHARLES ROAD,73,23692,4,100
5/25/2002,GRAND LARCENY,,CHARLESTON BATTERY,147,23692,,300
2/3/2002,POSSESION AND USE OF FIREWORKS,,CHESTNUT COURT,106,23692,4,100
3/10/2002,"ASSAULT, AGGRAVATED, DOMESTIC",,CHINABERRY WAY,69,23692,3,200
7/23/2002,CITIZEN REQUESTED ASSISTANCE,,CHINABERRY WAY,69,23692,3,200
2/17/2002,UNLAWFUL PURCHASE OR POSSESS A,,CHOISEY CRESCENT,239,23692,4,100
2/27/2002,DRIVING UNDER THE INFLUENCE OF,,CHOISEY CRESCENT,239,23692,4,100
2/27/2002,DRIVING UNDER THE INFLUENCE OF,,CHOISEY CRESCENT,239,23692,4,100
2/27/2002,"ASSAULT, SIMPLE, DOMESTIC",,CHOISEY CRESCENT,239,23692,4,100
3/10/2002,CITIZEN REQUESTED ASSISTANCE,,CHOISEY CRESCENT,239,23692,4,100
5/12/2002,PETIT LARCENY,,CHOISEY CRESCENT,239,23692,4,100
4/10/2002,CITIZEN REQUESTED ASSISTANCE,,CHOISEY CRESCENT,239,23692,4,100
9/8/2002,RUNAWAY JUVENILE,,CHOISEY CRESCENT,239,23692,4,100
3/22/2002,LOST PROPERTY,,CLAXTON CREEK ROAD,237,23692,3,200
4/5/2002,"ASSAULT, SIMPLE, DOMESTIC",,CLAXTON CREEK ROAD,237,23692,3,200
12/3/2002,OBSCENE/THREATENING PHONE CALL,,CLAXTON CREEK ROAD,237,23692,3,200
1/7/2002,GRAND LARCENY,,COCKLETOWN ROAD,55,23692,3,200
4/2/2002,CITIZEN REQUESTED ASSISTANCE,,COCKLETOWN ROAD,55,23692,3,200
7/8/2002,ARSON,,COCKLETOWN ROAD,55,23692,3,200
11/15/2002,"BURGLARY, RESIDENTIAL",,COCKLETOWN ROAD,55,23692,3,200
9/21/2002,"BURGLARY, RESIDENTIAL",,CRESTWOOD COURT,234,23692,3,200
9/10/2002,"ASSAULT, SIMPLE, DOMESTIC",,CRESTWOOD COURT,234,23692,3,200
8/22/2002,GRAND LARCENY,,CRESTWOOD COURT,234,23692,3,200
7/18/2002,CITIZEN REQUESTED ASSISTANCE,,CRESTWOOD COURT,234,23692,3,200
8/8/2002,"LARCENY,FROM MOTOR VEHICLE",,CRYSTAL LAKE DRIVE,160,23692,4,100
6/28/2002,GRAND LARCENY,,CYPRESS CROSSING,234,23692,3,200
8/22/2002,"LARCENY,FROM MOTOR VEHICLE",,CYPRESS CROSSING,234,23692,3,200
7/4/2002,CITIZEN REQUESTED ASSISTANCE,,CYPRESS CROSSING,234,23692,3,200
3/8/2002,GRAND LARCENY,,DANDY LOOP ROAD,43,23692,3,200
5/28/2002,"ASSAULT, SIMPLE",,DANDY LOOP ROAD,43,23692,3,200
6/10/2002,DAMAGE,"PROPERTY, PRIVATE",DANDY LOOP ROAD,43,23692,3,200
9/3/2002,PETIT LARCENY,,DANDY LOOP ROAD,43,23692,3,200
11/18/2002,OBSCENE/THREATENING PHONE CALL,,DANDY LOOP ROAD,43,23692,3,200
3/4/2002,GRAND LARCENY,,DAPHNE DRIVE,84,23692,4,100
3/17/2002,"ASSAULT, SIMPLE, DOMESTIC",,DAPHNE DRIVE,84,23692,4,100
5/9/2002,ANNOYING PHONE CALLS,,DAPHNE DRIVE,84,23692,4,100
9/27/2002,DAMAGE,"PROPERTY, PRIVATE",DAPHNE DRIVE,84,23692,4,100
1/15/2002,GRAND LARCENY,,DARE ROAD,73,23692,4,200
3/14/2002,ANNOYING PHONE CALLS,,DARE ROAD,73,23692,4,200
5/31/2002,CITIZEN REQUESTED ASSISTANCE,,DARE ROAD,73,23692,4,200
7/12/2002,DRIVING UNDER THE INFLUENCE OF,,DARE ROAD,73,23692,4,200
8/10/2002,"ASSAULT, SIMPLE",,DARE ROAD,73,23692,4,200
8/10/2002,GRAND LARCENY,,DARE ROAD,73,23692,4,200
7/9/2002,CITIZEN REQUESTED ASSISTANCE,,DARE ROAD,73,23692,4,200
8/18/2002,DEAD ON ARRIVAL,,DARE ROAD,73,23692,4,200
8/24/2002,DAMAGE,"PROPERTY, PRIVATE",DARE ROAD,73,23692,4,200
11/6/2002,DRUNK IN PUBLIC,,DARE ROAD,73,23692,4,200
11/5/2002,"BURGLARY, BUSINESS",,DARE ROAD,73,23692,4,200
12/17/2002,OVERDOSE,,DARE ROAD,73,23692,4,100
10/2/2002,CITIZEN REQUESTED ASSISTANCE,,DARE ROAD,73,23692,4,200
10/23/2002,TRESPASSING,,DARE ROAD,73,23692,4,200
11/5/2002,CITIZEN REQUESTED ASSISTANCE,,DARE ROAD,73,23692,4,200
11/5/2002,TRESPASSING,,DARE ROAD,73,23692,4,200
11/11/2002,CITIZEN REQUESTED ASSISTANCE,,DARE ROAD,73,23692,4,200
11/16/2002,DAMAGE,"PROPERTY, PRIVATE",DARE ROAD,73,23692,4,200
3/16/2002,DRIVING UNDER THE INFLUENCE OF,,DARE ROAD & CONSTITUTI O,73,23692,4,200
8/15/2002,GRAND LARCENY,,DAVIDS WAY,232,23692,3,200
12/19/2002,RECOVERED VEHICLE-STOLEN OTHER,,DAVIDS WAY,232,23692,3,200
10/19/2002,DAMAGE,"PROPERTY, PRIVATE",DAVIDS WAY,232,23692,3,200
12/27/2002,DAMAGE,"PROPERTY, PRIVATE",DECLARATION,75,23692,4,100
2/1/2002,CITIZEN REQUESTED ASSISTANCE,,DECLARATION DRIVE,75,23692,4,100
2/24/2002,CITIZEN REQUESTED ASSISTANCE,,DECLARATION DRIVE,75,23692,4,100
3/20/2002,CITIZEN REQUESTED ASSISTANCE,,DECLARATION DRIVE,75,23692,4,100
3/22/2002,ARSON,,DECLARATION DRIVE,75,23692,4,100
4/2/2002,"LARCENY,FROM MOTOR VEHICLE",,DECLARATION DRIVE,75,23692,4,100
5/15/2002,MOTOR VEHICLE THEFT,,DECLARATION DRIVE,75,23692,4,100
4/26/2002,CITIZEN REQUESTED ASSISTANCE,,DECLARATION DRIVE,75,23692,4,100
4/26/2002,CITIZEN REQUESTED ASSISTANCE,,DECLARATION DRIVE,75,23692,4,100
5/5/2002,ATTEMPTED SUICIDE,,DECLARATION DRIVE,75,23692,4,100
9/10/2002,ANNOYING PHONE CALLS,,DECLARATION DRIVE,75,23692,4,100
2/7/2002,DAMAGE,"PROPERTY, PRIVATE",DENBIGH BLVD,73,23692,2/3/2015,200
2/15/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
2/19/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
2/25/2002,"ASSAULT, AGGRAVATED",,DENBIGH BLVD,73,23692,2/3/2015,200
2/26/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
2/28/2002,"MANUF, SALE, POSS CONTROL SUBS",,DENBIGH BLVD,73,23692,2/3/2015,200
3/4/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
3/4/2002,"MANUF, SALE, POSS CONTROL SUBS",,DENBIGH BLVD,73,23692,2/3/2015,200
3/5/2002,"MANUF, SALE, POSS CONTROL SUBS",,DENBIGH BLVD,73,23692,2/3/2015,200
3/6/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
3/13/2002,"MANUF, SALE, POSS CONTROL SUBS",,DENBIGH BLVD,73,23692,2/3/2015,200
6/16/2002,DRIVING UNDER THE INFLUENCE OF,,DENBIGH BLVD,73,23692,2/3/2015,200
4/24/2002,"MANUF, SALE, POSS CONTROL SUBS",,DENBIGH BLVD,73,23692,2/3/2015,200
4/24/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
4/24/2002,POSSESSION OF MARIJUANA,,DENBIGH BLVD,73,23692,2/3/2015,200
5/14/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
5/14/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
6/4/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
4/16/2002,CITIZEN REQUESTED ASSISTANCE,,DENBIGH BLVD,73,23692,2/3/2015,200
6/10/2002,DAMAGE,"PROPERTY, PRIVATE",DENBIGH BLVD,73,23692,2/3/2015,200
7/24/2002,"LARCENY, SHOPLIFTING",,DENBIGH BLVD,73,23692,2/3/2015,200
7/30/2002,GRAND LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
8/31/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
9/5/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
9/5/2002,DAMAGE,"PROPERTY, PRIVATE",DENBIGH BLVD,73,23692,2/3/2015,200
8/5/2002,BRANDISHING FIREARM,,DENBIGH BLVD,73,23692,2/3/2015,200
11/10/2002,DRIVING UNDER THE INFLUENCE OF,,DENBIGH BLVD,73,23692,2/3/2015,200
11/13/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
10/3/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
10/15/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
10/19/2002,PETIT LARCENY,,DENBIGH BLVD,73,23692,2/3/2015,200
10/15/2002,DAMAGE,"PROPERTY, PRIVATE",DENBIGH BLVD,73,23692,2/3/2015,200
3/22/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
3/22/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
4/4/2002,"MANUF, SALE, POSSESSION CONTRO",,DENBIGH BLVD,73,23692,2/3/2015,200
10/31/2002,DAMAGE,"PROPERTY, PRIVATE",DENBIGH BLVD & GEORGE W,73,23692,2/3/2015,200
10/21/2002,INDECENT EXPOSURE,,DENBIGH BLVD & GEORGE W,73,23692,2/3/2015,200
8/18/2002,"ASSAULT, SIMPLE, DOMESTIC",,DOROTHY DRIVE,282,23692,3,200
11/24/2002,GRAND LARCENY,,DUFF DRIVE,12,23692,4,100
7/11/2002,RUNAWAY JUVENILE,,E WOODLAND,47,23692,4,100
6/23/2002,"LARCENY,FROM MOTOR VEHICLE",,E. WOODLAND DRIVE,47,23692,4,100
6/13/2002,"ASSAULT, SIMPLE",,EDGEHILL LANE,55,23692,3,200
6/24/2002,DAMAGE,"PROPERTY, PRIVATE",EDGEHILL LANE,55,23692,3,200
9/29/2002,DEAD ON ARRIVAL,,EDGEWOOD COURT,106,23692,4,100
5/13/2002,"ASSAULT, SIMPLE, DOMESTIC",,ELLA TAYLOR ROAD,85,23692,4,100
9/18/2002,CITIZEN REQUESTED ASSISTANCE,,FALLING SPRINGS & GREYS,76,23692,3,200
9/25/2002,ANNOYING PHONE CALLS,,FARMESTEAD PLACE,234,23692,3,200
10/4/2002,PETIT LARCENY,,FARMESTEAD PLACE,234,23692,3,200
9/2/2002,"LARCENY,FROM MOTOR VEHICLE",,FERNWOOD BEND,69,23692,3,200
12/30/2002,DAMAGE,PROPERTY,FERNWOOD BEND,69,23692,3,200
3/11/2002,DAMAGE,"PROPERTY, PRIVATE",FIELDING LEWIS DRIVE,12,23692,4,100
6/16/2002,GRAND LARCENY,,FIELDING LEWIS DRIVE,12,23692,4,100
9/2/2002,"LARCENY,FROM MOTOR VEHICLE",,FIELDING LEWIS DRIVE,12,23692,4,100
9/2/2002,"LARCENY,FROM MOTOR VEHICLE",,FIELDING LEWIS DRIVE,12,23692,4,100
12/1/2002,DAMAGE,"PROPERTY, PRIVATE",FIELDING LEWIS DRIVE,12,23692,4,100
3/13/2002,DAMAGE,"PROPERTY, PRIVATE",FISHER COURT,271,23692,3,200
2/11/2002,CITIZEN REQUESTED ASSISTANCE,,FISHNECK LANDING ROAD,187,23692,4,200
4/17/2002,"BURGLARY, RESIDENTIAL",,FISHNECK LANDING ROAD,187,23692,4,200
1/15/2002,DRIVING UNDER THE INFLUENCE OF,,FORT EUSTIS & RICHNECK R,51,23692,3,200
1/16/2002,DRIVING UNDER THE INFLUENCE OF,,FORT EUSTIS & RICHNECK R,51,23692,3,200
6/7/2002,DRIVING UNDER THE INFLUENCE OF,,FORT EUSTIS & RICHNECK R,51,23692,3,200
2/12/2002,"MANUF, SALE, POSSESSION CONTRO",,FT EUSITIS BLVD,51,23692,3,200
6/19/2002,"MANUF, SALE, POSS CONTROL SUBS",,FT EUSITIS BLVD,51,23692,3,200
6/27/2002,"MANUF, SALE, POSS CONTROL SUBS",,FT EUSITIS BLVD,51,23692,3,200
7/3/2002,"MANUF, SALE, POSS CONTROL SUBS",,FT EUSITIS BLVD,51,23692,3,200
2/22/2002,"DRUGS, POSSESS COCAINE",,FT EUSTIS BLVD,51,23692,3,200
11/10/2002,DRIVING UNDER THE INFLUENCE OF,,FT EUSTIS BLVD,51,23692,3,200
3/25/2002,DRIVING UNDER THE INFLUENCE OF,,FT EUSTIS BLVD & ELMHUR,51,23692,3,200
6/20/2002,"MANUF, SALE, POSSESSION CONTRO",,FT. EUSTIS BLVD,51,23692,3,200
9/1/2002,DRIVING W/SUSPENDED OR REVOKED,,FT. EUSTIS BLVD & GEORGE,51,23692,3,200
3/9/2002,CITIZEN REQUESTED ASSISTANCE,,GEORGE WASH MEMORIAL,228,23692,,300
11/19/2002,"BURGLARY, BUSINESS",,GEORGE WASH MEMORIAL,,23692,,300
2/16/2002,ABDUCTION & KIDNAPPING,,GOODWIN NECK & GEORGE,179,23692,3,200
8/4/2002,UNLAWFUL PURCHASE OR POSSESS A,,GOODWIN NECK & SEAFORD,179,23692,3,200
10/29/2002,OFFICER REPORT,,GOODWIN NECK RD & RT.17,179,23692,3,200
1/1/2002,"ASSAULT, SIMPLE, DOMESTIC",,GOODWIN NECK ROAD,179,23692,3,200
2/4/2002,FRAUD-USE FALSE NAME,,GOODWIN NECK ROAD,179,23692,3,200
2/17/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
3/7/2002,PETIT LARCENY,,GOODWIN NECK ROAD,179,23692,3,200
3/25/2002,"FRAUD, ALL OTHERS",,GOODWIN NECK ROAD,179,23692,3,200
7/18/2002,FALSELY SUMMONS OR FALSE REPOR,,GOODWIN NECK ROAD,179,23692,3,200
7/22/2002,LOST PROPERTY,,GOODWIN NECK ROAD,179,23692,3,200
7/27/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
8/9/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
9/4/2002,CURSING/OBSCENE LANGUAGE,,GOODWIN NECK ROAD,179,23692,3,200
9/5/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
12/28/2002,"BURGLARY, RESIDENTIAL",,GOODWIN NECK ROAD,179,23692,3,200
10/25/2002,"MANUF, SALE, POSSESSION CONTRO",,GOODWIN NECK ROAD,179,23692,3,200
10/22/2002,CURSING/OBSCENE LANGUAGE,,GOODWIN NECK ROAD,179,23692,3,200
11/8/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
11/26/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
11/30/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
12/10/2002,CITIZEN REQUESTED ASSISTANCE,,GOODWIN NECK ROAD,179,23692,3,200
10/2/2002,DAMAGE,"PROPERTY, PRIVATE",GOODWIN NECK ROAD,179,23692,3,200
12/16/2002,DAMAGE,"PROPERTY, PRIVATE",GOODWIN NECK ROAD,179,23692,3,200
12/28/2002,DAMAGE,"PROPERTY, BUSINESS",GOODWIN NECK ROAD,179,23692,3,200
12/17/2002,DRIVING UNDER THE INFLUENCE OF,,GOODWIN NECK ROAD & B A,179,23692,3,100
3/6/2002,GRAND LARCENY,,GOODWIN NECK ROAD & D A,179,23692,3,200
2/15/2002,POSSESSION OF MARIJUANA,,GOODWIN NECK ROAD & GE,179,23692,3,200
2/17/2002,CARRYING CONCEALED WEAPON -1ST,,GOODWIN NECK ROAD & S E,179,23692,3,200
2/28/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DISTRICT ROAD,55,23692,3,200
5/13/2002,GRAND LARCENY,,GRAFTON DISTRICT ROAD,55,23692,3,200
7/24/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DISTRICT ROAD,55,23692,3,200
8/24/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DISTRICT ROAD,55,23692,3,200
1/9/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,73,23692,3,200
1/10/2002,TOBACCO PRODUCTS - POSSESSION,,GRAFTON DRIVE,310,23692,3,200
1/15/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
1/15/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
1/19/2002,THREATEN BODILY HARM,,GRAFTON DRIVE,310,23692,3,200
1/30/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DRIVE,310,23692,3,200
2/5/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
2/6/2002,BURNING OR DESTROYING PERSONAL,,GRAFTON DRIVE,310,23692,3,200
2/11/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
2/11/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
2/15/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
2/15/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
2/21/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DRIVE,310,23692,3,200
2/22/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
2/25/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
3/11/2002,CURSING/OBSCENE LANGUAGE,,GRAFTON DRIVE,310,23692,3,200
3/20/2002,GRAND LARCENY,,GRAFTON DRIVE,310,23692,3,200
3/27/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
3/29/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
4/23/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,73,23692,3,200
5/2/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
5/24/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
6/14/2002,DRIVING UNDER THE INFLUENCE OF,,GRAFTON DRIVE,310,23692,3,200
5/15/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
4/10/2002,"LARCENY,FROM MOTOR VEHICLE",,GRAFTON DRIVE,310,23692,3,200
4/26/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
4/26/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
5/6/2002,GRAND LARCENY,,GRAFTON DRIVE,310,23692,3,200
5/13/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
5/21/2002,PETIT LARCENY,,GRAFTON DRIVE,310,23692,3,200
5/23/2002,TOBACCO PRODUCTS - POSSESSION,,GRAFTON DRIVE,310,23692,3,200
4/11/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
6/3/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
6/12/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
9/25/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
7/8/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DRIVE,310,23692,3,200
9/10/2002,CITIZEN REQUESTED ASSISTANCE,,GRAFTON DRIVE,310,23692,3,200
9/4/2002,DAMAGE,"PROPERTY, PRIVATE",GRAFTON DRIVE,310,23692,3,200
10/11/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
10/25/2002,DISORDERLY CONDUCT,,GRAFTON DRIVE,310,23692,3,200
10/1/2002,"ASSAULT, SIMPLE",,GRAFTON DRIVE,310,23692,3,200
