Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
ESSEX COUNTY,,,,
Sheriff’s Office,20,13,7,0
Tappahannock PD,11,10,1,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1454,1257,197,279
Herndon PD,56,52,4,16
Vienna PD,41,36,5,9
FAUQUIER COUNTY,,,,
Sheriff’s Office,104,95,9,16
Warrenton PD,19,17,2,3
FLOYD COUNTY,,,,
Sheriff’s Office,17,15,2,10
FLUVANNA COUNTY,,,,
Sheriff’s Office,25,21,4,13
FRANKLIN COUNTY,,,,
Sheriff’s Office,76,68,8,19
Rocky Mount PD,16,16,0,2
FREDERICK COUNTY,,,,
Sheriff’s Office,106,94,12,12
Middletown PD,2,1,1,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff’s Office,22,21,1,11
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,1
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff’s Office,95,82,13,22
GOOCHLAND COUNTY,,,,
Sheriff’s Office,27,24,3,7
GRAYSON COUNTY,,,,
Sheriff’s Office,18,17,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff’s Office,23,23,0,8
GREENSVILLE COUNTY,,,,
Sheriff’s Office,24,21,3,10
HALIFAX COUNTY,,,,
Sheriff’s Office,35,30,5,8
Halifax PD,5,5,0,0
South Boston PD,27,24,3,2
HANOVER COUNTY,,,,
Sheriff’s Office,201,190,11,18
Ashland PD,21,19,2,4
HENRICO COUNTY,,,,
Henrico PD,551,504,47,186
HENRY COUNTY,,,,
Sheriff’s Office,109,97,12,14
HIGHLAND COUNTY,,,,
Sheriff’s Office,6,6,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff’s Office,38,32,6,7
Smithfield PD,22,19,3,4
JAMES CITY COUNTY,,,,
James City PD,92,76,16,5
KING & QUEEN COUNTY,,,,
Sheriff’s Office,10,10,0,7
KING GEORGE COUNTY,,,,
Sheriff’s Office,30,26,4,15
KING WILLIAM COUNTY,,,,
Sheriff’s Office,22,20,2,12
West Point PD,8,7,1,1
LANCASTER COUNTY,,,,
Sheriff’s Office,27,20,7,5
Kilmarnock PD,6,5,1,0
White Stone PD,0,0,0,0
LEE COUNTY,,,,
Sheriff’s Office,36,29,7,0
Jonesville PD,4,4,0,0
Pennington Gap PD,6,6,0,0
LOUDOUN COUNTY,,,,
Sheriff’s Office,448,390,58,93
Leesburg PD,65,57,8,18
Middleburg PD,4,4,0,0
Purcellville PD,13,11,2,1
LOUISA COUNTY,,,,
Sheriff’s Office,45,42,3,13
Louisa PD,5,5,0,0
LUNENBURG COUNTY,,,,
Sheriff’s Office,14,13,1,7
Kenbridge PD,8,8,0,0
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff’s Office,17,17,0,11
MATHEWS COUNTY,,,,
Sheriff’s Office,12,10,2,7
MECKLENBURG COUNTY,,,,
Sheriff’s Office,48,45,3,2
Chase City PD,9,9,0,2
Clarksville PD,8,8,0,1
LaCrosse PD,4,4,0,0
South Hill PD,20,19,1,2
MIDDLESEX COUNTY,,,,
Sheriff’s Office,15,13,2,6
MONTGOMERY COUNTY,,,,
Sheriff’s Office,108,86,22,15
Blacksburg PD,59,54,5,15
Christiansburg PD,49,47,2,16
NELSON COUNTY,,,,
Sheriff’s Office,16,16,0 4,
NEW KENT COUNTY,,,,
Sheriff’s Office,28,25,3,11
NORTHAMPTON CO.,,,,
Sheriff’s Office,66,55,11,15
Cape Charles PD,5,5,0,0
Exmore PD,7,5,2,0
NORTHUMBERLAND CO.,,,,
Sheriff’s Office,16,15,1,11
NOTTOWAY COUNTY,,,,
Sheriff’s Office,14,12,2,9
Blackstone PD,12,11,1,5
Crewe PD,5,4,1,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff’s Office,34,29,5,10
Orange PD,15,14,1,3
Gordonsville PD,6,6,0,0
PAGE COUNTY,,,,
Sheriff’s Office,47,40,7,6
Luray PD,11,11,0,3
Shenandoah PD,5,5,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff’s Office,34,29,5,14
PITTSYLVANIA COUNTY,,,,
Sheriff’s Office,69,64,5,58
Chatham PD,4,4,0,0
Gretna PD,4,4,0,0
Hurt PD,2,2,0,0
POWHATAN COUNTY,,,,
Sheriff’s Office,34,33,1,16
PRINCE EDWARD CO.,,,,
Sheriff’s Office,28,19,9,0
Farmville PD,27,24,3,1
PRINCE GEORGE CO.,,,,
Prince George Co. PD,54,50,4,16
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,512,449,63,120
Quantico PD,2,2,0,1
Haymarket PD,5,5,0,1
Dumfries PD,13,10,3,2
Occoquan PD,2,1,1,0
PULASKI COUNTY,,,,
Sheriff’s Office,42,38,4,10
Pulaski PD,24,22,2,9
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff’s Office,23,14,9,0
RICHMOND COUNTY,,,,
Sheriff’s Office,12,12,0,8
Warsaw PD,3,2,1,0
ROANOKE COUNTY,,,,
Roanoke Co. PD,137,121,16,12
Vinton PD,25,20,5,10
ROCKBRIDGE COUNTY,,,,
Sheriff’s Office,28,26,2,8
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff’s Office,55,46,9,111
Bridgewater PD,9,7,2,0
Broadway PD,4,4,0,0
Dayton PD,8,8,0,1
Elkton PD,6,6,0,1
Grottoes PD,5,5,0,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff’s Office,33,29,4,18
Lebanon PD,11,11,0,1
Honaker PD,3,3,0,2
SCOTT COUNTY,,,,
Sheriff’s Office,24,22,2,9
Gate City PD,6,6,0,0
Weber City PD,4,3,1,0
SHENANDOAH COUNTY,,,,
Sheriff’s Office,65,53,12,9
Edinburg PD,2,2,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,16,16,0,1
Strasburg PD,20,19,1,2
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff’s Office,46,35,11,0
Marion PD,16,15,1,2
Saltville PD,6,6,0,1
Chilhowie PD,6,6,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff’s Office,66,56,10,10
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff’s Office,142,128,14,37
STAFFORD COUNTY,,,,
Sheriff’s Office,137,123,14,65
SURRY COUNTY,,,,
Sheriff’s Office,13,12,1,9
SUSSEX COUNTY,,,,
Sheriff’s Office,40,28,12,5
Waverly PD,7,7,0,5
TAZEWELL COUNTY,,,,
Sheriff’s Office,47,44,3,7
Bluefield PD,16,15,1,5
Pocahontas PD,1,1,0,0
Richlands PD,19,18,1,6
Tazewell PD,11,10,1,2
Cedar Bluff PD,3,2,1,0
WARREN COUNTY,,,,
Sheriff’s Office,41,31,10,48
Front Royal PD,37,34,3,11
WASHINGTON COUNTY,,,,
Sheriff’s Office,52,48,4,18
Abingdon PD,23,22,1,2
Damascus PD,5,5,0,0
Glade Springs PD,2,2,0,0
WESTMORELAND CO.,,,,
Sheriff’s Office,21,20,1,9
Colonial Beach PD,12,12,0,5
WISE COUNTY,,,,
Sheriff’s Office,60,47,13,3
Appalachia PD,6,6,0,0
Big Stone Gap PD,18,18,0,2
Coeburn PD,7,6,1,1
Pound PD,4,4,0,0
St. Paul PD,4,4,0,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff’s Office,39,36,3,7
Wytheville PD,28,24,4,12
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff’s Office,98,87,11,7
COUNTY TOTAL,9074,7998,1076,2199
