Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Tappahannock PD,9,8,1,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1325,1163,162,455
Herndon PD,52,46,6,13
Vienna PD,42,37,5,8
FAUQUIER COUNTY,,,,
Sheriff's Office,89,81,8,16
Warrenton PD,20,18,2,2
FLOYD COUNTY,,,,
Sheriff's Office,17,15,2,9
FLUVANNA COUNTY,,,,
Sheriff's Office,21,19,2,10
FRANKLIN COUNTY,,,,
Sheriff's Office,71,63,8,19
Rocky Mount PD,17,17,0,2
FREDERICK COUNTY,,,,
Sheriff's Office,88,83,5,9
Middletown PD,2,2,0,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff's Office,22,22,0,11
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,83,72,11,17
GOOCHLAND COUNTY,,,,
Sheriff's Office,25,21,4,7
GRAYSON COUNTY,,,,
Sheriff's Office,19,18,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff's Office,18,18,0,7
GREENSVILLE COUNTY,,,,
Sheriff's Office,21,18,3,9
HALIFAX COUNTY,,,,
Sheriff's Office,35,30,5,8
Halifax PD,5,5,0,0
South Boston,27,25,2,2
HANOVER COUNTY,,,,
Sheriff's Office,184,173,11,17
Ashland PD,21,20,1,3
HENRICO COUNTY,,,,
Henrico PD,518,470,48,197
HENRY COUNTY,,,,
Sheriff's Office,110,101,9,12
HIGHLAND COUNTY,,,,
Sheriff's Office,7,7,0,6
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,32,29,3,6
Smithfield PD,20,17,3,5
JAMES CITY COUNTY,,,,
James City PD,72,61,11,4
KING & QUEEN COUNTY,,,,
Sheriff's Office,10,9,1,6
KING GEORGE COUNTY,,,,
Sheriff's Office,28,24,4,11
KING WILLIAM COUNTY,,,,
Sheriff's Office,17,17,0,12
West Point,9,8,1,1
LANCASTER COUNTY,,,,
Sheriff's Office,27,20,7,5
Kilmarnock PD,4,3,1,0
LEE COUNTY,,,,
Sheriff's Office,48,39,9,0
Jonesville PD,2,1,1,0
Pennington Gap PD,0,0,0,0
LOUDOUN COUNTY,,,,
Sheriff's Office,341,298,43,76
Leesburg PD,56,52,4,14
Middleburg PD,4,4,0,0
Purcellville PD,9,9,0,1
LOUISA COUNTY,,,,
Sheriff's Office,33,32,1,11
Louisa PD,4,4,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,14,13,1,7
Kenbridge PD,8,8,0,0
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff's Office,15,15,0,6
MATHEWS COUNTY,,,,
Sheriff's Office,12,10,2,7
MECKLENBURG COUNTY,,,,
Sheriff's Office,43,41,2,2
Chase City PD,10,10,0,1
Clarksville PD,8,8,0,1
LaCrosse PD,2,2,0,0
South Hill PD,20,19,1,5
MIDDLESEX COUNTY,,,,
Sheriff's Office,14,12,2,6
MONTGOMERY COUNTY,,,,
Sheriff's Office,102,82,20,14
Blacksburg PD,59,55,4,15
Christiansburg PD,45,42,3,13
NELSON COUNTY,,,,
Sheriff's Office,16,16,0,5
NEW KENT COUNTY,,,,
Sheriff's Office,26,25,1,10
NORTHAMPTON CO.,,,,
Sheriff's Office,43,34,9,9
Cape Charles PD,5,5,0,0
Exmore PD,5,5,0,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,15,14,1,11
NOTTOWAY COUNTY,,,,
Sheriff's Office,14,13,1,8
Blackstone PD,12,12,0,5
Crewe PD,3,3,0,0
Burkeville PD,0,0,0,0
ORANGE COUNTY,,,,
Sheriff's Office,28,25,3,8
Orange PD,12,11,1,3
Gordonsville PD,5,5,0,0
PAGE COUNTY,,,,
Sheriff's Office,47,40,7,9
Luray PD,14,14,0,2
Shenandoah PD,4,4,0,0
Stanley PD,4,4,0,0
PATRICK COUNTY,,,,
Sheriff's Office,30,25,5,14
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,66,60,6,56
Chatham PD,4,4,0,0
Gretna PD,4,4,0,0
Hurt PD,3,3,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,33,31,2,14
PRINCE EDWARD CO.,,,,
Sheriff's Office,15,15,0,11
Farmville PD,23,22,1,12
PRINCE GEORGE CO.,,,,
Prince George Co. PD,51,45,6,13
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,451,395,56,112
Quantico PD,2,2,0,1
Haymarket PD,5,5,0,1
Dumfries PD,15,11,4,2
Occoquan PD,1,1,0,0
PULASKI COUNTY,,,,
Sheriff's Office,41,37,4,10
Pulaski PD,27,23,4,8
Dublin PD,8,8,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,22,14,8,1
RICHMOND COUNTY,,,,
Sheriff's Office,11,11,0,8
Warsaw PD,3,2,1,1
ROANOKE COUNTY,,,,
Roanoke Co. PD,116,103,13,43
Vinton PD,20,16,4,9
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,23,23,0,8
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,52,45,7,106
Bridgewater PD,8,8,0,0
Broadway PD,4,4,0,0
Dayton PD,5,4,1,0
Elkton PD,7,7,0,1
Grottoes PD,5,4,1,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff's Office,37,32,5,16
Lebanon PD,12,11,1,1
Honaker PD,4,4,0,1
SCOTT COUNTY,,,,
Sheriff's Office,40,28,12,1
Gate City PD,4,4,0,0
Weber City PD,5,4,1,0
SHENANDOAH COUNTY,,,,
Sheriff's Office,58,49,9,8
Edinburg PD,1,1,0,1
Mt. Jackson PD,4,4,0,0
Woodstock PD,13,13,0,1
Strasburg PD,15,15,0,2
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff's Office,53,40,13,0
Marion PD,19,18,1,2
Saltville PD,7,7,0,1
Chilhowie PD,5,5,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,62,54,8,13
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,112,100,12,35
STAFFORD COUNTY,,,,
Sheriff's Office,114,106,8,47
SURRY COUNTY,,,,
Sheriff's Office,12,11,1,9
SUSSEX COUNTY,,,,
Sheriff's Office,37,25,12,5
Waverly PD,9,8,1,6
TAZEWELL COUNTY,,,,
Sheriff's Office,82,66,16,11
Bluefield PD,14,12,2,4
Pocahontas PD,1,1,0,0
Richlands PD,15,13,2,5
Tazewell PD,12,12,0,1
Cedar Bluff PD,3,3,0,0
WARREN COUNTY,,,,
Sheriff's Office,76,62,14,11
Front Royal PD,36,33,3,7
WASHINGTON COUNTY,,,,
Sheriff's Office,78,63,15,16
Abingdon PD,21,19,2,2
Damascus PD,4,4,0,0
Glade Springs PD,5,5,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,22,21,1,9
Colonial Beach PD,8,8,0,5
WISE COUNTY,,,,
Sheriff's Office,81,62,19,7
Appalachia PD,6,6,0,0
Big Stone Gap PD,15,15,0,2
Coeburn PD,7,7,0,1
Pound PD,4,4,0,0
St. Paul PD,4,4,0,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff's Office,28,27,1,7
Wytheville PD,24,22,2,14
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office,89,83,6,5
COUNTY TOTAL,8422,7458,964,2291
