Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,27,12,4,0,29,1,0,0,12,1,106,25,8,8,2,3,6,0,7,7,0,0,8,0,2,0,13,0,8,1,114,40,15,3,24,1,2,1,33,2,5,0,0,0,10,5,137,90,70,54,2,2,55,40,0,0,61,18,12,0,139,28,79,51,48,8,4,3,26,4,162,92,14,7,3,0,10,1,1257,508
Larceny,357,113,13,10,133,16,5,2,100,20,702,43,280,179,21,16,204,1,47,29,1,0,34,0,32,6,234,29,60,11,586,225,123,7,52,1,13,1,411,80,62,0,3,0,117,11,526,307,801,138,74,8,223,34,12,6,307,19,42,0,541,83,589,177,90,14,42,37,172,6,963,461,183,24,34,6,214,124,8403,2244
Motor Vehicle Theft,13,11,1,0,5,0,0,0,1,0,32,9,4,2,1,0,7,0,5,0,0,0,0,0,2,2,1,0,3,0,28,20,4,0,0,0,1,2,0,0,5,1,0,0,4,0,47,53,15,14,2,0,12,5,1,0,13,0,7,1,105,28,67,23,18,6,0,0,0,0,72,26,11,4,6,1,0,0,493,208
Counterfeiting/Forgery,21,0,11,0,30,0,1,0,11,1,62,0,17,0,0,0,9,0,8,0,0,0,6,0,15,0,12,0,10,0,61,2,18,0,2,0,0,0,30,0,8,0,0,0,24,4,70,6,63,0,3,0,50,3,2,0,29,0,3,0,52,1,73,0,58,1,6,1,14,1,99,5,49,3,4,0,14,0,945,28
Fraud,53,5,20,0,17,0,1,0,22,1,107,1,25,0,3,0,30,0,9,0,0,0,12,0,3,0,15,0,12,0,73,3,52,1,6,1,2,0,64,1,29,0,2,0,15,0,93,3,201,2,1,0,23,1,6,0,56,0,16,0,151,4,97,1,37,1,3,1,39,0,157,2,21,1,15,1,28,0,1516,30
Embezzlement,48,8,1,0,13,0,1,0,4,0,52,1,31,1,0,0,8,0,5,0,0,0,0,0,4,0,29,3,0,0,53,1,13,0,2,0,2,0,14,1,8,0,1,0,7,1,46,6,46,1,1,0,35,0,1,0,13,1,3,0,17,0,56,0,6,1,2,0,9,0,110,4,11,0,7,0,19,3,678,32
Stolen Property,13,3,0,0,3,0,0,0,7,0,57,5,6,1,0,0,2,0,1,0,0,0,0,0,1,0,10,0,2,0,31,13,6,0,9,0,0,0,12,1,1,0,0,0,1,0,38,11,87,7,0,0,33,16,0,0,37,0,3,0,29,1,3,0,1,0,1,0,12,2,32,12,4,0,0,0,8,7,450,79
Vandalism,25,17,13,3,20,1,1,1,35,3,8,2,15,34,1,1,38,0,4,2,0,0,5,0,17,0,27,0,2,4,42,17,29,7,27,0,4,0,44,4,5,1,3,1,30,16,129,122,77,14,7,0,63,22,1,15,77,2,17,0,129,37,80,28,13,11,6,12,38,0,181,133,49,10,10,0,13,17,1285,537
Drug/Narcotic Offenses,217,33,123,8,129,3,0,0,141,22,1279,100,156,28,12,2,173,1,44,0,0,0,32,4,57,1,383,13,76,5,854,83,267,13,138,2,15,1,583,46,163,0,22,4,64,9,1937,187,988,34,14,2,259,18,35,5,1018,15,141,3,1948,85,869,72,178,10,65,13,178,6,1757,244,149,13,112,2,357,26,14933,1113
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,6,2,7,0,0,0,3,0,0,0,4,0,1,0,4,1,3,0,0,0,0,0,1,0,12,1,0,0,2,0,1,0,60,4
Pornography,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,23,0
Gambling,7,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,13,2,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11
Prostitution,14,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,23,0,0,0,8,0,5,0,1,0,0,0,11,0,5,0,0,0,0,0,149,0,148,0,0,0,0,0,0,0,49,0,0,0,95,0,123,0,1,0,0,0,1,0,42,0,0,0,0,0,0,0,693,0
Bribery,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Weapon Law Violations,26,18,14,0,17,0,1,0,15,5,109,12,15,10,2,1,58,1,8,0,0,0,6,1,5,3,18,1,6,1,143,28,33,1,16,0,4,0,45,4,27,0,6,1,15,1,227,75,176,15,4,0,71,5,4,0,91,7,11,0,170,13,90,12,19,3,4,15,50,7,287,118,17,2,10,3,19,4,1839,367
TOTAL GROUP A,1360,383,292,37,615,29,36,3,684,74,434,301,713,330,88,24,1043,4,229,55,1,0,136,7,267,20,1051,58,259,27,3058,599,783,48,568,9,70,6,2029,170,528,6,74,10,484,101,5308,1327,4018,405,154,14,1572,226,86,32,2966,135,412,11,5380,627,3372,560,650,76,191,117,1089,37,6405,1867,794,109,311,32,955,242,52065,8118
Bad Checks,23,0,112,0,10,0,4,0,339,0,89,0,44,0,0,0,172,0,47,0,0,0,1,0,9,0,35,0,61,2,20,0,260,0,20,0,1,0,184,0,29,0,0,0,26,0,1,0,84,0,0,0,14,0,1,0,16,0,0,0,38,0,14,0,12,0,10,0,27,0,206,0,27,0,0,0,80,0,2016,2
Curfew/Loitering/Vagrancy,21,0,0,5,0,0,0,0,0,11,6,82,0,44,0,0,0,53,0,36,0,0,0,0,0,19,0,0,0,2,0,389,0,0,0,50,0,0,5,2,0,0,0,2,0,0,4,221,0,0,0,0,0,34,0,5,0,23,0,0,0,27,5,3,0,1,0,0,0,165,46,832,0,0,0,0,0,3,87,2009
Disorderly Conduct,123,8,11,6,15,0,7,0,57,4,87,22,16,25,7,0,79,29,10,3,0,0,16,0,7,0,62,2,16,1,10,11,41,0,38,1,1,0,97,23,41,15,5,0,41,30,24,47,955,118,1,0,142,7,0,1,82,7,26,1,142,84,52,121,24,12,2,13,59,6,812,216,33,7,1,0,24,2,3166,822
Driving Under Influence,397,1,106,3,120,0,35,0,184,1,14,5,91,2,22,1,173,2,75,0,0,0,61,0,22,0,197,0,92,0,694,3,260,0,35,0,56,1,256,0,198,2,61,0,73,1,291,4,515,0,106,3,96,1,27,0,168,0,125,1,217,0,271,0,90,0,19,1,221,1,1904,9,122,0,105,1,183,1,8672,44
Drunkenness,841,2,80,0,404,1,36,1,504,0,562,1,59,1,59,0,452,3,75,2,0,0,102,10,25,0,511,4,143,4,976,5,139,0,91,1,83,0,425,1,518,0,39,2,119,3,944,3,1508,10,145,1,130,0,32,0,469,0,117,1,621,4,1545,0,163,0,36,0,89,1,3141,31,160,3,138,1,85,5,15566,101
"Family Offenses, Nonforcible",3,0,2,0,10,1,1,0,2,0,24,1,26,1,0,0,2,1,1,0,0,0,0,0,1,0,12,0,2,0,54,0,5,0,2,0,0,0,9,0,0,0,1,0,3,0,192,6,173,0,1,0,9,0,0,0,61,0,4,0,195,0,20,0,5,0,0,0,48,0,40,0,5,0,0,0,42,0,955,10
Liquor Laws Violations,642,42,49,7,33,12,0,1,84,5,152,39,23,24,23,22,23,7,2,3,0,0,39,21,11,2,88,2,12,4,43,24,321,0,9,1,15,1,215,10,71,25,5,1,12,3,82,22,577,26,39,3,33,2,26,12,40,5,534,15,32,2,104,2,20,8,14,8,26,10,738,244,29,19,67,7,38,12,4271,653
Peeping Tom,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,35,0
Runaway,0,182,0,0,0,0,0,0,0,30,0,466,0,39,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,51,0,1,0,2,0,0,0,426,1,113,0,0,0,5,0,0,0,0,0,0,0,1,0,9,0,2,0,0,0,0,0,1,0,57,0,0,0,10,1,1823
Trespass of Real Property,252,12,57,2,41,2,3,0,195,4,269,18,26,15,2,2,178,12,25,5,0,0,35,1,38,6,88,1,19,0,257,53,53,0,69,11,5,2,277,8,47,10,4,0,23,4,201,204,695,36,14,0,144,13,3,2,620,12,26,0,583,37,284,26,17,2,11,1,101,9,505,115,25,3,12,0,34,4,5238,632
Conspiracy,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0
All Other (except Traffic),416,40,144,29,765,30,43,5,895,30,2286,188,827,52,40,4,1998,90,340,31,0,0,131,7,113,1,681,36,42,1,3892,145,1974,7,411,14,9,0,1840,66,597,29,103,16,604,76,483,454,5922,1387,112,2,1655,53,22,1,3317,22,65,2,4047,36,799,98,539,28,229,18,1047,13,8280,659,640,28,57,3,784,22,46149,3723
TOTAL GROUP B,2722,287,562,52,1401,46,129,7,2261,85,4486,822,1112,203,153,29,3078,197,577,82,0,0,385,40,226,28,1675,45,387,14,5950,1055,3054,7,675,78,171,4,3308,161,1501,82,220,23,901,117,2228,1387,10434,1690,418,9,2223,115,111,21,4773,69,897,20,5877,191,3095,259,870,53,321,41,1618,205,15678,2107,1041,117,380,12,1271,59,86169,9819
GRAND TOTAL,4082,670,854,89,2016,75,165,10,2945,159,8520,1123,1825,533,241,53,4121,201,806,137,1,0,521,47,493,48,2726,103,646,41,9008,1654,3837,55,1243,87,241,10,5337,331,2029,88,294,33,1385,218,7536,2714,14452,2095,572,23,3795,341,197,53,7739,204,1309,31,11257,818,6467,819,1520,129,512,158,2707,242,22083,3974,1835,226,691,44,2226,301,138234,17937
