Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
ESSEX COUNTY,,,,
Sheriff’s Office,20,12,8,0
Tappahannock PD,10,9,1,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1339,1177,162,270
Herndon PD,54,50,4,13
Vienna PD,40,35,5,9
FAUQUIER COUNTY,,,,
Sheriff’s Office,95,89,6,15
Warrenton PD,18,15,3,2
FLOYD COUNTY,,,,
Sheriff’s Office,20,15,5,7
FLUVANNA COUNTY,,,,
Sheriff’s Office,23,19,4,13
FRANKLIN COUNTY,,,,
Sheriff’s Office,77,68,9,17
Rocky Mount PD,17,17,0,2
FREDERICK COUNTY,,,,
Sheriff’s Office,94,87,7,9
Middletown PD,3,3,0,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff’s Office,24,23,1,11
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff’s Office,83,69,14,21
GOOCHLAND COUNTY,,,,
Sheriff’s Office,26,23,3,7
GRAYSON COUNTY,,,,
Sheriff’s Office,18,17,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff’s Office,19,18,1,7
GREENSVILLE COUNTY,,,,
Sheriff’s Office,21,19,2,10
HALIFAX COUNTY,,,,
Sheriff’s Office,35,30,5,8
Halifax PD,5,5,0,0
South Boston,29,27,2,2
HANOVER COUNTY,,,,
Sheriff’s Office,187,176,11,19
Ashland PD,21,19,2,3
HENRICO COUNTY,,,,
Henrico PD,516,472,44,185
HENRY COUNTY,,,,
Sheriff’s Office,108,98,10,14
HIGHLAND COUNTY,,,,
Sheriff’s Office,8,8,0,4
ISLE OF WIGHT COUNTY,,,,
Sheriff’s Office,35,30,5,7
Smithfield PD,21,17,4,5
JAMES CITY COUNTY,,,,
James City PD,76,65,11,5
KING & QUEEN COUNTY,,,,
Sheriff’s Office,10,8,2,6
KING GEORGE COUNTY,,,,
Sheriff’s Office,28,24,4,12
KING WILLIAM COUNTY,,,,
Sheriff’s Office,20,19,1,12
West Point,9,8,1,1
LANCASTER COUNTY,,,,
Sheriff’s Office,26,19,7,6
Kilmarnock PD,4,3,1,0
LEE COUNTY,,,,
Sheriff’s Office,37,30,7,0
Jonesville PD,2,1,1,0
Pennington Gap PD,6,6,0,0
LOUDOUN COUNTY,,,,
Sheriff’s Office,381,335,46,77
Leesburg PD,67,61,6,18
Middleburg PD,3,3,0,0
Purcellville PD,11,11,0,1
LOUISA COUNTY,,,,
Sheriff’s Office,38,36,2,10
Louisa PD,4,4,0,0
LUNENBURG COUNTY,,,,
Sheriff’s Office,14,13,1,7
Kenbridge PD,8,8,0,0
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff’s Office,15,15,0,13
MATHEWS COUNTY,,,,
Sheriff’s Office,13,10,3,6
MECKLENBURG COUNTY,,,,
Sheriff’s Office,47,45,2,2
Chase City PD,10,10,0,1
Clarksville PD,7,7,0,1
LaCrosse PD,3,3,0,0
South Hill PD,20,19,1,5
MIDDLESEX COUNTY,,,,
Sheriff’s Office,15,13,2,0
MONTGOMERY COUNTY,,,,
Sheriff’s Office,104,85,19,14
Blacksburg PD,56,50,6,16
Christiansburg PD,47,44,3,15
NELSON COUNTY,,,,
Sheriff’s Office,16,16,0,5
NEW KENT COUNTY,,,,
Sheriff’s Office,26,26,0,10
NORTHAMPTON CO.,,,,
Sheriff’s Office,42,32,10,10
Cape Charles PD,5,5,0,0
Exmore PD,7,7,0,0
NORTHUMBERLAND CO.,,,,
Sheriff’s Office,17,14,3,8
NOTTOWAY COUNTY,,,,
Sheriff’s Office,14,13,1,8
Blackstone PD,13,13,0,5
Crewe PD,5,5,0,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff’s Office,29,25,4,8
Orange PD,14,13,1,3
Gordonsville PD,6,5,1,0
PAGE COUNTY,,,,
Sheriff’s Office,47,39,8,6
Luray PD,12,12,0,2
Shenandoah PD,4,4,0,0
Stanley PD,4,4,0,0
PATRICK COUNTY,,,,
Sheriff’s Office,32,27,5,14
PITTSYLVANIA COUNTY,,,,
Sheriff’s Office,70,64,6,58
Chatham PD,4,4,0,0
Gretna PD,3,3,0,1
Hurt PD,1,1,0,0
POWHATAN COUNTY,,,,
Sheriff’s Office,34,32,2,15
PRINCE EDWARD CO.,,,,
Sheriff’s Office,25,17,8,0
Farmville PD,24,21,3,14
PRINCE GEORGE CO.,,,,
Prince George Co. PD,46,42,4,15
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,495,425,70,99
Quantico PD,2,2,0,1
Haymarket PD,5,5,0,1
Dumfries PD,15,11,4,2
Occoquan PD,1,1,0,0
PULASKI COUNTY,,,,
Sheriff’s Office,40,37,3,8
Pulaski PD,28,25,3,8
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff’s Office,22,13,9,1
RICHMOND COUNTY,,,,
Sheriff’s Office,11,10,1,8
Warsaw PD,3,2,1,1
ROANOKE COUNTY,,,,
Roanoke Co. PD,127,110,17,43
Vinton PD,20,15,5,11
ROCKBRIDGE COUNTY,,,,
Sheriff’s Office,28,26,2,8
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff’s Office,53,47,6,110
Bridgewater PD,8,7,1,0
Broadway PD,4,4,0,0
Dayton PD,6,6,0,0
Elkton PD,8,7,1,1
Grottoes PD,6,6,0,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff’s Office,34,30,4,13
Lebanon PD,12,11,1,1
Honaker PD,4,4,0,1
SCOTT COUNTY,,,,
Sheriff’s Office,24,21,3,2
Gate City PD,5,5,0,0
Weber City PD,4,3,1,0
SHENANDOAH COUNTY,,,,
Sheriff’s Office,60,51,9,10
Edinburg PD,1,1,0,1
Mt. Jackson PD,4,4,0,0
Woodstock PD,13,13,0,1
Strasburg PD,17,17,0,2
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff’s Office,48,39,9,0
Marion PD,18,17,1,2
Saltville PD,6,6,0,1
Chilhowie PD,5,5,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff’s Office,63,51,12,13
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff’s Office,121,108,13,34
STAFFORD COUNTY,,,,
Sheriff’s Office,138,127,11,55
SURRY COUNTY,,,,
Sheriff’s Office,12,11,1,9
SUSSEX COUNTY,,,,
Sheriff’s Office,38,26,12,5
Waverly PD,8,8,0,5
TAZEWELL COUNTY,,,,
Sheriff’s Office,43,40,3,7
Bluefield PD,16,14,2,5
Pocahontas PD,1,1,0,0
Richlands PD,15,13,2,4
Tazewell PD,12,12,0,1
Cedar Bluff PD,3,3,0,0
WARREN COUNTY,,,,
Sheriff’s Office,72,57,15,15
Front Royal PD,35,32,3,9
WASHINGTON COUNTY,,,,
Sheriff’s Office,51,45,6,18
Abingdon PD,22,21,1,2
Damascus PD,6,6,0,0
Glade Springs PD,4,4,0,0
WESTMORELAND CO.,,,,
Sheriff’s Office,21,20,1,9
Colonial Beach PD,10,10,0,5
WISE COUNTY,,,,
Sheriff’s Office,58,46,12,3
Appalachia PD,6,6,0,0
Big Stone Gap PD,15,15,0,2
Coeburn PD,7,7,0,1
Pound PD,4,4,0,0
St. Paul PD,5,4,1,0
Wise PD,13,13,0,1
WYTHE COUNTY,,,,
Sheriff’s Office,40,37,3,7
Wytheville PD,24,21,3,12
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff’s Office,92,87,5,5
COUNTY TOTAL,8552,7575,977,2094
