Date ,Report Type ,Street ,Sub-Division
8/19/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/22/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/22/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/23/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/25/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/25/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/26/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/26/2005,DRUNK IN PUBLIC ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/26/2005,MAIMING ,BYPASS ROAD,WILLIAMSBURG NORTH
8/26/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/27/2005,LOST PROPERTY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/28/2005,"DAMAGE PROPERTY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
8/28/2005,STEAL OR TAMPER WITH COIN OPERATED EQUIP ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/1/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/3/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/3/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/5/2005,POSSESSION OF MARIJUANA ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/13/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
9/17/2005,DAMAGE PROPERTY ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/17/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
9/24/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
9/30/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/1/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/2/2005,"DAMAGE PROPERTY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/2/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/5/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/6/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/6/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/10/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/13/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/13/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/15/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/21/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/22/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/23/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/23/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/23/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/23/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/25/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/28/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
10/29/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/29/2005,DRUNK IN PUBLIC ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/29/2005,TRESPASSING ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/30/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
10/30/2005,DRUNK IN PUBLIC ,BYPASS ROAD ,WILLIAMSBURG NORTH
11/13/2005,MAIMING ,BYPASS ROAD ,WILLIAMSBURG NORTH
11/17/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
11/17/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/24/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/30/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/30/2005,"BURGLARY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
11/30/2005,"DAMAGE PROPERTY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/1/2005,EMBEZZLEMENT <$200 ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/5/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/9/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"BURGLARY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"BURGLARY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"DAMAGE PROPERTY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"DAMAGE PROPERTY, BUSINESS ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/11/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/15/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
12/16/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/16/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/29/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/29/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
12/13/2005,DRUNK IN PUBLIC ,BYPASS ROAD ,WILLIAMSBURG NORTH
1/6/2005,POSSESSION OF CONTROLLED SUBSTANCES ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
1/31/2005,CARRYING CONCEALED WEAPON -1ST OFFENSE ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
1/31/2005,POSSESSION OF MARIJUANA ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
5/1/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
5/1/2005,OPERATE MOTOR VEHICLE -HABITUAL OFFENDER ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
7/6/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
10/5/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD & RT 132 ,WILLIAMSBURG NORTH
6/28/2005,IDENTITY FRAUD ,CABERNET ROAD ,VINEYARD HEIGHTS
9/4/2005,DRUNK IN PUBLIC ,CALLAHAN DRIVE ,CALLAHAN VILLAGE DUPLEXES
4/21/2005,DEAD ON ARRIVAL ,CANNONBALL COURT ,QUEENSWOOD
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",CARAN ROAD ,GREENSPRINGS
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",CARAN ROAD ,GREENSPRINGS
12/11/2005,"BURGLARY, BUSINESS ",CARRS HILL ROAD ,GREEN ACRES
12/11/2005,"DAMAGE PROPERTY, BUSINESS ",CARRS HILL ROAD ,GREEN ACRES
3/30/2005,CITIZEN REQUESTED ASSISTANCE ,CATESBY LANE ,MIDDLETOWNE FARMS
5/22/2005,"ASSAULT, SIMPLE ",CEMETARY LANE ,WILLIAMSBURG EAST
5/22/2005,OBSCENE/THREATENING PHONE CALL ,CEMETARY LANE ,WILLIAMSBURG EAST
6/30/2005,"ASSAULT, SIMPLE, DOMESTIC ",CEMETARY LANE ,WILLIAMSBURG EAST
8/23/2005,CREDIT CARD FRAUD ,CHARDONNAY DRIVE ,VINEYARD HEIGHTS
1/18/2005,"DAMAGE PROPERTY, PRIVATE ",CHARLES RIVER LANDING ROAD ,QUEENS LAKE
3/30/2005,GRAND LARCENY ,CHARLESTON BATTERY ,
8/7/2005,GRAND LARCENY ,CHARLESTON BATTERY ,
10/22/2005,DEAD ON ARRIVAL ,CHATEAU DRIVE ,OLD QUAKER ESTATES
8/8/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHEATHAM ANNEX ,CHEATHAM ANNEX
9/30/2005,"BURGLARY, BUSINESS ","CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
9/30/2005,CONSPIRACY TO COMMIT FELONY ,"CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
9/30/2005,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,"CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
9/30/2005,"DAMAGE PROPERTY, BUSINESS ","CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
9/30/2005,GRAND LARCENY ,"CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
9/30/2005,UNAUTHORIZED USE OF VEHICLE ,"CHEATHAM ANNEX, BUILDING 108 ",CHEATHAM ANNEX
7/13/2005,GRAND LARCENY ,CLIPPER COURT ,CREEKSIDE LANDING
5/16/2005,LOST PROPERTY ,COBBLE STONE ,COBBLE CREEK
12/20/2005,CITIZEN REQUESTED ASSISTANCE ,COBBLE STONE ,COBBLE CREEK
7/18/2005,PETIT LARCENY ,COBBLE STONE ,COBBLE CREEK
8/2/2005,PETIT LARCENY ,COBBLE STONE ,COBBLE CREEK
8/19/2005,PETIT LARCENY ,COBBLE STONE ,COBBLE CREEK
10/1/2005,"DAMAGE PROPERTY, PRIVATE ",COBBLE STONE ,COBBLE CREEK
5/26/2005,CITIZEN REQUESTED ASSISTANCE ,COLONIAL AVENUE ,NELSON CIRCLE
5/27/2005,"DAMAGE PROPERTY, PRIVATE ",COLONIAL AVENUE ,NELSON CIRCLE
6/16/2005,"ASSAULT, SIMPLE, DOMESTIC ",COLONIAL AVENUE ,NELSON CIRCLE
7/8/2005,MISSING PERSON ,COLONIAL AVENUE ,NELSON CIRCLE
8/31/2005,ABDUCTION & KIDNAPPING ,COLONIAL AVENUE ,NELSON CIRCLE
8/31/2005,"ASSAULT, SIMPLE ",COLONIAL AVENUE ,NELSON CIRCLE
9/12/2005,CITIZEN REQUESTED ASSISTANCE ,COLONIAL AVENUE ,NELSON CIRCLE
10/19/2005,CITIZEN REQUESTED ASSISTANCE ,COLONIAL AVENUE ,NELSON CIRCLE
10/31/2005,"DAMAGE PROPERTY, PRIVATE ",COLONIAL AVENUE ,NELSON CIRCLE
12/10/2005,MOTOR VEHICLE THEFT ,COLONIAL AVENUE ,NELSON CIRCLE
7/25/2005,SEXUAL BATTERY ,"COLONIAL PKWY, YORKTOWN END ",
1/24/2005,IDENTITY FRAUD ,COMMONS WAY ,WILLIAMSBURG COMMONS
2/8/2005,"FRAUD, ALL OTHERS ",COMMONS WAY ,WILLIAMSBURG COMMONS
4/1/2005,"FORGING, UTTERING ",COMMONS WAY ,WILLIAMSBURG COMMONS
4/1/2005,GRAND LARCENY ,COMMONS WAY ,WILLIAMSBURG COMMONS
4/18/2005,"FRAUD, ALL OTHERS ",COMMONS WAY ,WILLIAMSBURG COMMONS
4/18/2005,"FRAUD, ALL OTHERS ",COMMONS WAY ,WILLIAMSBURG COMMONS
5/1/2005,CITIZEN REQUESTED ASSISTANCE ,COPSE WAY ,QUEENS LAKE
4/15/2005,RUNAWAY JUVENILE ,CORVETTE DRIVE ,CREEKSIDE LANDING
9/6/2005,"DAMAGE PROPERTY, PRIVATE ",CORVETTE DRIVE ,CREEKSIDE LANDING
7/8/2005,PETIT LARCENY ,COTTAGE COVE LANE ,KINGS CREEK PLANTATION
11/13/2005,CITIZEN REQUESTED ASSISTANCE ,COTTAGE COVE LANE ,KINGS CREEK PLANTATION
3/15/2005,RUNAWAY JUVENILE ,CREEDMOOR COURT ,MAGRUDER WOODS
12/13/2005,RUNAWAY JUVENILE ,CREEDMOOR COURT ,MAGRUDER WOODS
11/29/2005,"DAMAGE PROPERTY, PRIVATE ",CREEKSIDE LANDING ,CREEKSIDE LANDING
2/5/2005,"FRAUD, ALL OTHERS ",CUSTIS DRIVE ,YORK TERRACE
8/23/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,CUSTIS DRIVE & WILKINS DRIVE ,YORK TERRACE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
7/4/2005,"DAMAGE PROPERTY, PRIVATE ",DENNIS DRIVE ,QUEENS LAKE
11/12/2005,"LARCENY,FROM MOTOR VEHICLE ",DENNIS DRIVE ,QUEENS LAKE
12/28/2005,ANNOYING PHONE CALLS ,DODGE DRIVE ,NELSON PARK
6/15/2005,DRUNK IN PUBLIC ,DOUGLAS DRIVE & MERRIMAC TR ,CAARVER GARDENS
6/23/2005,ANNOYING PHONE CALLS ,DREW ROAD ,CARVER GARDENS
7/5/2005,PETIT LARCENY ,DREW ROAD ,CARVER GARDENS
12/11/2005,MOTOR VEHICLE THEFT ,DREW ROAD ,CARVER GARDENS
2/21/2005,CITIZEN REQUESTED ASSISTANCE ,DUNCAN DRIVE ,YORK TERRACE
4/26/2005,"DAMAGE PROPERTY, PRIVATE ",DUNCAN DRIVE ,YORK TERRACE
6/13/2005,"DAMAGE PROPERTY, PRIVATE ",DUNCAN DRIVE ,YORK TERRACE
6/29/2005,"BURGLARY, RESIDENTIAL ",DUNCAN DRIVE ,YORK TERRACE
7/10/2005,"DAMAGE PROPERTY, PRIVATE ",DUNCAN DRIVE ,YORK TERRACE
7/22/2005,CITIZEN REQUESTED ASSISTANCE ,DUNCAN DRIVE ,YORK TERRACE
8/19/2005,CITIZEN REQUESTED ASSISTANCE ,DUNCAN DRIVE ,YORK TERRACE
8/21/2005,CITIZEN REQUESTED ASSISTANCE ,E MAYNOR DRIVE ,YORK TERRACE
7/15/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,EAST MAYNOR DR & MAYNOR DR ,YORK TERRACE
7/21/2005,"BURGLARY, RESIDENTIAL ",EAST MAYNOR DRIVE ,YORK TERRACE
7/21/2005,"DAMAGE PROPERTY, PRIVATE ",EAST MAYNOR DRIVE ,YORK TERRACE
1/17/2005,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,QUEENS LAKE
1/17/2005,TRESPASSING ,EAST QUEENS DRIVE ,QUEENS LAKE
7/11/2005,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,QUEENS LAKE
7/11/2005,PETIT LARCENY ,EAST QUEENS DRIVE ,QUEENS LAKE
8/15/2005,"ASSAULT, SIMPLE ",EAST QUEENS DRIVE ,QUEENS LAKE
8/15/2005,"BURGLARY, RESIDENTIAL ",EAST QUEENS DRIVE ,QUEENS LAKE
9/22/2005,"BURGLARY, RESIDENTIAL ",EAST QUEENS DRIVE ,QUEENS LAKE
9/22/2005,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,QUEENS LAKE
11/11/2005,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,QUEENS LAKE
11/11/2005,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,QUEENS LAKE
