Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Sheriff's Office,28,28,0,11
Glen Lyn PD,1,1,0,0
Pearisburg PD,7,7,0,0
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,5,5,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,70,59,11,10
GOOCHLAND COUNTY,,,,
Sheriff's Office,22,20,2,6
GRAYSON COUNTY,,,,
Sheriff's Office,18,17,1,6
Fries PD,1,1,0,0
Independence PD,2,1,1,0
GREENE COUNTY,,,,
Sheriff's Office,20,20,0,9
GREENSVILLE COUNTY,,,,
Sheriff's Office,19,16,3,5
HALIFAX COUNTY,,,,
Sheriff's Office,36,32,4,12
Halifax PD,6,5,1,0
South Boston,27,25,2,4
HANOVER COUNTY,,,,
Sheriff's Office,161,153,8,17
Ashland PD,20,20,0,3
HENRICO COUNTY,,,,
Henrico PD,467,441,26,169
HENRY COUNTY,,,,
Sheriff's Office,103,90,13,12
HIGHLAND COUNTY,,,,
Sheriff's Office,7,6,1,5
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,24,23,1,6
Smithfield PD,14,13,1,7
JAMES CITY COUNTY,,,,
James City PD,59,52,7,3
KING & QUEEN COUNTY,,,,
Sheriff's Office,8,7,1,6
KING GEORGE COUNTY,,,,
Sheriff's Office,20,18,2,12
KING WILLIAM COUNTY,,,,
Sheriff's Office,14,13,1,8
West Point,9,8,1,1
LANCASTER COUNTY,,,,
Sheriff's Office,26,20,6,8
Kilmarnock PD,4,3,1,0
LEE COUNTY,,,,
Sheriff's Office,42,36,6,2
Jonesville PD,5,5,0,1
Pennington Gap PD,10,9,1,0
LOUDOUN COUNTY,,,,
Sheriff's Office,218,198,20,42
Leesburg PD,48,43,5,12
Middleburg PD,4,3,1,0
Purcellville PD,8,7,1,1
LOUISA COUNTY,,,,
Sheriff's Office,24,22,2,2
Louisa PD,4,4,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,12,11,1,6
Kenbridge PD,6,6,0,1
Victoria PD,7,7,0,1
MADISON COUNTY,,,,
Sheriff's Office,11,11,0,7
MATHEWS COUNTY,,,,
Sheriff's Office,15,10,5,0
MECKLENBURG COUNTY,,,,
Sheriff's Office,69,56,13,9
Chase City PD,9,8,1,2
Clarksville PD,7,7,0,1
LaCrosse PD,1,1,0,0
South Hill PD,18,18,0,5
MIDDLESEX COUNTY,,,,
Sheriff's Office,11,10,1,6
MONTGOMERY COUNTY,,,,
Sheriff's Office,52,44,8,10
Blacksburg PD,52,48,4,15
Christiansburg PD,37,31,6,11
NELSON COUNTY,,,,
Sheriff's Office,15,15,0,6
NEW KENT COUNTY,,,,
Sheriff's Office,20,19,1,8
NORTHAMPTON CO.,,,,
Sheriff's Office,33,29,4,8
Cape Charles PD,6,6,0,0
Exmore PD,4,4,0,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,21,15,6,6
NOTTOWAY COUNTY,,,,
Sheriff's Office,18,16,2,8
Blackstone PD,12,11,1,5
Crewe PD,5,5,0,0
Burkeville PD,2,2,0,0
ORANGE COUNTY,,,,
Sheriff's Office,28,26,2,8
Orange PD,14,13,1,1
Gordonsville PD,6,5,1,0
PAGE COUNTY,,,,
Sheriff's Office,38,36,2,8
Luray PD,15,14,1,2
Shenandoah PD,4,4,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff's Office,27,24,3,11
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,65,63,2,49
Chatham PD,4,4,0,0
Gretna PD,3,3,0,0
Hurt PD,3,3,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,27,24,3,5
PRINCE EDWARD CO.,,,,
Sheriff's Office,21,17,4,2
Farmville PD,21,20,1,10
PRINCE GEORGE CO.,,,,
Prince George Co. PD,36,34,2,10
PRINCE WILLIAM CO.,,,,
Sheriff's Office,62,41,21,0
Prince Wm. Co. PD,374,328,46,106
Quantico PD,2,2,0,0
Haymarket PD,3,2,1,0
Dumfries PD,12,11,1,2
Occoquan PD,2,2,0,0
PULASKI COUNTY,,,,
Sheriff's Office,39,36,3,9
Pulaski PD,29,24,5,9
Dublin PD,9,9,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,19,13,6,1
RICHMOND COUNTY,,,,
Sheriff's Office,10,9,1,6
Warsaw PD,3,3,0,0
ROANOKE COUNTY,,,,
Roanoke Co. PD,99,90,9,35
Vinton PD,18,17,1,8
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,20,20,0,7
Glasgow PD,1,1,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,52,45,7,7
Bridgewater PD,7,7,0,0
Broadway PD,3,3,0,0
Dayton PD,5,5,0,1
Elkton PD,6,6,0,1
Grottoes PD,5,5,0,0
Timberville PD,2,2,0,0
RUSSELL COUNTY,,,,
Sheriff's Office,45,38,7,4
Lebanon PD,10,10,0,1
Honaker PD,4,4,0,0
SCOTT COUNTY,,,, 
Sheriff's Office,40,28,12,1
Gate City PD,6,5,1,0
Weber City PD,6,4,2,1
SHENANDOAH COUNTY,,,,
Sheriff's Office,49,40,9,7
Edinburg PD,3,3,0,0
Mt. Jackson PD,4,4,0,0
Woodstock PD,13,13,0,1
Strasburg PD,11,11,0,1
New Market PD,5,5,0,0
SMYTH COUNTY,,,,
Sheriff's Office,49,36,13,0
Marion PD,17,17,0,2
Saltville PD,7,6,1,1
Chilhowie PD,7,7,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,67,57,10,10
Courtland PD,1,1,0,1
Boykins PD,1,10,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,81,72,9,25
STAFFORD COUNTY,,,,
Sheriff's Office,90,84,6,36
SURRY COUNTY,,,,
Sheriff's Office,12,10,2,5
SUSSEX COUNTY,,,,
Sheriff's Office,16,15,1,23
Waverly PD,7,6,1,3
TAZEWELL COUNTY,,,,
Sheriff's Office,54,46,8,11
Bluefield PD,12,10,2,6
Pocahontas PD,3,3,0,1
Richlands PD,15,15,0,7
Tazewell PD,11,10,1,1
Cedar Bluff PD,2,2,0,1
WARREN COUNTY,,,,
Sheriff's Office,59,56,3,1
Front Royal PD,29,29,0,10
WASHINGTON COUNTY,,,,
Sheriff's Office,68,54,14,10
Abingdon PD,18,16,2,2
Damascus PD,4,4,0,0
Glade Springs PD,3,3,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,19,17,2,8
Colonial Beach PD,11,10,1,4
WISE COUNTY,,,,
Sheriff's Office,64,52,12,13
Appalachia PD,4,3,1,0
Big Stone Gap PD,16,16,0,2
Coeburn PD,7,7,0,1
Pound PD,4,4,0,0
St. Paul PD,5,5,0,2
Wise PD,11,11,0,1
WYTHE COUNTY,,,,
Sheriff's Office,31,30,1,9
Wytheville PD,23,22,1,10
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office,75,72,3,6
County Totals,7528,6716,821,1831
