Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Tappahannock PD,9,7,2,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1258,1103,155,444
Herndon PD,52,46,6,16
Vienna PD,39,34,5,10
FAUQUIER COUNTY,,,,
Sheriff's Office,94,85,9,17
Warrenton PD,21,17,4,3
FLOYD COUNTY,,,,
Sheriff's Office,17,16,1,10
FLUVANNA COUNTY,,,,
Sheriff's Office,21,19,2,9
FRANKLIN COUNTY,,,,
Sheriff's Office,73,64,9,15
Rocky Mount PD,16,15,1,1
FREDERICK COUNTY,,,,
Sheriff's Office,85,79,6,14
Middletown PD,2,2,0,1
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
Sheriff's Office,18,18,0,10
Glen Lyn PD,2,2,0,0
Pearisburg PD,7,7,0,1
Pembroke PD,2,2,0,0
Rich Creek PD,1,1,0,0
Narrows PD,4,4,0,0
GLOUCESTER COUNTY,,,,
Sheriff's Office,73,62,11,15
GOOCHLAND COUNTY,,,,
Sheriff's Office,25,22,3,7
GRAYSON COUNTY,,,,
Sheriff's Office,20,19,1,6
Fries PD,1,1,0,0
Independence PD,2,2,0,0
GREENE COUNTY,,,,
Sheriff's Office,14,14,0,6
GREENSVILLE COUNTY,,,,
Sheriff's Office,21,18,3,9
HALIFAX COUNTY,,,,
Sheriff's Office,36,31,5,12
Halifax PD,4,3,1,1
South Boston,0,0,0,0
HANOVER COUNTY,,,,
Sheriff's Office,173,163,10,16
Ashland PD,20,20,0,2
HENRICO COUNTY,,,,
Henrico PD,541,495,46,203
HENRY COUNTY,,,,
Sheriff's Office,106,96,10,13
HIGHLAND COUNTY,,,,
Sheriff's Office,7,7,0,5
ISLE OF WIGHT COUNTY,,,,
Sheriff's Office,25,21,4,6
Smithfield PD,18,15,3,3
JAMES CITY COUNTY,,,,
James City PD,68,57,11,3
KING & QUEEN COUNTY,,,,
Sheriff's Office,8,7,1,7
KING GEORGE COUNTY,,,,
Sheriff's Office,23,20,3,15
KING WILLIAM COUNTY,,,,
Sheriff's Office,16,16,0,11
West Point,8,8,0,1
LANCASTER COUNTY,,,,
Sheriff's Office,25,17,8,6
Kilmarnock PD,4,3,1,0
LEE COUNTY,,,,
Sheriff's Office,46,38,8,0
Jonesville PD,2,2,0,1
Pennington Gap PD,6,6,0,1
LOUDOUN COUNTY,,,,
Sheriff's Office,326,292,34,66
Leesburg PD,52,46,6,16
Middleburg PD,3,2,1,0
Purcellville PD,8,8,0,1
LOUISA COUNTY,,,,
Sheriff's Office,34,31,3,13
Louisa PD,4,4,0,0
LUNENBURG COUNTY,,,,
Sheriff's Office,14,13,1,7
Kenbridge PD,8,7,1,0
Victoria PD,5,4,1,1
MADISON COUNTY,,,,
Sheriff's Office,12,12,0,10
MATHEWS COUNTY,,,,
Sheriff's Office,11,10,1,7
MECKLENBURG COUNTY,,,,
Sheriff's Office,31,29,2,4
Chase City PD,9,9,0,1
Clarksville PD,8,8,0,1
LaCrosse PD,3,3,0,0
South Hill PD,20,19,1,5
MIDDLESEX COUNTY,,,,
Sheriff's Office,12,10,2,6
MONTGOMERY COUNTY,,,,
Sheriff's Office,92,73,19,15
Blacksburg PD,56,53,3,16
Christiansburg PD,41,36,5,14
NELSON COUNTY,,,,
Sheriff's Office,14,14,0,6
NEW KENT COUNTY,,,,
Sheriff's Office,23,21,2,10
NORTHAMPTON CO.,,,,
Sheriff's Office,36,31,5,10
Cape Charles PD,5,5,0,0
Exmore PD,5,5,0,0
NORTHUMBERLAND CO.,,,,
Sheriff's Office,17,14,3,9
NOTTOWAY COUNTY,,,,
Sheriff's Office,14,14,0,7
Blackstone PD,13,12,1,5
Crewe PD,4,4,0,0
Burkeville PD,1,1,0,0
ORANGE COUNTY,,,,
Sheriff's Office,28,25,3,7
Orange PD,13,13,0,1
Gordonsville PD,5,5,0,0
PAGE COUNTY,,,,
Sheriff's Office,41,36,5,7
Luray PD,14,13,1,2
Shenandoah PD,4,4,0,0
Stanley PD,3,3,0,0
PATRICK COUNTY,,,,
Sheriff's Office,30,27,3,14
PITTSYLVANIA COUNTY,,,,
Sheriff's Office,65,60,5,59
Chatham PD,4,4,0,0
Gretna PD,2,2,0,0
Hurt PD,3,3,0,0
POWHATAN COUNTY,,,,
Sheriff's Office,31,30,1,14
PRINCE EDWARD CO.,,,,
Sheriff's Office,25,17,8,0
Farmville PD,24,22,2,10
PRINCE GEORGE CO.,,,,
Prince George Co. PD,44,42,2,12
PRINCE WILLIAM CO.,,,,
Prince Wm. Co. PD,423,372,51,108
Quantico PD,1,1,0,0
Haymarket PD,3,3,0,1
Dumfries PD,13,9,4,2
Occoquan PD,2,2,0,0
PULASKI COUNTY,,,,
Sheriff's Office,41,37,4,10
Pulaski PD,24,21,3,8
Dublin PD,8,8,0,1
RAPPAHANNOCK CO.,,,,
Sheriff's Office,21,14,7,0
RICHMOND COUNTY,,,,
Sheriff's Office,10,10,0,6
Warsaw PD,2,2,0,1
ROANOKE COUNTY,,,,
Roanoke Co. PD,112,101,11,45
Vinton PD,20,17,3,8
ROCKBRIDGE COUNTY,,,,
Sheriff's Office,22,22,0,7
Glasgow PD,0,0,0,0
ROCKINGHAM COUNTY,,,,
Sheriff's Office,49,42,7,107
Bridgewater PD,8,8,0,0
Broadway PD,4,4,0,0
Dayton PD,5,4,1,0
Elkton PD,6,6,0,1
Grottoes PD,5,5,0,0
Timberville PD,3,3,0,0
RUSSELL COUNTY,,,,
Sheriff's Office,47,41,6,10
Lebanon PD,12,12,0,1
Honaker PD,4,4,0,1
SCOTT COUNTY,,,,
Sheriff's Office,39,28,11,1
Gate City PD,3,3,0,0
Weber City PD,5,4,1,0
SHENANDOAH COUNTY,,,,
Sheriff's Office,54,47,7,8
Edinburg PD,2,2,0,1
Mt. Jackson PD,4,4,0,0
Woodstock PD,14,14,0,1
Strasburg PD,13,13,0,2
New Market PD,7,7,0,0
SMYTH COUNTY,,,,
Sheriff's Office,54,41,13,0
Marion PD,18,17,1,2
Saltville PD,8,8,0,1
Chilhowie PD,6,6,0,0
SOUTHAMPTON COUNTY,,,,
Sheriff's Office,62,52,10,12
Courtland PD,1,1,0,2
Boykins PD,1,1,0,0
SPOTSYLVANIA COUNTY,,,,
Sheriff's Office,96,87,9,6
STAFFORD COUNTY,,,,
Sheriff's Office,107,99,8,15
SURRY COUNTY,,,,
Sheriff's Office,10,9,1,5
SUSSEX COUNTY,,,,
Sheriff's Office,35,25,10,4
Waverly PD,7,7,5,
TAZEWELL COUNTY,,,,
Sheriff's Office,76,64,12,10
Bluefield PD,14,12,2,4
Pocahontas PD,3,3,0,0
Richlands PD,15,14,1,5
Tazewell PD,10,10,0,1
Cedar Bluff PD,3,3,0,0
WARREN COUNTY,,,,
Sheriff's Office,66,62,4,1
Front Royal PD,33,31,2,10
WASHINGTON COUNTY,,,,
Sheriff's Office,71,58,13,16
Abingdon PD,19,17,2,2
Damascus PD,4,4,,
Glade Springs PD,3,3,0,0
WESTMORELAND CO.,,,,
Sheriff's Office,21,19,2,9
Colonial Beach PD,8,7,1,5
WISE COUNTY,,,,
Sheriff's Office,72,60,12,13
Appalachia PD,6,5,1,0
Big Stone Gap PD,16,16,0,2
Coeburn PD,7,7,0,1
Pound PD,5,5,0,0
St. Paul PD,3,2,1,0
Wise PD,11,11,0,1
WYTHE COUNTY,,,,
Sheriff's Office,27,26,1,7
Wytheville PD,24,23,1,6
Rural Retreat PD,1,1,0,0
YORK COUNTY,,,,
Sheriff's Office,83,78,5,5
COUNTY TOTAL,8004,7115,889,2252
