Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Weapon Law Violations,25,11,4,0,11,3,2,2,13,1,97,15,15,0,8,0,43,5,15,2,0,0,0,0,3,0,48,15,11,4,13,4,17,1,140,37,54,4,4,1,42,4,3,0,69,4,0,0,199,37,6,0,17,1,9,5,25,1,169,59,199,37,6,0,17,1,9,5,25,1,169,59,21,1,2,1,18,2,1253,245
TOTAL GROUP A,1594,282,236,50,454,32,56,9,871,57,3421,442,827,365,139,43,1427,61,292,104,0,0,2,0,91,1,1861,272,560,33,95,14,580,77,4192,1124,2878,88,166,38,1118,87,117,37,2783,224,11,0,4863,1025,105,3,598,105,911,183,1223,46,6412,1777,4863,1025,105,3,598,105,911,183,1223,46,6412,1777,804,98,163,31,852,279,45212,7604
Bad Checks,38,0,34,0,2,0,8,0,355,0,56,0,33,0,0,0,181,0,34,0,0,0,1,0,6,0,133,0,31,0,5,0,31,0,1,0,97,0,1,0,23,0,3,0,10,0,0,0,98,0,5,0,43,0,80,1,82,0,96,0,98,0,5,0,43,0,80,1,82,0,96,0,35,0,2,0,190,1,2209,2
Curfew/Loitering/Vagrancy,32,0,0,0,0,0,0,0,0,1,3,177,0,30,0,0,0,90,1,45,0,0,0,0,1,2,1,1,0,0,0,0,0,0,6,252,0,0,0,0,2,47,0,8,0,20,0,0,3,38,0,0,0,0,0,4,0,0,14,891,3,38,0,0,0,0,0,4,0,0,14,891,0,0,0,0,0,2,64,1841
Disorderly Conduct,134,12,5,4,4,0,6,0,54,3,81,28,28,7,7,0,78,33,17,5,0,0,1,0,0,0,91,16,60,6,3,2,55,9,101,49,1110,35,8,4,125,12,2,0,66,5,0,0,106,94,0,2,18,10,41,21,16,13,856,208,106,94,0,2,18,10,41,21,16,13,856,208,15,4,2,0,21,0,3485,596
Driving Under Influence,379,1,39,0,20,0,55,0,197,2,648,7,205,6,47,0,276,2,48,0,0,0,2,0,61,0,227,4,304,6,113,2,118,3,306,10,561,0,50,0,89,0,37,1,230,0,1,0,337,3,114,0,166,2,124,0,132,0,2350,13,337,3,114,0,166,2,124,0,132,0,2350,13,111,3,40,0,300,5,8294,76
Drunkenness,1089,3,69,0,36,0,46,0,270,0,687,6,91,7,77,0,546,7,65,0,0,0,2,0,71,2,533,2,382,3,68,1,188,0,881,10,1559,4,78,0,66,2,23,0,332,0,0,0,658,1,6,1,178,1,246,2,25,3,3611,19,658,1,6,1,178,1,246,2,25,3,3611,19,162,6,66,0,103,0,13617,94
"Family Offenses, Nonforcible",6,0,2,0,0,0,0,0,1,0,11,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,9,0,0,0,1,0,1,0,187,7,226,0,8,0,2,0,1,0,97,0,0,0,31,1,0,0,2,0,6,0,27,0,32,1,31,1,0,0,2,0,6,0,27,0,32,1,9,0,0,0,11,1,698,11
Liquor Laws Violations,690,60,10,9,5,2,0,0,49,3,286,83,54,22,2,3,28,2,10,3,0,0,1,1,16,1,273,21,124,17,6,3,20,5,12,40,1110,20,27,10,65,2,17,3,43,3,0,0,0,0,20,3,18,6,30,38,32,6,1112,356,0,0,20,3,18,6,30,38,32,6,1112,356,18,16,19,5,118,28,4914,852
Peeping Tom,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,0,0,38,2
Runaway,0,7,0,0,0,1,0,0,0,5,0,495,0,48,0,1,0,0,0,4,0,0,0,0,0,0,0,127,0,0,0,1,0,0,0,310,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,59,0,0,0,3,0,0,0,0,0,7,0,59,0,0,0,3,0,79,0,0,0,2,1617,
Trespass of Real Property,186,24,40,8,4,1,0,0,63,6,333,40,53,28,5,0,252,43,16,11,0,0,4,0,7,2,423,49,29,1,9,3,37,2,233,123,1489,31,3,0,188,9,0,0,770,5,0,0,29,8,16,0,24,5,30,15,57,20,441,161,29,8,16,0,24,5,30,15,57,20,441,161,23,12,3,0,13,8,5227,679
Conspiracy,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
All Other (except Traffic),591,62,117,23,60,7,54,5,743,62,1793,145,778,79,59,3,2181,197,121,15,1,0,0,0,17,3,1618,84,556,25,85,14,304,32,647,442,7058,1009,104,4,1210,20,23,1,1459,16,3,0,4303,51,78,9,553,57,167,15,842,7,10021,961,4303,51,78,9,553,57,167,15,842,7,10021,961,444,70,22,3,865,31,41430,3649
TOTAL GROUP B,3148,169,316,44,131,11,169,5,1733,82,3901,981,1243,227,197,7,3547,374,313,83,1,0,12,1,180,10,3312,304,1486,58,293,26,754,51,2385,1243,13212,1145,279,18,1770,93,106,13,3008,49,4,0,5572,196,239,15,1002,88,724,155,1213,49,18541,2615,5572,196,239,15,1002,88,724,155,1213,49,18541,2615,817,190,155,8,1621,78,79992,9420
GRAND TOTAL,4742,451,552,94,585,43,225,14,2604,139,7322,1423,2070,592,336,50,4974,435,605,187,1,0,14,1,271,11,5173,576,2046,91,388,40,1334,128,6577,2367,16090,1233,445,56,2888,180,223,50,5791,273,15,0,10435,1221,344,18,1600,193,1635,338,2436,95,24953,4392,10435,1221,344,18,1600,193,1635,338,2436,95,24953,4392,1621,288,318,39,2473,357,125204,17024
