Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,43,10,5,0,15,1,0,0,15,0,68,5,19,6,8,2,18,4,10,12,2,2,3,2,14,4,31,1,11,1,115,56,20,5,30,8,1,0,40,3,16,2,1,0,13,3,89,32,101,65,3,0,55,12,4,0,124,5,19,0,161,24,98,21,25,1,13,3,50,3,232,92,13,0,5,0,17,1,1507,386
Larceny,421,151,31,5,153,2,5,0,180,3,981,19,462,158,31,4,410,20,44,14,62,4,42,3,55,12,321,66,97,14,931,314,216,11,79,14,5,1,597,16,67,7,12,0,84,10,629,283,878,110,161,15,144,10,13,3,368,12,124,3,775,68,807,158,161,29,155,16,221,11,1347,543,149,18,44,4,239,76,11501,2207
Motor Vehicle Theft,27,10,0,0,0,0,0,0,0,0,24,3,5,7,3,0,4,0,3,0,3,0,0,0,2,0,0,0,1,0,12,6,0,4,1,0,0,2,8,0,7,0,3,0,5,0,8,0,0,1,0,5,0,0,2,1,22,0,5,0,58,7,42,25,9,6,0,0,0,0,40,18,5,3,1,0,0,0,300,98
Counterfeiting/Forgery,35,0,8,0,20,0,0,0,11,1,32,0,20,0,3,0,22,0,2,0,2,0,6,0,6,0,23,1,2,0,36,2,31,0,11,0,1,0,16,0,9,0,1,0,13,0,57,0,41,0,9,0,15,0,0,0,33,0,33,0,84,1,20,1,20,0,8,0,22,0,95,4,12,0,10,1,6,0,775,11
Fraud,64,0,3,0,19,0,0,0,67,0,107,2,26,2,4,0,142,1,3,0,10,0,4,0,6,0,56,0,29,0,75,2,54,2,9,1,2,0,97,1,27,0,0,0,15,0,79,2,52,24,5,0,40,1,3,0,51,0,38,0,296,1,164,1,48,1,21,2,19,0,282,9,26,1,14,2,21,2,1978,57
Embezzlement,29,1,0,0,1,0,1,0,18,0,79,0,44,0,2,0,14,0,3,0,4,0,2,0,0,0,17,0,3,0,60,2,11,0,4,0,0,0,21,0,7,0,0,0,3,0,35,1,18,0,4,0,5,0,0,0,10,0,1,0,25,2,45,3,11,0,4,0,20,0,78,1,10,0,2,0,6,0,597,10
Stolen Property,7,1,0,0,2,1,0,0,8,1,30,1,8,3,0,0,12,1,2,0,2,0,0,0,1,0,10,0,4,0,32,6,9,0,11,2,0,0,16,2,1,0,1,0,1,0,60,8,40,10,0,0,14,0,0,0,24,0,0,0,40,4,8,1,5,0,11,0,9,0,48,14,0,0,1,0,5,1,422,56
Vandalism,44,9,15,3,15,0,0,0,53,1,54,3,19,15,10,2,68,0,3,3,14,1,8,0,15,0,23,0,8,6,67,19,36,5,29,4,1,0,70,5,9,0,9,0,34,4,65,26,43,12,7,0,53,14,3,4,79,1,30,1,250,36,120,12,23,14,26,2,50,1,209,73,25,9,8,0,20,4,1615,289
Drug/Narcotic Offenses,374,66,57,6,185,3,3,0,212,6,1011,43,256,26,52,1,394,6,101,8,50,7,22,8,61,4,266,8,40,3,674,48,361,7,175,23,10,0,873,21,93,16,86,1,57,3,1720,122,440,15,28,5,318,8,34,9,544,7,176,0,1865,70,759,37,185,16,131,24,300,15,1326,200,84,4,60,0,313,8,13696,854
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,1,0,8,3,0,0,1,0,1,0,31,5
Pornography,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,1,0,3,0,4,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,2,1,2,0,1,0,0,0,6,0,0,0,9,2,1,0,1,0,1,0,47,4
Gambling,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
Prostitution,13,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,4,0,2,0,0,0,9,0,11,0,1,0,0,0,81,0,33,0,1,0,4,0,0,0,13,0,0,0,117,0,46,0,1,0,0,0,0,0,28,0,0,0,3,0,0,0,420,0
Bribery,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0
Weapon Law Violations,19,14,8,0,15,1,0,0,21,4,91,4,25,0,1,0,74,12,6,2,2,0,1,0,12,1,11,1,5,1,104,25,34,1,9,3,0,0,52,5,10,3,5,0,10,0,132,17,85,9,3,0,42,2,2,0,80,5,6,0,234,17,62,14,18,2,15,0,37,9,180,34,14,0,4,0,22,3,1451,189
TOTAL GROUP A,1637,374,210,19,621,10,21,1,1078,23,3926,106,1061,303,185,17,1890,70,268,51,218,20,126,19,302,24,1109,83,294,31,3334,703,1082,56,664,81,30,3,2665,98,499,52,175,15,470,42,4671,672,3627,373,258,29,1317,87,112,28,2586,50,579,13,7058,592,3786,405,692,118,642,61,1425,68,7198,1613,592,63,270,22,928,115,57606,6510
Bad Checks,18,0,23,0,6,0,0,0,316,0,23,0,12,0,0,0,42,0,13,0,1,0,1,0,7,0,28,0,34,0,11,0,36,0,12,0,0,0,54,0,10,0,4,0,3,0,20,0,32,0,0,0,10,0,1,0,8,0,41,0,40,0,11,0,14,1,8,0,18,0,28,0,8,0,3,0,7,0,903,1
Curfew/Loitering/Vagrancy,7,0,0,12,0,0,0,0,0,0,43,97,0,32,0,0,0,58,1,33,1,0,0,0,1,3,0,0,0,0,1,265,0,1,0,75,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,9,449,0,0,0,18,1,25,0,0,0,0,0,22,148,563,0,0,0,0,0,0,215,1659
Disorderly Conduct,134,17,4,1,7,0,3,0,34,0,43,3,21,20,3,1,66,15,21,1,2,0,10,0,10,0,25,0,6,2,8,32,36,1,27,0,0,0,107,8,45,18,13,1,58,2,62,2,699,61,7,0,46,1,1,0,83,2,5,0,212,143,50,56,50,8,21,9,36,2,612,47,21,1,13,0,25,1,2626,455
Driving Under Influence,318,1,66,1,37,0,23,0,110,0,736,5,279,0,24,2,238,0,71,1,161,3,70,1,34,0,238,1,52,1,474,0,189,0,74,0,34,2,223,1,134,0,83,0,51,0,619,0,615,1,92,1,68,0,25,0,354,1,112,1,577,0,398,3,91,0,115,1,383,0,2444,9,105,2,77,0,249,2,10043,40
Drunkenness,506,0,41,0,339,0,42,0,521,0,695,1,108,1,34,0,727,0,60,1,186,0,63,1,37,2,329,0,104,0,892,3,618,2,113,0,54,0,534,0,181,8,77,1,114,0,856,1,2359,6,133,1,48,1,15,0,418,1,271,1,884,3,1982,1,205,3,242,0,7,0,4000,15,128,0,145,0,260,0,18328,53
"Family Offenses, Nonforcible",6,0,5,0,14,0,0,0,4,0,4,0,22,0,1,0,20,0,0,0,0,0,0,0,0,0,12,0,1,0,142,0,12,0,10,0,1,0,12,0,5,0,0,0,0,0,54,12,398,1,3,0,39,0,2,0,121,0,2,0,280,6,15,0,10,0,0,0,41,0,30,0,4,1,0,0,8,1,1278,21
Liquor Laws Violations,466,80,33,12,28,4,0,0,46,0,152,23,61,14,15,4,88,6,10,10,17,2,24,38,12,5,139,3,17,4,32,10,781,2,11,2,6,1,216,8,39,27,15,5,21,3,39,18,766,30,11,4,53,0,9,5,73,16,224,4,178,11,381,2,21,6,43,36,66,2,969,254,14,13,31,0,71,15,5178,679
Peeping Tom,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,21,1
Runaway,0,303,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,379,0,0,0,2,0,0,0,50,0,4,0,0,0,0,0,117,0,96,0,0,0,2,0,0,0,1,0,0,0,0,0,21,0,0,0,1,0,0,0,1,0,25,0,0,0,0,0,1038
Trespass of Real Property,243,38,43,0,41,1,0,0,136,0,306,12,41,30,10,1,221,10,23,4,8,0,60,0,9,1,92,1,27,3,205,33,92,3,32,1,1,0,357,6,14,7,1,0,15,1,214,35,1203,94,39,1,82,3,0,4,768,13,15,0,915,43,564,16,30,10,29,2,141,2,474,111,20,3,9,0,27,0,6507,489
Conspiracy,0,0,0,0,2,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
All Other (except Traffic),750,48,121,21,361,7,30,0,1063,19,2728,83,1028,51,82,1,2050,38,271,11,13,0,156,6,177,8,696,36,87,1,3154,60,1513,6,431,21,3,0,2063,77,291,17,105,6,558,30,1424,43,6991,2777,117,3,1012,10,16,4,3324,67,233,11,4335,35,1579,93,600,32,849,34,713,21,7616,199,411,35,27,1,862,21,47840,3933
TOTAL GROUP B,2448,488,336,47,835,12,98,0,2231,21,4740,224,1573,180,169,9,3453,127,470,62,389,5,384,46,291,20,1559,41,329,11,4920,782,3278,15,710,101,100,3,3570,150,720,81,298,13,820,36,3289,228,13066,3066,402,10,1362,18,69,18,5160,550,905,17,7421,259,4981,217,1021,60,1307,83,1405,49,16324,1199,711,80,305,1,1510,40,92959,8369
GRAND TOTAL,4085,862,546,66,1456,22,119,1,3309,44,8666,330,2634,483,354,26,5343,197,738,113,607,25,510,65,593,44,2668,124,623,42,8254,1485,4360,71,1374,182,130,6,6235,248,1219,133,473,28,1290,78,7960,900,16693,3439,660,39,2679,105,181,46,7746,600,1484,30,14479,851,8767,622,1713,178,1949,144,2830,117,23522,2812,1303,143,575,23,2438,155,150565,14879
